box_id,zone_id,item_type,mass_kg,volume_m3,is_first_batch,first_deadline_s,expected_s,priority,source_file,source_sheet,source_row,medical_bool,hard_deadline_s
S001-MED-01,S001,医疗物资,3,0.012,True,3600,3600,24,物资需求与配送时限.xlsx,逐箱货箱清单,2,True,3600
S001-MED-02,S001,医疗物资,3,0.012,False,,3600,24,物资需求与配送时限.xlsx,逐箱货箱清单,3,True,3600
S001-WAT-01,S001,饮用水,14,0.027,True,3600,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,4,False,3600
S001-WAT-02,S001,饮用水,14,0.027,False,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,5,False,
S001-WAT-03,S001,饮用水,14,0.027,False,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,6,False,
S001-WAT-04,S001,饮用水,14,0.027,False,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,7,False,
S001-WAT-05,S001,饮用水,14,0.027,False,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,8,False,
S001-WAT-06,S001,饮用水,14,0.027,False,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,9,False,
S001-WAT-07,S001,饮用水,14,0.027,False,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,10,False,
S001-WAT-08,S001,饮用水,14,0.027,False,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,11,False,
S001-FOD-01,S001,应急食品,8,0.028,False,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,12,False,
S001-FOD-02,S001,应急食品,8,0.028,False,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,13,False,
S001-FOD-03,S001,应急食品,8,0.028,False,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,14,False,
S001-HYG-01,S001,生活卫生用品,6,0.035,False,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,15,False,
S001-HYG-02,S001,生活卫生用品,6,0.035,False,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,16,False,
S002-MED-01,S002,医疗物资,3,0.012,True,3600,3600,24,物资需求与配送时限.xlsx,逐箱货箱清单,17,True,3600
S002-WAT-01,S002,饮用水,14,0.027,True,3600,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,18,False,3600
S002-WAT-02,S002,饮用水,14,0.027,False,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,19,False,
S002-WAT-03,S002,饮用水,14,0.027,False,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,20,False,
S002-WAT-04,S002,饮用水,14,0.027,False,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,21,False,
S002-FOD-01,S002,应急食品,8,0.028,False,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,22,False,
S002-FOD-02,S002,应急食品,8,0.028,False,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,23,False,
S002-HYG-01,S002,生活卫生用品,6,0.035,False,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,24,False,
S003-MED-01,S003,医疗物资,3,0.012,True,7200,7200,20,物资需求与配送时限.xlsx,逐箱货箱清单,25,True,7200
S003-WAT-01,S003,饮用水,14,0.027,True,7200,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,26,False,7200
S003-WAT-02,S003,饮用水,14,0.027,False,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,27,False,
S003-WAT-03,S003,饮用水,14,0.027,False,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,28,False,
S003-WAT-04,S003,饮用水,14,0.027,False,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,29,False,
S003-FOD-01,S003,应急食品,8,0.028,False,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,30,False,
S003-FOD-02,S003,应急食品,8,0.028,False,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,31,False,
S003-HYG-01,S003,生活卫生用品,6,0.035,False,,14400,6,物资需求与配送时限.xlsx,逐箱货箱清单,32,False,
S004-MED-01,S004,医疗物资,3,0.012,True,7200,7200,20,物资需求与配送时限.xlsx,逐箱货箱清单,33,True,7200
S004-WAT-01,S004,饮用水,14,0.027,True,7200,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,34,False,7200
S004-WAT-02,S004,饮用水,14,0.027,False,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,35,False,
S004-WAT-03,S004,饮用水,14,0.027,False,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,36,False,
S004-FOD-01,S004,应急食品,8,0.028,False,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,37,False,
S004-HYG-01,S004,生活卫生用品,6,0.035,False,,14400,6,物资需求与配送时限.xlsx,逐箱货箱清单,38,False,
S005-MED-01,S005,医疗物资,3,0.012,True,10800,10800,16,物资需求与配送时限.xlsx,逐箱货箱清单,39,True,10800
S005-WAT-01,S005,饮用水,14,0.027,True,10800,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,40,False,10800
S005-WAT-02,S005,饮用水,14,0.027,False,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,41,False,
S005-WAT-03,S005,饮用水,14,0.027,False,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,42,False,
S005-FOD-01,S005,应急食品,8,0.028,False,,14400,6,物资需求与配送时限.xlsx,逐箱货箱清单,43,False,
S005-HYG-01,S005,生活卫生用品,6,0.035,False,,18000,4,物资需求与配送时限.xlsx,逐箱货箱清单,44,False,
S006-MED-01,S006,医疗物资,3,0.012,True,3600,3600,24,物资需求与配送时限.xlsx,逐箱货箱清单,45,True,3600
