node_id,kind,name,lon_deg,lat_deg,ground_elev_m,x_m,y_m,operation_alt_m,population,source_file,source_sheet,source_row
O01,center,凤丹村无人机调度中心,109.2308517,23.0085095,127.7,318686.201284966,2545556.13930787,127.7,,调度中心与服务区.xlsx,数据,3
S001,zone,平旺、那龙、镇龙乡,109.2432319,23.0335927,154,319988.599872737,2548318.49426595,184,2100,调度中心与服务区.xlsx,数据,7
S002,zone,上良,109.2585519,23.0703271,189.5,321607.166492281,2552367.55943965,219.5,330,调度中心与服务区.xlsx,数据,8
S003,zone,六造、那旭、都长,109.1688578,23.0402714,308.5,312375.158633738,2549151.50718608,338.5,275,调度中心与服务区.xlsx,数据,9
S004,zone,大站,109.2381714,23.0778414,198.3,319528.975953663,2553224.69708198,228.3,188,调度中心与服务区.xlsx,数据,10
S005,zone,上良、古律、那麓,109.2283003,23.0561338,165,318488.48309921,2550833.07820943,195,126,调度中心与服务区.xlsx,数据,11
S006,zone,六昌、木路,109.1997836,23.007714,284.8,315500.332169599,2545506.83464063,314.8,121,调度中心与服务区.xlsx,数据,12
S007,zone,佛子、那桑、银坑,109.1928191,23.0294186,318.5,314816.046906112,2547919.15628344,348.5,76,调度中心与服务区.xlsx,数据,13
S008,zone,古麻、大站,109.2127472,23.0795113,240.9,316926.352147228,2553441.25341736,270.9,55,调度中心与服务区.xlsx,数据,14
S009,zone,那龙,109.2541424,23.0552989,200,321135.491770495,2550708.77932741,230,45,调度中心与服务区.xlsx,数据,15
S010,zone,镇龙乡,109.2760168,23.0194009,321.6,323330.195372431,2546707.01669367,351.6,31,调度中心与服务区.xlsx,数据,16
S011,zone,那从,109.2203356,23.0319231,182.1,317639.704901447,2548161.95205475,212.1,30,调度中心与服务区.xlsx,数据,17
S012,zone,镇龙乡,109.2831357,23.054464,249.8,324105.419238611,2550581.15689536,279.8,16,调度中心与服务区.xlsx,数据,18
S013,zone,镇龙乡,109.2713839,23.0310882,321.7,322870.602959557,2548006.80973092,351.7,14,调度中心与服务区.xlsx,数据,19
S014,zone,镇龙乡,109.2835966,23.0052097,321,324088.709566454,2545126.43549485,351,12,调度中心与服务区.xlsx,数据,20
S015,zone,六造、那托、那旭,109.1923786,23.0494548,444.5,314798.302749593,2550138.49738654,474.5,3,调度中心与服务区.xlsx,数据,21
