check_id,status,expected,actual,detail
source_sha256:0_3_数据/无人机应急物资运输基础数据/中继无人机数据.xlsx,PASS,be52643ff29419233e6a141dca03a04160a8af551cab36d8c49b51bb836bea04,be52643ff29419233e6a141dca03a04160a8af551cab36d8c49b51bb836bea04,
source_sha256:0_3_数据/无人机应急物资运输基础数据/物资需求与配送时限.xlsx,PASS,5a3346159ceddcf585859d270b8f62114b388a1f737fbe64ffde0ee1fdc8170a,5a3346159ceddcf585859d270b8f62114b388a1f737fbe64ffde0ee1fdc8170a,
source_sha256:0_3_数据/无人机应急物资运输基础数据/调度中心与服务区.xlsx,PASS,541a7af1ded08c9a3ff448480332cb5f6a54902f0afa6e9bcd50c1d2b2b34e38,541a7af1ded08c9a3ff448480332cb5f6a54902f0afa6e9bcd50c1d2b2b34e38,
source_sha256:0_3_数据/无人机应急物资运输基础数据/运输无人机数据.xlsx,PASS,9296a657c07e042afba6aeea7999665d9cd24e00b592fd6c269de6e338480dcb,9296a657c07e042afba6aeea7999665d9cd24e00b592fd6c269de6e338480dcb,
source_sha256:0_3_数据/无人机应急物资运输基础数据/通信链路参数.xlsx,PASS,1860d153199e7ae460ba36e83b673374e640e19de91ea167f2877271001f5f81,1860d153199e7ae460ba36e83b673374e640e19de91ea167f2877271001f5f81,
source_sha256:0_3_数据/镇龙乡地理空间数据/镇龙乡及周边地理数据/数字高程模型数据（DEM）/镇龙乡及周边30米DEM.mat,PASS,c68703e0cc8f94f4bd52ff6e9974b66a2dae33865f0723ad71c04b6694bf4fbf,c68703e0cc8f94f4bd52ff6e9974b66a2dae33865f0723ad71c04b6694bf4fbf,
source_sha256:0_3_数据/镇龙乡地理空间数据/镇龙乡及周边地理数据/数字高程模型数据（DEM）/镇龙乡及周边30米DEM.tif,PASS,741fe6de0b2bcaffd0f4007f574ee698d46197094f52cc954b532c4f90fc7c03,741fe6de0b2bcaffd0f4007f574ee698d46197094f52cc954b532c4f90fc7c03,
row_count:nodes,PASS,16,16,
row_count:boxes,PASS,80,80,
row_count:demand_summary,PASS,53,53,
row_count:transport_types,PASS,3,3,
row_count:transport_uavs,PASS,8,8,
row_count:battery_pool,PASS,3,3,
row_count:battery_units,PASS,14,14,
row_count:relay_type,PASS,1,1,
row_count:relay_uavs,PASS,2,2,
row_count:relay_energy_pool,PASS,1,1,
row_count:relay_energy_units,PASS,6,6,
row_count:comm_params,PASS,14,14,
zones,PASS,15,15,
center,PASS,['O01'],['O01'],
zone_ids,PASS,"['S001', 'S002', 'S003', 'S004', 'S005', 'S006', 'S007', 'S008', 'S009', 'S010', 'S011', 'S012', 'S013', 'S014', 'S015']","['S001', 'S002', 'S003', 'S004', 'S005', 'S006', 'S007', 'S008', 'S009', 'S010', 'S011', 'S012', 'S013', 'S014', 'S015']",
first_batch,PASS,30,30,
medical,PASS,16,16,
medical_flag_matches_type,PASS,0,0,
mass_kg,PASS,758.0,758.0,
volume_m3,PASS,2.011,2.011,
key:nodes,PASS,0,0,
provenance:nodes,PASS,0,0,
infinite_numeric:nodes,PASS,0,0,
key:boxes,PASS,0,0,
provenance:boxes,PASS,0,0,
infinite_numeric:boxes,PASS,0,0,
key:demand_summary,PASS,0,0,
provenance:demand_summary,PASS,0,0,
infinite_numeric:demand_summary,PASS,0,0,
key:transport_types,PASS,0,0,
provenance:transport_types,PASS,0,0,
infinite_numeric:transport_types,PASS,0,0,
key:transport_uavs,PASS,0,0,
provenance:transport_uavs,PASS,0,0,
infinite_numeric:transport_uavs,PASS,0,0,
key:battery_pool,PASS,0,0,
provenance:battery_pool,PASS,0,0,
infinite_numeric:battery_pool,PASS,0,0,
key:battery_units,PASS,0,0,
provenance:battery_units,PASS,0,0,
infinite_numeric:battery_units,PASS,0,0,
key:relay_type,PASS,0,0,
provenance:relay_type,PASS,0,0,
infinite_numeric:relay_type,PASS,0,0,
key:relay_uavs,PASS,0,0,
provenance:relay_uavs,PASS,0,0,
infinite_numeric:relay_uavs,PASS,0,0,
key:relay_energy_pool,PASS,0,0,
provenance:relay_energy_pool,PASS,0,0,
infinite_numeric:relay_energy_pool,PASS,0,0,
key:relay_energy_units,PASS,0,0,
provenance:relay_energy_units,PASS,0,0,
infinite_numeric:relay_energy_units,PASS,0,0,
key:comm_params,PASS,0,0,
provenance:comm_params,PASS,0,0,
infinite_numeric:comm_params,PASS,0,0,
foreign_key:boxes.zone_id,PASS,[],[],
foreign_key:summary.zone_id,PASS,[],[],
foreign_key:transport_uavs.type_id,PASS,[],[],
foreign_key:battery_pool.type_id,PASS,[],[],
foreign_key:battery_units.type_id,PASS,[],[],
foreign_key:relay_uavs.type_id,PASS,[],[],
foreign_key:relay_energy_pool.type_id,PASS,[],[],
foreign_key:relay_energy_units.type_id,PASS,[],[],
gateway_unique_height,PASS,1,1,
gateway_id_and_base,PASS,"['G01', 'O01']","['G01', 'O01']",
gateway_coordinates_and_altitude,PASS,0,0,
transport_initial_site,PASS,['O01'],['O01'],
relay_initial_site,PASS,['O01'],['O01'],
resource_stock:battery_pool,PASS,"{'A': 6, 'B': 4, 'C': 4}","{'A': 6, 'B': 4, 'C': 4}",
resource_initial_soc:battery_units,PASS,0,0,
resource_stock:relay_energy_pool,PASS,{'R': 6},{'R': 6},
resource_initial_soc:relay_energy_units,PASS,0,0,
transport_uav_type_counts,PASS,"{'A': 4, 'B': 2, 'C': 2}","{'A': 4, 'B': 2, 'C': 2}",
transport_battery_type_counts,PASS,"{'A': 6, 'B': 4, 'C': 4}","{'A': 6, 'B': 4, 'C': 4}",
relay_uav_ids,PASS,"['R01', 'R02']","['R01', 'R02']",
relay_energy_total,PASS,6,6,
positive_values:boxes,PASS,0,0,
positive_values:transport_types,PASS,0,0,
positive_values:battery_pool,PASS,0,0,
positive_values:relay_type,PASS,0,0,
positive_values:relay_energy_pool,PASS,0,0,
nonnegative_descent_efficiency:transport_types,PASS,0,0,
nonnegative_descent_efficiency:relay_type,PASS,0,0,
return_soc_range:transport_types,PASS,0,0,
return_soc_range:relay_type,PASS,0,0,
hard_deadline_min,PASS,0,0,
nonfirst_first_deadline_null,PASS,0,0,
first_deadline_present,PASS,0,0,
medical_hard_deadline_present,PASS,0,0,
positive_applicable_deadlines,PASS,0,0,
first_boxes_not_above_total,PASS,0,0,
summary_first_deadline_applicability,PASS,0,0,
summary_group_keys,PASS,0,0,
summary_box_reconciliation,PASS,0,0,
dem_shape,PASS,"[1309, 1486]","[1309, 1486]",
dem_epsg,PASS,4326,4326,
dem_nodata,PASS,-32767.0,-32767.0,
dem_lon_step_1arcsec,PASS,0.0002777777777777778,0.0002777777777822621,
dem_lat_step_1arcsec,PASS,0.0002777777777777778,0.0002777777777787094,
dem_mat_tif_equal,PASS,True,True,
nodes_in_dem,PASS,0,0,
node_operation_altitude,PASS,0,0,
node_utm_projection,PASS,0,0,
arcs_count,PASS,240,240,
arcs_unique,PASS,0,0,
arcs_no_self,PASS,0,0,
arcs_complete_pairs,PASS,0,0,
arcs_valid_or_explained,PASS,0,0,
arcs_all_valid,PASS,240,240,
arcs_positive_distance,PASS,0,0,
arcs_clearance_50m,PASS,0,0,
arcs_nonnegative_climb_descent,PASS,0,0,
reverse_arc_geometry,PASS,0,0,
arcs_recomputed_from_sources,PASS,0,0,
