货箱编号,服务区编号,物资类型,单箱质量（kg）,单箱体积（m³）,是否首批保障,首批截止时间（s）,期望送达时间（s）,应急优先系数,source_file,source_sheet,source_row
S001-MED-01,S001,医疗物资,3,0.012,是,3600,3600,24,物资需求与配送时限.xlsx,逐箱货箱清单,2
S001-MED-02,S001,医疗物资,3,0.012,否,,3600,24,物资需求与配送时限.xlsx,逐箱货箱清单,3
S001-WAT-01,S001,饮用水,14,0.027,是,3600,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,4
S001-WAT-02,S001,饮用水,14,0.027,否,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,5
S001-WAT-03,S001,饮用水,14,0.027,否,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,6
S001-WAT-04,S001,饮用水,14,0.027,否,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,7
S001-WAT-05,S001,饮用水,14,0.027,否,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,8
S001-WAT-06,S001,饮用水,14,0.027,否,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,9
S001-WAT-07,S001,饮用水,14,0.027,否,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,10
S001-WAT-08,S001,饮用水,14,0.027,否,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,11
S001-FOD-01,S001,应急食品,8,0.028,否,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,12
S001-FOD-02,S001,应急食品,8,0.028,否,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,13
S001-FOD-03,S001,应急食品,8,0.028,否,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,14
S001-HYG-01,S001,生活卫生用品,6,0.035,否,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,15
S001-HYG-02,S001,生活卫生用品,6,0.035,否,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,16
S002-MED-01,S002,医疗物资,3,0.012,是,3600,3600,24,物资需求与配送时限.xlsx,逐箱货箱清单,17
S002-WAT-01,S002,饮用水,14,0.027,是,3600,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,18
S002-WAT-02,S002,饮用水,14,0.027,否,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,19
S002-WAT-03,S002,饮用水,14,0.027,否,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,20
S002-WAT-04,S002,饮用水,14,0.027,否,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,21
S002-FOD-01,S002,应急食品,8,0.028,否,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,22
S002-FOD-02,S002,应急食品,8,0.028,否,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,23
S002-HYG-01,S002,生活卫生用品,6,0.035,否,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,24
S003-MED-01,S003,医疗物资,3,0.012,是,7200,7200,20,物资需求与配送时限.xlsx,逐箱货箱清单,25
S003-WAT-01,S003,饮用水,14,0.027,是,7200,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,26
S003-WAT-02,S003,饮用水,14,0.027,否,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,27
S003-WAT-03,S003,饮用水,14,0.027,否,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,28
S003-WAT-04,S003,饮用水,14,0.027,否,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,29
S003-FOD-01,S003,应急食品,8,0.028,否,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,30
S003-FOD-02,S003,应急食品,8,0.028,否,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,31
S003-HYG-01,S003,生活卫生用品,6,0.035,否,,14400,6,物资需求与配送时限.xlsx,逐箱货箱清单,32
S004-MED-01,S004,医疗物资,3,0.012,是,7200,7200,20,物资需求与配送时限.xlsx,逐箱货箱清单,33
S004-WAT-01,S004,饮用水,14,0.027,是,7200,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,34
