zone_id,item_type,total_boxes,first_boxes,unit_mass_kg,unit_volume_m3,priority,first_deadline_s,expected_s,source_file,source_sheet,source_row
S001,医疗物资,2,1,3,0.012,24,3600,3600,物资需求与配送时限.xlsx,数据,2
S001,饮用水,8,1,14,0.027,12,3600,3600,物资需求与配送时限.xlsx,数据,3
S001,应急食品,3,0,8,0.028,10,,7200,物资需求与配送时限.xlsx,数据,4
S001,生活卫生用品,2,0,6,0.035,8,,10800,物资需求与配送时限.xlsx,数据,5
S002,医疗物资,1,1,3,0.012,24,3600,3600,物资需求与配送时限.xlsx,数据,6
S002,饮用水,4,1,14,0.027,12,3600,3600,物资需求与配送时限.xlsx,数据,7
S002,应急食品,2,0,8,0.028,10,,7200,物资需求与配送时限.xlsx,数据,8
S002,生活卫生用品,1,0,6,0.035,8,,10800,物资需求与配送时限.xlsx,数据,9
S003,医疗物资,1,1,3,0.012,20,7200,7200,物资需求与配送时限.xlsx,数据,10
S003,饮用水,4,1,14,0.027,10,7200,7200,物资需求与配送时限.xlsx,数据,11
S003,应急食品,2,0,8,0.028,8,,10800,物资需求与配送时限.xlsx,数据,12
S003,生活卫生用品,1,0,6,0.035,6,,14400,物资需求与配送时限.xlsx,数据,13
S004,医疗物资,1,1,3,0.012,20,7200,7200,物资需求与配送时限.xlsx,数据,14
S004,饮用水,3,1,14,0.027,10,7200,7200,物资需求与配送时限.xlsx,数据,15
S004,应急食品,1,0,8,0.028,8,,10800,物资需求与配送时限.xlsx,数据,16
S004,生活卫生用品,1,0,6,0.035,6,,14400,物资需求与配送时限.xlsx,数据,17
S005,医疗物资,1,1,3,0.012,16,10800,10800,物资需求与配送时限.xlsx,数据,18
S005,饮用水,3,1,14,0.027,8,10800,10800,物资需求与配送时限.xlsx,数据,19
S005,应急食品,1,0,8,0.028,6,,14400,物资需求与配送时限.xlsx,数据,20
S005,生活卫生用品,1,0,6,0.035,4,,18000,物资需求与配送时限.xlsx,数据,21
S006,医疗物资,1,1,3,0.012,24,3600,3600,物资需求与配送时限.xlsx,数据,22
S006,饮用水,3,1,14,0.027,12,3600,3600,物资需求与配送时限.xlsx,数据,23
S006,应急食品,1,0,8,0.028,10,,7200,物资需求与配送时限.xlsx,数据,24
S006,生活卫生用品,1,0,6,0.035,8,,10800,物资需求与配送时限.xlsx,数据,25
S007,医疗物资,1,1,3,0.012,24,3600,3600,物资需求与配送时限.xlsx,数据,26
S007,饮用水,2,1,14,0.027,12,3600,3600,物资需求与配送时限.xlsx,数据,27
S007,应急食品,1,0,8,0.028,10,,7200,物资需求与配送时限.xlsx,数据,28
S007,生活卫生用品,1,0,6,0.035,8,,10800,物资需求与配送时限.xlsx,数据,29
S008,医疗物资,1,1,3,0.012,20,7200,7200,物资需求与配送时限.xlsx,数据,30
S008,饮用水,2,1,14,0.027,10,7200,7200,物资需求与配送时限.xlsx,数据,31
S008,应急食品,1,0,8,0.028,8,,10800,物资需求与配送时限.xlsx,数据,32
S008,生活卫生用品,1,0,6,0.035,6,,14400,物资需求与配送时限.xlsx,数据,33
S009,医疗物资,1,1,3,0.012,16,10800,10800,物资需求与配送时限.xlsx,数据,34
S009,饮用水,1,1,14,0.027,8,10800,10800,物资需求与配送时限.xlsx,数据,35
S009,应急食品,1,0,8,0.028,6,,14400,物资需求与配送时限.xlsx,数据,36
S010,医疗物资,1,1,3,0.012,24,3600,3600,物资需求与配送时限.xlsx,数据,37
S010,饮用水,1,1,14,0.027,12,3600,3600,物资需求与配送时限.xlsx,数据,38
S010,应急食品,1,0,8,0.028,10,,7200,物资需求与配送时限.xlsx,数据,39
S011,医疗物资,1,1,3,0.012,16,10800,10800,物资需求与配送时限.xlsx,数据,40
S011,饮用水,1,1,14,0.027,8,10800,10800,物资需求与配送时限.xlsx,数据,41
S011,应急食品,1,0,8,0.028,6,,14400,物资需求与配送时限.xlsx,数据,42
S012,医疗物资,1,1,3,0.012,22,3600,7200,物资需求与配送时限.xlsx,数据,43
S012,饮用水,1,1,14,0.027,12,3600,3600,物资需求与配送时限.xlsx,数据,44
S012,应急食品,1,0,8,0.028,10,,7200,物资需求与配送时限.xlsx,数据,45
S013,医疗物资,1,1,3,0.012,24,3600,3600,物资需求与配送时限.xlsx,数据,46
S013,饮用水,1,1,14,0.027,12,3600,3600,物资需求与配送时限.xlsx,数据,47
S013,应急食品,1,0,8,0.028,10,,7200,物资需求与配送时限.xlsx,数据,48
S014,医疗物资,1,1,3,0.012,22,3600,7200,物资需求与配送时限.xlsx,数据,49
S014,饮用水,1,1,14,0.027,12,3600,3600,物资需求与配送时限.xlsx,数据,50
S014,应急食品,1,0,8,0.028,10,,7200,物资需求与配送时限.xlsx,数据,51
S015,医疗物资,1,1,3,0.012,18,7200,7200,物资需求与配送时限.xlsx,数据,52
S015,饮用水,1,1,14,0.027,8,10800,10800,物资需求与配送时限.xlsx,数据,53
S015,应急食品,1,0,8,0.028,6,,14400,物资需求与配送时限.xlsx,数据,54
