架次编号,服务区编号,机型编号,货箱编号列表,总质量（kg）,总体积（m³）,往返时间（s）,架次能耗（kWh）,返航SOC（%）
F001,S001,C,S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-FOD-01,78,0.163,1494.17039188,2.9957785952,62.55276756
F002,S001,C,S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02;S001-MED-01;S001-MED-02,76,0.231,1692.17039188,2.9175913912,63.53010761
F003,S002,C,S002-WAT-01;S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-01;S002-MED-01,67,0.148,2107.81201864,6.28082237876,21.4897202655
F004,S002,B,S002-FOD-02;S002-HYG-01,14,0.063,1756.69393392,2.36126152605,40.9684618487
F005,S003,C,S003-WAT-01;S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-01;S003-MED-01,67,0.148,2436.11114434,6.32418119569,20.9477350539
F006,S003,B,S003-FOD-02;S003-HYG-01,14,0.063,2020.54309828,2.4241645556,39.3958861099
F007,S004,C,S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01;S004-MED-01,59,0.156,2301.06106659,6.1529574311,23.0880321113
F008,S005,C,S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01;S005-MED-01,59,0.156,1877.1951582,4.22221977966,47.2222527543
F009,S006,C,S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01;S006-MED-01,59,0.156,1561.55952594,2.59802073597,67.5247408004
F010,S007,C,S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01;S007-MED-01,45,0.129,1907.57544784,3.41094197301,57.3632253374
F011,S008,C,S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01;S008-MED-01,45,0.129,2199.71208459,5.83606926193,27.0491342259
F012,S009,B,S009-WAT-01;S009-FOD-01;S009-MED-01,25,0.067,1558.44224739,2.09623510307,47.5941224233
F013,S010,B,S010-WAT-01;S010-FOD-01;S010-MED-01,25,0.067,1555.37690245,1.82318861044,54.4202847391
F014,S011,B,S011-WAT-01;S011-FOD-01;S011-MED-01,25,0.067,1188.42365011,1.07396022223,73.1509944444
F015,S012,B,S012-WAT-01;S012-FOD-01;S012-MED-01,25,0.067,1922.73455597,2.75239887807,31.1900280483
F016,S013,B,S013-WAT-01;S013-FOD-01;S013-MED-01,25,0.067,1510.47028029,1.82475383079,54.3811542301
F017,S014,B,S014-WAT-01;S014-FOD-01;S014-MED-01,25,0.067,1869.75219462,2.14037724739,46.4905688154
F018,S015,B,S015-WAT-01;S015-FOD-01;S015-MED-01,25,0.067,1828.28858402,2.3074846159,42.3128846024
