架次编号,服务区编号,机型编号,货箱编号列表,总质量（kg）,总体积（m³）,往返时间（s）,架次能耗（kWh）,返航SOC（%）
S001,S001,B,S001-FOD-01,8,0.028,1089.10152184,0.961999566029,75.9500108493
S002,S001,B,S001-FOD-02,8,0.028,1089.10152184,0.961999566029,75.9500108493
S003,S001,B,S001-FOD-03,8,0.028,1089.10152184,0.961999566029,75.9500108493
S004,S001,B,S001-HYG-01,6,0.035,1089.10152184,0.950926812336,76.2268296916
S005,S001,B,S001-HYG-02,6,0.035,1089.10152184,0.950926812336,76.2268296916
S006,S001,B,S001-MED-01,3,0.012,1089.10152184,0.937879910721,76.553002232
S007,S001,B,S001-MED-02,3,0.012,1089.10152184,0.937879910721,76.553002232
S008,S001,B,S001-WAT-01,14,0.027,1089.10152184,1.00697784377,74.8255539057
S009,S001,B,S001-WAT-02,14,0.027,1089.10152184,1.00697784377,74.8255539057
S010,S001,B,S001-WAT-03,14,0.027,1089.10152184,1.00697784377,74.8255539057
S011,S001,B,S001-WAT-04,14,0.027,1089.10152184,1.00697784377,74.8255539057
S012,S001,B,S001-WAT-05,14,0.027,1089.10152184,1.00697784377,74.8255539057
S013,S001,B,S001-WAT-06,14,0.027,1089.10152184,1.00697784377,74.8255539057
S014,S001,B,S001-WAT-07,14,0.027,1089.10152184,1.00697784377,74.8255539057
S015,S001,B,S001-WAT-08,14,0.027,1089.10152184,1.00697784377,74.8255539057
S016,S002,B,S002-FOD-01,8,0.028,1696.69393392,2.25600418594,43.5998953515
S017,S002,B,S002-FOD-02,8,0.028,1696.69393392,2.25600418594,43.5998953515
S018,S002,B,S002-HYG-01,6,0.035,1696.69393392,2.23043133152,44.2392167119
S019,S002,B,S002-MED-01,3,0.012,1696.69393392,2.20071673633,44.9820815917
S020,S002,B,S002-WAT-01,14,0.027,1696.69393392,2.36126152605,40.9684618487
S021,S002,B,S002-WAT-02,14,0.027,1696.69393392,2.36126152605,40.9684618487
S022,S002,B,S002-WAT-03,14,0.027,1696.69393392,2.36126152605,40.9684618487
S023,S002,B,S002-WAT-04,14,0.027,1696.69393392,2.36126152605,40.9684618487
S024,S003,B,S003-FOD-01,8,0.028,1960.54309828,2.31518488385,42.1203779038
S025,S003,B,S003-FOD-02,8,0.028,1960.54309828,2.31518488385,42.1203779038
S026,S003,B,S003-HYG-01,6,0.035,1960.54309828,2.28818130967,42.7954672582
S027,S003,B,S003-MED-01,3,0.012,1960.54309828,2.25614802824,43.5962992939
S028,S003,B,S003-WAT-01,14,0.027,1960.54309828,2.4241645556,39.3958861099
S029,S003,B,S003-WAT-02,14,0.027,1960.54309828,2.4241645556,39.3958861099
S030,S003,B,S003-WAT-03,14,0.027,1960.54309828,2.4241645556,39.3958861099
S031,S003,B,S003-WAT-04,14,0.027,1960.54309828,2.4241645556,39.3958861099
S032,S004,B,S004-FOD-01,8,0.028,1861.64801117,2.38988254538,40.2529363656
S033,S004,B,S004-HYG-01,6,0.035,1861.64801117,2.36264306204,40.9339234491
S034,S004,B,S004-MED-01,3,0.012,1861.64801117,2.33078243996,41.7304390009
S035,S004,B,S004-WAT-01,14,0.027,1861.64801117,2.50130815984,37.4672960041
S036,S004,B,S004-WAT-02,14,0.027,1861.64801117,2.50130815984,37.4672960041
S037,S004,B,S004-WAT-03,14,0.027,1861.64801117,2.50130815984,37.4672960041
S038,S005,B,S005-FOD-01,8,0.028,1456.17486197,1.64329683184,58.917579204
S039,S005,B,S005-HYG-01,6,0.035,1456.17486197,1.62454931038,59.3862672404
S040,S005,B,S005-MED-01,3,0.012,1456.17486197,1.60258746636,59.935313341
S041,S005,B,S005-WAT-01,14,0.027,1456.17486197,1.71987360184,57.003159954
S042,S005,B,S005-WAT-02,14,0.027,1456.17486197,1.71987360184,57.003159954
S043,S005,B,S005-WAT-03,14,0.027,1456.17486197,1.71987360184,57.003159954
S044,S006,B,S006-FOD-01,8,0.028,1147.27691282,1.01739066887,74.5652332783
S045,S006,B,S006-HYG-01,6,0.035,1147.27691282,1.00518175714,74.8704560715
S046,S006,B,S006-MED-01,3,0.012,1147.27691282,0.990584891214,75.2353777197
S047,S006,B,S006-WAT-01,14,0.027,1147.27691282,1.06628672262,73.3428319344
S048,S006,B,S006-WAT-02,14,0.027,1147.27691282,1.06628672262,73.3428319344
S049,S006,B,S006-WAT-03,14,0.027,1147.27691282,1.06628672262,73.3428319344
S050,S007,B,S007-FOD-01,8,0.028,1516.28438949,1.48259205994,62.9351985016
S051,S007,B,S007-HYG-01,6,0.035,1516.28438949,1.46487629232,63.3780926919
S052,S007,B,S007-MED-01,3,0.012,1516.28438949,1.44359179825,63.9102050438
S053,S007,B,S007-WAT-01,14,0.027,1516.28438949,1.55320050294,61.1699874265
S054,S007,B,S007-WAT-02,14,0.027,1516.28438949,1.55320050294,61.1699874265
S055,S008,B,S008-FOD-01,8,0.028,1841.84230717,2.47354800703,38.1612998242
S056,S008,B,S008-HYG-01,6,0.035,1841.84230717,2.44531039357,38.8672401608
S057,S008,B,S008-MED-01,3,0.012,1841.84230717,2.41237760217,39.6905599457
S058,S008,B,S008-WAT-01,14,0.027,1841.84230717,2.58937115337,35.2657211658
S059,S008,B,S008-WAT-02,14,0.027,1841.84230717,2.58937115337,35.2657211658
S060,S009,B,S009-FOD-01,8,0.028,1438.44224739,1.74244715315,56.4388211713
S061,S009,B,S009-MED-01,3,0.012,1438.44224739,1.6993954029,57.5151149274
S062,S009,B,S009-WAT-01,14,0.027,1438.44224739,1.82406362115,54.3984094713
S063,S010,B,S010-FOD-01,8,0.028,1435.37690245,1.51561230667,62.1096923332
S064,S010,B,S010-MED-01,3,0.012,1435.37690245,1.47630771317,63.0923071707
S065,S010,B,S010-WAT-01,14,0.027,1435.37690245,1.58789827133,60.3025432167
S066,S011,B,S011-FOD-01,8,0.028,1068.42365011,0.894278973562,77.6430256609
S067,S011,B,S011-MED-01,3,0.012,1068.42365011,0.871457739205,78.2135565199
S068,S011,B,S011-WAT-01,14,0.027,1068.42365011,0.936408119627,76.5897970093
S069,S012,B,S012-FOD-01,8,0.028,1802.73455597,2.28952265216,42.7619336961
S070,S012,B,S012-MED-01,3,0.012,1802.73455597,2.23240654074,44.1898364815
S071,S012,B,S012-WAT-01,14,0.027,1802.73455597,2.39686486562,40.0783783596
S072,S013,B,S013-FOD-01,8,0.028,1390.47028029,1.51562849622,62.1092875944
S073,S013,B,S013-MED-01,3,0.012,1390.47028029,1.47656068186,63.0859829535
S074,S013,B,S013-WAT-01,14,0.027,1390.47028029,1.58797030131,60.3007424674
S075,S014,B,S014-FOD-01,8,0.028,1749.75219462,1.78454587415,55.3863531463
S076,S014,B,S014-MED-01,3,0.012,1749.75219462,1.73783950626,56.5540123434
S077,S014,B,S014-WAT-01,14,0.027,1749.75219462,1.86904847858,53.2737880354
S078,S015,B,S015-FOD-01,8,0.028,1708.28858402,1.91746973546,52.0632566135
S079,S015,B,S015-MED-01,3,0.012,1708.28858402,1.86701705273,53.3245736818
S080,S015,B,S015-WAT-01,14,0.027,1708.28858402,2.00956514677,49.7608713309
