batch_id,zone_id,type_id,box_ids,box_count,mass_kg,volume_m3,energy_out_kwh,energy_back_kwh,energy_kwh,energy_limit_kwh,return_soc,flight_out_s,flight_back_s,flight_s,prep_s,loading_s,handoff_s,operation_s
F001,S001,C,S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-FOD-01,6,78,0.163,2.03252965188,0.96324894332,2.9957785952,6.4,0.6255276756,306.270195939,311.900195939,618.170391879,300,180,396,1494.17039188
F002,S001,C,S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02;S001-MED-01;S001-MED-02,9,76,0.231,1.95434244788,0.96324894332,2.9175913912,6.4,0.6353010761,306.270195939,311.900195939,618.170391879,300,270,504,1692.17039188
F003,S002,C,S002-WAT-01;S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-01;S002-MED-01,6,67,0.148,3.97675469754,2.30406768123,6.28082237876,6.4,0.214897202655,611.31600932,620.49600932,1231.81201864,300,180,396,2107.81201864
F004,S002,B,S002-FOD-02;S002-HYG-01,2,14,0.063,1.28049691421,1.08076461184,2.36126152605,3.2,0.409684618487,590.286966961,596.406966961,1186.69393392,300,60,210,1756.69393392
F005,S003,C,S003-WAT-01;S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-01;S003-MED-01,6,67,0.148,4.03023555393,2.29394564176,6.32418119569,6.4,0.209477350539,769.515572169,790.595572169,1560.11114434,300,180,396,2436.11114434
F006,S003,B,S003-FOD-02;S003-HYG-01,2,14,0.063,1.3316119416,1.09255261401,2.4241645556,3.2,0.393958861099,718.244882471,732.298215805,1450.54309828,300,60,210,2020.54309828
F007,S004,C,S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01;S004-MED-01,6,59,0.156,3.73423682295,2.41872060815,6.1529574311,6.4,0.230880321113,707.500533297,717.560533297,1425.06106659,300,180,396,2301.06106659
F008,S005,C,S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01;S005-MED-01,6,59,0.156,2.56264192778,1.65957785188,4.22221977966,6.4,0.472222527543,497.232579098,503.962579098,1001.1951582,300,180,396,1877.1951582
F009,S006,C,S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01;S006-MED-01,6,59,0.156,1.60406498162,0.99395575435,2.59802073597,6.4,0.675247408004,333.42476297,352.13476297,685.55952594,300,180,396,1561.55952594
F010,S007,C,S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01;S007-MED-01,5,45,0.129,1.97245542071,1.43848655229,3.41094197301,6.4,0.573632253374,537.747723918,559.827723918,1097.57544784,300,150,360,1907.57544784
F011,S008,C,S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01;S008-MED-01,5,45,0.129,3.32320105018,2.51286821175,5.83606926193,6.4,0.270491342259,687.696042296,702.016042296,1389.71208459,300,150,360,2199.71208459
F012,S009,B,S009-WAT-01;S009-FOD-01;S009-MED-01,3,25,0.067,1.2656590916,0.830576011468,2.09623510307,3.2,0.475941224233,460.811123697,467.631123697,928.442247395,300,90,240,1558.44224739
F013,S010,B,S010-WAT-01;S010-FOD-01;S010-MED-01,3,25,0.067,1.11901862819,0.70416998225,1.82318861044,3.2,0.544202847391,455.22511789,470.151784557,925.376902447,300,90,240,1555.37690245
F014,S011,B,S011-WAT-01;S011-FOD-01;S011-MED-01,3,25,0.067,0.652320385518,0.421639836707,1.07396022223,3.2,0.731509944444,276.398491723,282.025158389,558.423650112,300,90,240,1188.42365011
F015,S012,B,S012-WAT-01;S012-FOD-01;S012-MED-01,3,25,0.067,1.66377838821,1.08862048985,2.75239887807,3.2,0.311900280483,641.297277985,651.437277985,1292.73455597,300,90,240,1922.73455597
F016,S013,B,S013-WAT-01;S013-FOD-01;S013-MED-01,3,25,0.067,1.12032625226,0.704427578539,1.82475383079,3.2,0.543811542301,432.76847348,447.701806813,880.470280293,300,90,240,1510.47028029
F017,S014,B,S014-WAT-01;S014-FOD-01;S014-MED-01,3,25,0.067,1.3068782032,0.833499044189,2.14037724739,3.2,0.464905688154,612.432763976,627.319430643,1239.75219462,300,90,240,1869.75219462
F018,S015,B,S015-WAT-01;S015-FOD-01;S015-MED-01,3,25,0.067,1.42505224181,0.882432374093,2.3074846159,3.2,0.423128846024,587.58429201,610.70429201,1198.28858402,300,90,240,1828.28858402
