架次编号,服务区编号,机型编号,货箱编号列表,总质量（kg）,总体积（m³）,往返时间（s）,架次能耗（kWh）,返航SOC（%）
O001,S001,C,S001-FOD-01;S001-FOD-02;S001-HYG-01;S001-HYG-02;S001-MED-01;S001-MED-02;S001-WAT-03;S001-WAT-04;S001-WAT-06,76,0.231,1692.17039188,2.9175913912,63.53010761
O002,S001,C,S001-FOD-03;S001-WAT-01;S001-WAT-02;S001-WAT-05;S001-WAT-07;S001-WAT-08,78,0.163,1494.17039188,2.9957785952,62.55276756
O003,S002,C,S002-FOD-01;S002-HYG-01;S002-WAT-01;S002-WAT-03;S002-WAT-04,56,0.144,2041.81201864,5.72122259158,28.4847176052
O004,S002,B,S002-FOD-02;S002-MED-01;S002-WAT-02,25,0.067,1816.69393392,2.71342131299,32.1644671753
O005,S003,C,S003-FOD-01;S003-HYG-01;S003-WAT-01;S003-WAT-03;S003-WAT-04,56,0.144,2370.11114434,5.76507751642,27.9365310447
O006,S003,B,S003-FOD-02;S003-MED-01;S003-WAT-02,25,0.067,2080.54309828,2.77997014462,30.5007463844
O007,S004,C,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,59,0.156,2301.06106659,6.1529574311,23.0880321113
O008,S005,C,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,59,0.156,1877.1951582,4.22221977966,47.2222527543
O009,S006,C,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,59,0.156,1561.55952594,2.59802073597,67.5247408004
O010,S007,C,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02,45,0.129,1907.57544784,3.41094197301,57.3632253374
O011,S008,C,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02,45,0.129,2199.71208459,5.83606926193,27.0491342259
O012,S009,B,S009-FOD-01;S009-MED-01;S009-WAT-01,25,0.067,1558.44224739,2.09623510307,47.5941224233
O013,S010,B,S010-FOD-01;S010-MED-01;S010-WAT-01,25,0.067,1555.37690245,1.82318861044,54.4202847391
O014,S011,B,S011-FOD-01;S011-MED-01;S011-WAT-01,25,0.067,1188.42365011,1.07396022223,73.1509944444
O015,S012,B,S012-FOD-01;S012-MED-01;S012-WAT-01,25,0.067,1922.73455597,2.75239887807,31.1900280483
O016,S013,B,S013-FOD-01;S013-MED-01;S013-WAT-01,25,0.067,1510.47028029,1.82475383079,54.3811542301
O017,S014,B,S014-FOD-01;S014-MED-01;S014-WAT-01,25,0.067,1869.75219462,2.14037724739,46.4905688154
O018,S015,B,S015-FOD-01;S015-MED-01;S015-WAT-01,25,0.067,1828.28858402,2.3074846159,42.3128846024
