type_id,zone_id,out_distance_m,back_distance_m,energy_limit_kwh,energy_empty_kwh,rated_payload_kg,status,q_max_kg,energy_at_qmax_kwh,soc_at_qmax_pct
A,S001,3053.98870264,3053.98870264,3.6,1.16153915761,25,rated_payload,25,1.31272200904,70.8283997991
A,S002,7411.30770876,7411.30770876,3.6,2.73978973065,25,rated_payload,25,3.09044850264,31.3233666081
A,S003,7263.32771705,7263.32771705,3.6,2.78896551802,25,rated_payload,25,3.15688935475,29.8469032277
A,S004,7714.72925494,7714.72925494,3.6,2.89399870112,25,rated_payload,25,3.26675940746,27.4053465009
A,S005,5280.64168939,5280.64168939,3.6,1.98849035405,25,rated_payload,25,2.24492086798,50.1128696004
A,S006,3186.25061325,3186.25061325,3.6,1.22379945787,25,rated_payload,25,1.38973747548,69.1169449894
A,S007,4534.52799561,4534.52799561,3.6,1.77754482326,25,rated_payload,25,2.01795776368,55.1564941404
A,S008,8079.11464873,8079.11464873,3.6,3.00047010724,25,rated_payload,25,3.38723149666,24.7281889632
A,S009,5705.14881957,5705.14881957,3.6,2.11445851263,25,rated_payload,25,2.38685223334,46.9588392591
A,S010,4784.47487626,4784.47487626,3.6,1.82625659899,25,rated_payload,25,2.07069432466,53.9845705631
A,S011,2808.09806676,2808.09806676,3.6,1.07739260914,25,rated_payload,25,1.21962085142,72.8973144128
A,S012,7390.44822617,7390.44822617,3.6,2.7715942844,25,rated_payload,25,3.13118746538,30.418056325
A,S013,4849.22704116,4849.22704116,3.6,1.83022495114,25,rated_payload,25,2.07412725027,53.9082833272
A,S014,5419.57019499,5419.57019499,3.6,2.13787291382,25,rated_payload,25,2.42567975771,46.0960053842
A,S015,6009.47257108,6009.47257108,3.6,2.30684313381,25,rated_payload,25,2.61928920753,41.793573166
B,S001,3053.98870264,3053.98870264,3.2,0.930235480797,30,rated_payload,30,1.27395258785,68.1511853037
B,S002,7411.30770876,7411.30770876,3.2,2.18411266118,30,rated_payload,30,2.99876125437,25.0309686408
B,S003,7263.32771705,7263.32771705,3.2,2.23696349191,30,rated_payload,30,3.06446608323,23.3883479192
B,S004,7714.72925494,7714.72925494,3.2,2.31256908723,30,rated_payload,30,3.16986468953,20.7533827619
B,S005,5280.64168939,5280.64168939,3.2,1.58996701814,30,rated_payload,30,2.17831202177,45.5421994557
B,S006,3186.25061325,3186.25061325,3.2,0.981624466811,30,rated_payload,30,1.3500765491,66.2480862725
B,S007,4534.52799561,4534.52799561,3.2,1.43032883324,30,rated_payload,30,1.95980213523,51.0049466192
B,S008,8079.11464873,8079.11464873,3.2,2.39373667379,30,energy_limited,28.800781,3.19999995498,20.0000011254
B,S009,5705.14881957,5705.14881957,3.2,1.68631853335,30,rated_payload,30,2.3163789069,42.0905273276
B,S010,4784.47487626,4784.47487626,3.2,1.46342091936,30,rated_payload,30,2.01100685502,49.7248286246
B,S011,2808.09806676,2808.09806676,3.2,0.864042659526,30,rated_payload,30,1.18394690468,70.4013273831
B,S012,7390.44822617,7390.44822617,3.2,2.21465863596,30,rated_payload,30,3.03891998743,24.0270003141
B,S013,4849.22704116,4849.22704116,3.2,1.46396071263,30,rated_payload,30,2.01434525149,49.6413687127
B,S014,5419.57019499,5419.57019499,3.2,1.72193143907,30,rated_payload,30,2.3553110964,41.1172225901
B,S015,6009.47257108,6009.47257108,3.2,1.85017995652,30,rated_payload,30,2.54447578733,36.3881053169
C,S001,3053.98870264,3053.98870264,6.4,1.94139216893,80,rated_payload,80,3.08170655717,61.4786680354
C,S002,7411.30770876,7411.30770876,6.4,4.6324212437,80,energy_limited,68.860377,6.3999999499,20.0000006262
C,S003,7263.32771705,7263.32771705,6.4,4.64365886268,80,energy_limited,68.20455,6.39999997351,20.0000003312
C,S004,7714.72925494,7714.72925494,6.4,4.86405515588,80,energy_limited,63.696492,6.39999997126,20.0000003592
C,S005,5280.64168939,5280.64168939,6.4,3.33696005896,80,rated_payload,80,5.29274026568,33.840746679
C,S006,3186.25061325,3186.25061325,6.4,2.03740920349,80,rated_payload,80,3.25337304294,59.3328369632
C,S007,4534.52799561,4534.52799561,6.4,2.93538620459,80,rated_payload,80,4.67951486306,41.5060642117
C,S008,8079.11464873,8079.11464873,6.4,5.06362028183,80,energy_limited,58.903108,6.39999996586,20.0000004267
C,S009,5705.14881957,5705.14881957,6.4,3.57137917115,80,rated_payload,80,5.66949978775,29.1312526531
C,S010,4784.47487626,4784.47487626,6.4,3.04798952416,80,rated_payload,80,4.85872966586,39.2658791768
C,S011,2808.09806676,2808.09806676,6.4,1.7944426863,80,rated_payload,80,2.85324214346,64.3344732068
C,S012,7390.44822617,7390.44822617,6.4,4.6588424437,80,energy_limited,68.117758,6.39999999386,20.0000000768
C,S013,4849.22704116,4849.22704116,6.4,3.06852221508,80,rated_payload,80,4.891469047,38.8566369125
C,S014,5419.57019499,5419.57019499,6.4,3.52168086698,80,rated_payload,80,5.60773139603,29.9033575496
C,S015,6009.47257108,6009.47257108,6.4,3.84136507075,80,rated_payload,80,6.13307502038,23.3365622453
