zone_id,box_count,mass_kg,volume_m3,max_safe_payload_kg,mass_lower_bound,volume_lower_bound,sortie_lower_bound,ffd_sorties,matched_lower_bound
S001,15,154,0.394,80,2,2,2,2,True
S002,8,81,0.211,68.860377,2,1,2,2,True
S003,8,81,0.211,68.20455,2,1,2,2,True
S004,6,59,0.156,63.696492,1,1,1,1,True
S005,6,59,0.156,80,1,1,1,1,True
S006,6,59,0.156,80,1,1,1,1,True
S007,5,45,0.129,80,1,1,1,1,True
S008,5,45,0.129,58.903108,1,1,1,1,True
S009,3,25,0.067,80,1,1,1,1,True
S010,3,25,0.067,80,1,1,1,1,True
S011,3,25,0.067,80,1,1,1,1,True
S012,3,25,0.067,68.117758,1,1,1,1,True
S013,3,25,0.067,80,1,1,1,1,True
S014,3,25,0.067,80,1,1,1,1,True
S015,3,25,0.067,80,1,1,1,1,True
