batch_id,zone_id,type_id,uav_id,battery_id,box_ids,start_s,prep_end_s,launch_s,arrival_s,handoff_end_s,return_s,charge_start_s,charge_end_s,charge_s,mass_kg,volume_m3,energy_kwh,return_soc
Q001,S001,B,U05,B-B01,S001-MED-01;S001-MED-02;S001-WAT-01,0,300,390,677.674094255,917.674094255,1209.10152184,1209.10152184,2341.16134947,1132.05982763,20,0.051,1.07398421761,0.731503945597
Q004,S002,C,U07,C-B01,S002-MED-01;S002-WAT-01,0,300,360,971.31600932,1223.31600932,1843.81201864,1843.81201864,3969.30853765,2125.49651901,17,0.039,4.77106407018,0.403616991228
Q012,S006,A,U01,A-B01,S006-MED-01;S006-WAT-01,0,300,360,725.505966632,935.505966632,1313.4852666,1313.4852666,2192.38689134,878.901624742,17,0.039,1.31158254718,0.708537211737
Q014,S007,B,U06,B-B02,S007-MED-01;S007-WAT-01,0,300,360,855.782194743,1065.78219474,1576.28438949,1576.28438949,2936.27282318,1359.98843369,17,0.039,1.59997330853,0.600006672869
Q020,S010,C,U08,C-B02,S010-MED-01;S010-WAT-01,0,300,360,844.157873831,1096.15787383,1602.70574766,1602.70574766,3289.10356437,1686.39781671,17,0.039,3.149776554,0.60627793075
Q024,S012,A,U02,A-B02,S012-WAT-01;S012-MED-01,0,300,360,1124.47141509,1334.47141509,2109.08283018,2109.08283018,3463.61720288,1354.53437271,17,0.039,2.95800359784,0.342665867148
Q026,S013,A,U03,A-B03,S013-MED-01;S013-WAT-01,0,300,360,873.588924166,1083.58892417,1612.11118166,1612.11118166,2677.74034483,1065.62916316,17,0.039,1.95794710326,0.564900643719
Q028,S014,A,U04,A-B04,S014-WAT-01;S014-MED-01,0,300,360,1062.75893389,1272.75893389,1990.40453445,1990.40453445,3152.23896026,1161.8344258,17,0.039,2.29096532009,0.490896595535
Q006,S003,B,U05,B-B03,S003-MED-01;S003-WAT-01,1209.10152184,1509.10152184,1569.10152184,2287.34640431,2497.34640431,3229.64462012,3229.64462012,4978.35526672,1748.71064661,17,0.039,2.49702456909,0.375743857728
Q008,S004,A,U01,A-B05,S004-MED-01;S004-WAT-01,1313.4852666,1613.4852666,1673.4852666,2474.53475977,2684.53475977,3492.2909196,3492.2909196,4884.03660283,1391.74568323,17,0.039,3.0868119804,0.314041782132
Q016,S008,B,U06,B-B04,S008-MED-01;S008-WAT-01,1576.28438949,1876.28438949,1936.28438949,2597.43220974,2807.43220974,3478.12669665,3478.12669665,5300.80370215,1822.67700549,17,0.039,2.66771616652,0.33307095837
Q030,S015,C,U08,C-B03,S015-MED-01;S015-WAT-01,1602.70574766,1902.70574766,1962.70574766,2589.62658223,2841.62658223,3503.22741681,3503.22741681,5412.55483046,1909.32741365,17,0.039,3.97290121964,0.503387347545
