架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
Q001,U05,B,B-B01,0,S001,1209.10152184,1.07398421761
Q004,U07,C,C-B01,0,S002,1843.81201864,4.77106407018
Q012,U01,A,A-B01,0,S006,1313.4852666,1.31158254718
Q014,U06,B,B-B02,0,S007,1576.28438949,1.59997330853
Q020,U08,C,C-B02,0,S010,1602.70574766,3.149776554
Q024,U02,A,A-B02,0,S012,2109.08283018,2.95800359784
Q026,U03,A,A-B03,0,S013,1612.11118166,1.95794710326
Q028,U04,A,A-B04,0,S014,1990.40453445,2.29096532009
Q006,U05,B,B-B03,1209.10152184,S003,3229.64462012,2.49702456909
Q008,U01,A,A-B05,1313.4852666,S004,3492.2909196,3.0868119804
Q016,U06,B,B-B04,1576.28438949,S008,3478.12669665,2.66771616652
Q030,U08,C,C-B03,1602.70574766,S015,3503.22741681,3.97290121964
Q010,U03,A,A-B06,1612.11118166,S005,3304.30743328,2.12133930635
Q018,U07,C,C-B04,1843.81201864,S009,3422.38057015,3.67977792714
Q022,U02,A,A-B01,2192.38689134,S011,3414.41381034,1.15202661592
Q021,U04,A,A-B03,2677.74034483,S010,4272.59974315,1.86793040299
Q025,U05,B,B-B01,3229.64462012,S012,5032.37917609,2.28952265216
Q027,U03,A,A-B04,3304.30743328,S013,4856.41861495,1.87123280847
Q002,U07,C,C-B02,3422.38057015,S001,4916.55096203,2.9957785952
Q019,U02,A,A-B02,3463.61720288,S009,5092.2310776,2.15804565618
Q029,U06,B,B-B02,3478.12669665,S014,5227.87889127,1.78454587415
Q003,U08,C,C-B01,3969.30853765,S001,5463.47892952,2.4050336325
Q023,U01,A,A-B01,4247.22149939,S011,5409.24841839,1.1014559562
Q031,U04,A,A-B06,4417.13878845,S015,6325.74312484,2.36092244974
Q005,U07,C,C-B04,5252.32042542,S002,7360.13244406,6.10565365374
Q013,U08,C,C-B03,5463.47892952,S006,6893.03845546,2.32784456804
Q015,U08,C,C-B02,6893.03845546,S007,8668.6139033,3.15119221098
Q007,U07,C,C-B01,7360.13244406,S003,9796.24358839,6.14959803584
Q009,U08,C,C-B03,8668.6139033,S004,10837.6749699,5.51852376776
Q017,U07,C,C-B04,9847.08030861,S008,11914.7923932,5.40155025048
Q011,U08,C,C-B02,10837.6749699,S005,12582.8701281,3.78708685422
