货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,Q002,S001,4604.65076609
S001-FOD-02,Q003,S001,5043.57873358
S001-FOD-03,Q003,S001,5079.57873358
S001-HYG-01,Q003,S001,5115.57873358
S001-HYG-02,Q003,S001,5151.57873358
S001-MED-01,Q001,S001,857.674094255
S001-MED-02,Q001,S001,887.674094255
S001-WAT-01,Q001,S001,917.674094255
S001-WAT-02,Q002,S001,4424.65076609
S001-WAT-03,Q002,S001,4460.65076609
S001-WAT-04,Q002,S001,4496.65076609
S001-WAT-05,Q002,S001,4532.65076609
S001-WAT-06,Q002,S001,4568.65076609
S001-WAT-07,Q003,S001,4971.57873358
S001-WAT-08,Q003,S001,5007.57873358
S002-FOD-01,Q005,S002,6667.63643474
S002-FOD-02,Q005,S002,6703.63643474
S002-HYG-01,Q005,S002,6739.63643474
S002-MED-01,Q004,S002,1187.31600932
S002-WAT-01,Q004,S002,1223.31600932
S002-WAT-02,Q005,S002,6559.63643474
S002-WAT-03,Q005,S002,6595.63643474
S002-WAT-04,Q005,S002,6631.63643474
S003-FOD-01,Q007,S003,8933.64801623
S003-FOD-02,Q007,S003,8969.64801623
S003-HYG-01,Q007,S003,9005.64801623
S003-MED-01,Q006,S003,2467.34640431
S003-WAT-01,Q006,S003,2497.34640431
S003-WAT-02,Q007,S003,8825.64801623
S003-WAT-03,Q007,S003,8861.64801623
S003-WAT-04,Q007,S003,8897.64801623
S004-FOD-01,Q009,S004,10084.1144366
S004-HYG-01,Q009,S004,10120.1144366
S004-MED-01,Q008,S004,2654.53475977
S004-WAT-01,Q008,S004,2684.53475977
S004-WAT-02,Q009,S004,10012.1144366
S004-WAT-03,Q009,S004,10048.1144366
S005-FOD-01,Q011,S005,12042.907549
S005-HYG-01,Q011,S005,12078.907549
S005-MED-01,Q010,S005,2710.96597414
S005-WAT-01,Q010,S005,2740.96597414
S005-WAT-02,Q011,S005,11970.907549
S005-WAT-03,Q011,S005,12006.907549
S006-FOD-01,Q013,S006,6504.90369249
S006-HYG-01,Q013,S006,6540.90369249
S006-MED-01,Q012,S006,905.505966632
S006-WAT-01,Q012,S006,935.505966632
S006-WAT-02,Q013,S006,6432.90369249
S006-WAT-03,Q013,S006,6468.90369249
S007-FOD-01,Q015,S007,8072.78617938
S007-HYG-01,Q015,S007,8108.78617938
S007-MED-01,Q014,S007,1035.78219474
S007-WAT-01,Q014,S007,1065.78219474
S007-WAT-02,Q015,S007,8036.78617938
S008-FOD-01,Q017,S008,11176.7763509
S008-HYG-01,Q017,S008,11212.7763509
S008-MED-01,Q016,S008,2777.43220974
S008-WAT-01,Q016,S008,2807.43220974
S008-WAT-02,Q017,S008,11140.7763509
S009-FOD-01,Q019,S009,4529.51414024
S009-MED-01,Q018,S009,2897.9812944
S009-WAT-01,Q018,S009,2933.9812944
S010-FOD-01,Q021,S010,3722.70671066
S010-MED-01,Q020,S010,1060.15787383
S010-WAT-01,Q020,S010,1096.15787383
S011-FOD-01,Q023,S011,5080.42162555
S011-MED-01,Q022,S011,3055.58701751
S011-WAT-01,Q022,S011,3085.58701751
S012-FOD-01,Q025,S012,4380.9418981
S012-MED-01,Q024,S012,1334.47141509
S012-WAT-01,Q024,S012,1304.47141509
S013-FOD-01,Q027,S013,4327.89635745
S013-MED-01,Q026,S013,1053.58892417
S013-WAT-01,Q026,S013,1083.58892417
S014-FOD-01,Q029,S014,4600.55946063
S014-MED-01,Q028,S014,1272.75893389
S014-WAT-01,Q028,S014,1242.75893389
S015-FOD-01,Q031,S015,5614.88095664
S015-MED-01,Q030,S015,2805.62658223
S015-WAT-01,Q030,S015,2841.62658223
