box_id,batch_id,zone_id,sequence,complete_s,hard_deadline_s,expected_s,priority,hard_slack_s,soft_lateness_s
S001-FOD-01,Q002,S001,6,4604.65076609,,7200,10,,0
S001-FOD-02,Q003,S001,3,5043.57873358,,7200,10,,0
S001-FOD-03,Q003,S001,4,5079.57873358,,7200,10,,0
S001-HYG-01,Q003,S001,5,5115.57873358,,10800,8,,0
S001-HYG-02,Q003,S001,6,5151.57873358,,10800,8,,0
S001-MED-01,Q001,S001,1,857.674094255,3600,3600,24,2742.32590575,0
S001-MED-02,Q001,S001,2,887.674094255,3600,3600,24,2712.32590575,0
S001-WAT-01,Q001,S001,3,917.674094255,3600,3600,12,2682.32590575,0
S001-WAT-02,Q002,S001,1,4424.65076609,,3600,12,,824.650766091
S001-WAT-03,Q002,S001,2,4460.65076609,,3600,12,,860.650766091
S001-WAT-04,Q002,S001,3,4496.65076609,,3600,12,,896.650766091
S001-WAT-05,Q002,S001,4,4532.65076609,,3600,12,,932.650766091
S001-WAT-06,Q002,S001,5,4568.65076609,,3600,12,,968.650766091
S001-WAT-07,Q003,S001,1,4971.57873358,,3600,12,,1371.57873358
S001-WAT-08,Q003,S001,2,5007.57873358,,3600,12,,1407.57873358
S002-FOD-01,Q005,S002,4,6667.63643474,,7200,10,,0
S002-FOD-02,Q005,S002,5,6703.63643474,,7200,10,,0
S002-HYG-01,Q005,S002,6,6739.63643474,,10800,8,,0
S002-MED-01,Q004,S002,1,1187.31600932,3600,3600,24,2412.68399068,0
S002-WAT-01,Q004,S002,2,1223.31600932,3600,3600,12,2376.68399068,0
S002-WAT-02,Q005,S002,1,6559.63643474,,3600,12,,2959.63643474
S002-WAT-03,Q005,S002,2,6595.63643474,,3600,12,,2995.63643474
S002-WAT-04,Q005,S002,3,6631.63643474,,3600,12,,3031.63643474
S003-FOD-01,Q007,S003,4,8933.64801623,,10800,8,,0
S003-FOD-02,Q007,S003,5,8969.64801623,,10800,8,,0
S003-HYG-01,Q007,S003,6,9005.64801623,,14400,6,,0
S003-MED-01,Q006,S003,1,2467.34640431,7200,7200,20,4732.65359569,0
S003-WAT-01,Q006,S003,2,2497.34640431,7200,7200,10,4702.65359569,0
S003-WAT-02,Q007,S003,1,8825.64801623,,7200,10,,1625.64801623
S003-WAT-03,Q007,S003,2,8861.64801623,,7200,10,,1661.64801623
S003-WAT-04,Q007,S003,3,8897.64801623,,7200,10,,1697.64801623
S004-FOD-01,Q009,S004,3,10084.1144366,,10800,8,,0
S004-HYG-01,Q009,S004,4,10120.1144366,,14400,6,,0
S004-MED-01,Q008,S004,1,2654.53475977,7200,7200,20,4545.46524023,0
S004-WAT-01,Q008,S004,2,2684.53475977,7200,7200,10,4515.46524023,0
S004-WAT-02,Q009,S004,1,10012.1144366,,7200,10,,2812.1144366
S004-WAT-03,Q009,S004,2,10048.1144366,,7200,10,,2848.1144366
S005-FOD-01,Q011,S005,3,12042.907549,,14400,6,,0
S005-HYG-01,Q011,S005,4,12078.907549,,18000,4,,0
S005-MED-01,Q010,S005,1,2710.96597414,10800,10800,16,8089.03402586,0
S005-WAT-01,Q010,S005,2,2740.96597414,10800,10800,8,8059.03402586,0
S005-WAT-02,Q011,S005,1,11970.907549,,10800,8,,1170.90754899
S005-WAT-03,Q011,S005,2,12006.907549,,10800,8,,1206.90754899
S006-FOD-01,Q013,S006,3,6504.90369249,,7200,10,,0
S006-HYG-01,Q013,S006,4,6540.90369249,,10800,8,,0
S006-MED-01,Q012,S006,1,905.505966632,3600,3600,24,2694.49403337,0
S006-WAT-01,Q012,S006,2,935.505966632,3600,3600,12,2664.49403337,0
S006-WAT-02,Q013,S006,1,6432.90369249,,3600,12,,2832.90369249
S006-WAT-03,Q013,S006,2,6468.90369249,,3600,12,,2868.90369249
S007-FOD-01,Q015,S007,2,8072.78617938,,7200,10,,872.786179383
S007-HYG-01,Q015,S007,3,8108.78617938,,10800,8,,0
S007-MED-01,Q014,S007,1,1035.78219474,3600,3600,24,2564.21780526,0
S007-WAT-01,Q014,S007,2,1065.78219474,3600,3600,12,2534.21780526,0
S007-WAT-02,Q015,S007,1,8036.78617938,,3600,12,,4436.78617938
S008-FOD-01,Q017,S008,2,11176.7763509,,10800,8,,376.776350908
S008-HYG-01,Q017,S008,3,11212.7763509,,14400,6,,0
S008-MED-01,Q016,S008,1,2777.43220974,7200,7200,20,4422.56779026,0
S008-WAT-01,Q016,S008,2,2807.43220974,7200,7200,10,4392.56779026,0
S008-WAT-02,Q017,S008,1,11140.7763509,,7200,10,,3940.77635091
S009-FOD-01,Q019,S009,1,4529.51414024,,14400,6,,0
S009-MED-01,Q018,S009,1,2897.9812944,10800,10800,16,7902.0187056,0
S009-WAT-01,Q018,S009,2,2933.9812944,10800,10800,8,7866.0187056,0
S010-FOD-01,Q021,S010,1,3722.70671066,,7200,10,,0
S010-MED-01,Q020,S010,1,1060.15787383,3600,3600,24,2539.84212617,0
S010-WAT-01,Q020,S010,2,1096.15787383,3600,3600,12,2503.84212617,0
S011-FOD-01,Q023,S011,1,5080.42162555,,14400,6,,0
S011-MED-01,Q022,S011,1,3055.58701751,10800,10800,16,7744.41298249,0
S011-WAT-01,Q022,S011,2,3085.58701751,10800,10800,8,7714.41298249,0
S012-FOD-01,Q025,S012,1,4380.9418981,,7200,10,,0
S012-MED-01,Q024,S012,2,1334.47141509,3600,7200,22,2265.52858491,0
