check_id,status,detail
all_80_boxes_once,PASS,"deliveries=80, unique=80"
all_baseline_batches_once,PASS,sorties=31
A_B_C_all_used,PASS,"type_sorties={'B': 6, 'C': 13, 'A': 12}"
Q001:same_type,PASS,
Q001:assigned_type_feasible,PASS,
Q001:return_soc,PASS,"SOC=0.731503946, minimum=0.200000000"
Q001:time_order,PASS,
Q001:one_zone,PASS,
Q001:physical_replay,PASS,
Q001:charging_replay,PASS,
Q004:same_type,PASS,
Q004:assigned_type_feasible,PASS,
Q004:return_soc,PASS,"SOC=0.403616991, minimum=0.200000000"
Q004:time_order,PASS,
Q004:one_zone,PASS,
Q004:physical_replay,PASS,
Q004:charging_replay,PASS,
Q012:same_type,PASS,
Q012:assigned_type_feasible,PASS,
Q012:return_soc,PASS,"SOC=0.708537212, minimum=0.200000000"
Q012:time_order,PASS,
Q012:one_zone,PASS,
Q012:physical_replay,PASS,
Q012:charging_replay,PASS,
Q014:same_type,PASS,
Q014:assigned_type_feasible,PASS,
Q014:return_soc,PASS,"SOC=0.600006673, minimum=0.200000000"
Q014:time_order,PASS,
Q014:one_zone,PASS,
Q014:physical_replay,PASS,
Q014:charging_replay,PASS,
Q020:same_type,PASS,
Q020:assigned_type_feasible,PASS,
Q020:return_soc,PASS,"SOC=0.606277931, minimum=0.200000000"
Q020:time_order,PASS,
Q020:one_zone,PASS,
Q020:physical_replay,PASS,
Q020:charging_replay,PASS,
Q024:same_type,PASS,
Q024:assigned_type_feasible,PASS,
Q024:return_soc,PASS,"SOC=0.342665867, minimum=0.200000000"
Q024:time_order,PASS,
Q024:one_zone,PASS,
Q024:physical_replay,PASS,
Q024:charging_replay,PASS,
Q026:same_type,PASS,
Q026:assigned_type_feasible,PASS,
Q026:return_soc,PASS,"SOC=0.564900644, minimum=0.200000000"
Q026:time_order,PASS,
Q026:one_zone,PASS,
Q026:physical_replay,PASS,
Q026:charging_replay,PASS,
Q028:same_type,PASS,
Q028:assigned_type_feasible,PASS,
Q028:return_soc,PASS,"SOC=0.490896596, minimum=0.200000000"
Q028:time_order,PASS,
Q028:one_zone,PASS,
Q028:physical_replay,PASS,
Q028:charging_replay,PASS,
Q006:same_type,PASS,
Q006:assigned_type_feasible,PASS,
Q006:return_soc,PASS,"SOC=0.375743858, minimum=0.200000000"
Q006:time_order,PASS,
Q006:one_zone,PASS,
Q006:physical_replay,PASS,
Q006:charging_replay,PASS,
Q008:same_type,PASS,
Q008:assigned_type_feasible,PASS,
Q008:return_soc,PASS,"SOC=0.314041782, minimum=0.200000000"
Q008:time_order,PASS,
Q008:one_zone,PASS,
Q008:physical_replay,PASS,
Q008:charging_replay,PASS,
Q016:same_type,PASS,
Q016:assigned_type_feasible,PASS,
Q016:return_soc,PASS,"SOC=0.333070958, minimum=0.200000000"
Q016:time_order,PASS,
Q016:one_zone,PASS,
Q016:physical_replay,PASS,
Q016:charging_replay,PASS,
Q030:same_type,PASS,
Q030:assigned_type_feasible,PASS,
Q030:return_soc,PASS,"SOC=0.503387348, minimum=0.200000000"
Q030:time_order,PASS,
Q030:one_zone,PASS,
Q030:physical_replay,PASS,
Q030:charging_replay,PASS,
Q010:same_type,PASS,
Q010:assigned_type_feasible,PASS,
Q010:return_soc,PASS,"SOC=0.528591265, minimum=0.200000000"
Q010:time_order,PASS,
Q010:one_zone,PASS,
Q010:physical_replay,PASS,
Q010:charging_replay,PASS,
Q018:same_type,PASS,
Q018:assigned_type_feasible,PASS,
Q018:return_soc,PASS,"SOC=0.540027759, minimum=0.200000000"
Q018:time_order,PASS,
Q018:one_zone,PASS,
Q018:physical_replay,PASS,
Q018:charging_replay,PASS,
Q022:same_type,PASS,
Q022:assigned_type_feasible,PASS,
Q022:return_soc,PASS,"SOC=0.743994085, minimum=0.200000000"
Q022:time_order,PASS,
Q022:one_zone,PASS,
Q022:physical_replay,PASS,
Q022:charging_replay,PASS,
Q021:same_type,PASS,
Q021:assigned_type_feasible,PASS,
Q021:return_soc,PASS,"SOC=0.584904355, minimum=0.200000000"
Q021:time_order,PASS,
Q021:one_zone,PASS,
Q021:physical_replay,PASS,
Q021:charging_replay,PASS,
Q025:same_type,PASS,
Q025:assigned_type_feasible,PASS,
Q025:return_soc,PASS,"SOC=0.427619337, minimum=0.200000000"
Q025:time_order,PASS,
Q025:one_zone,PASS,
Q025:physical_replay,PASS,
Q025:charging_replay,PASS,
Q027:same_type,PASS,
Q027:assigned_type_feasible,PASS,
Q027:return_soc,PASS,"SOC=0.584170487, minimum=0.200000000"
Q027:time_order,PASS,
Q027:one_zone,PASS,
Q027:physical_replay,PASS,
Q027:charging_replay,PASS,
Q002:same_type,PASS,
Q002:assigned_type_feasible,PASS,
Q002:return_soc,PASS,"SOC=0.625527676, minimum=0.200000000"
Q002:time_order,PASS,
Q002:one_zone,PASS,
Q002:physical_replay,PASS,
Q002:charging_replay,PASS,
Q019:same_type,PASS,
Q019:assigned_type_feasible,PASS,
Q019:return_soc,PASS,"SOC=0.520434299, minimum=0.200000000"
Q019:time_order,PASS,
Q019:one_zone,PASS,
Q019:physical_replay,PASS,
Q019:charging_replay,PASS,
Q029:same_type,PASS,
Q029:assigned_type_feasible,PASS,
Q029:return_soc,PASS,"SOC=0.553863531, minimum=0.200000000"
Q029:time_order,PASS,
Q029:one_zone,PASS,
Q029:physical_replay,PASS,
Q029:charging_replay,PASS,
Q003:same_type,PASS,
Q003:assigned_type_feasible,PASS,
Q003:return_soc,PASS,"SOC=0.699370796, minimum=0.200000000"
Q003:time_order,PASS,
Q003:one_zone,PASS,
Q003:physical_replay,PASS,
Q003:charging_replay,PASS,
Q023:same_type,PASS,
Q023:assigned_type_feasible,PASS,
Q023:return_soc,PASS,"SOC=0.755232010, minimum=0.200000000"
Q023:time_order,PASS,
Q023:one_zone,PASS,
Q023:physical_replay,PASS,
Q023:charging_replay,PASS,
Q031:same_type,PASS,
Q031:assigned_type_feasible,PASS,
Q031:return_soc,PASS,"SOC=0.475350567, minimum=0.200000000"
Q031:time_order,PASS,
Q031:one_zone,PASS,
Q031:physical_replay,PASS,
Q031:charging_replay,PASS,
Q005:same_type,PASS,
Q005:assigned_type_feasible,PASS,
Q005:return_soc,PASS,"SOC=0.236793293, minimum=0.200000000"
Q005:time_order,PASS,
Q005:one_zone,PASS,
Q005:physical_replay,PASS,
Q005:charging_replay,PASS,
Q013:same_type,PASS,
Q013:assigned_type_feasible,PASS,
Q013:return_soc,PASS,"SOC=0.709019429, minimum=0.200000000"
Q013:time_order,PASS,
Q013:one_zone,PASS,
Q013:physical_replay,PASS,
Q013:charging_replay,PASS,
Q015:same_type,PASS,
Q015:assigned_type_feasible,PASS,
Q015:return_soc,PASS,"SOC=0.606100974, minimum=0.200000000"
Q015:time_order,PASS,
Q015:one_zone,PASS,
Q015:physical_replay,PASS,
Q015:charging_replay,PASS,
Q007:same_type,PASS,
Q007:assigned_type_feasible,PASS,
Q007:return_soc,PASS,"SOC=0.231300246, minimum=0.200000000"
Q007:time_order,PASS,
Q007:one_zone,PASS,
Q007:physical_replay,PASS,
Q007:charging_replay,PASS,
Q009:same_type,PASS,
Q009:assigned_type_feasible,PASS,
Q009:return_soc,PASS,"SOC=0.310184529, minimum=0.200000000"
Q009:time_order,PASS,
Q009:one_zone,PASS,
Q009:physical_replay,PASS,
Q009:charging_replay,PASS,
Q017:same_type,PASS,
Q017:assigned_type_feasible,PASS,
Q017:return_soc,PASS,"SOC=0.324806219, minimum=0.200000000"
Q017:time_order,PASS,
Q017:one_zone,PASS,
Q017:physical_replay,PASS,
Q017:charging_replay,PASS,
Q011:same_type,PASS,
Q011:assigned_type_feasible,PASS,
Q011:return_soc,PASS,"SOC=0.526614143, minimum=0.200000000"
Q011:time_order,PASS,
Q011:one_zone,PASS,
Q011:physical_replay,PASS,
Q011:charging_replay,PASS,
S001-FOD-01:delivery_replay,PASS,
S001-FOD-02:delivery_replay,PASS,
S001-FOD-03:delivery_replay,PASS,
S001-HYG-01:delivery_replay,PASS,
S001-HYG-02:delivery_replay,PASS,
S001-MED-01:delivery_replay,PASS,
S001-MED-01:hard_deadline,PASS,"delivered=857.674s, deadline=3600.000s, slack=2742.326s"
S001-MED-02:delivery_replay,PASS,
S001-MED-02:hard_deadline,PASS,"delivered=887.674s, deadline=3600.000s, slack=2712.326s"
S001-WAT-01:delivery_replay,PASS,
S001-WAT-01:hard_deadline,PASS,"delivered=917.674s, deadline=3600.000s, slack=2682.326s"
S001-WAT-02:delivery_replay,PASS,
S001-WAT-03:delivery_replay,PASS,
S001-WAT-04:delivery_replay,PASS,
S001-WAT-05:delivery_replay,PASS,
S001-WAT-06:delivery_replay,PASS,
S001-WAT-07:delivery_replay,PASS,
S001-WAT-08:delivery_replay,PASS,
S002-FOD-01:delivery_replay,PASS,
S002-FOD-02:delivery_replay,PASS,
S002-HYG-01:delivery_replay,PASS,
S002-MED-01:delivery_replay,PASS,
S002-MED-01:hard_deadline,PASS,"delivered=1187.316s, deadline=3600.000s, slack=2412.684s"
S002-WAT-01:delivery_replay,PASS,
S002-WAT-01:hard_deadline,PASS,"delivered=1223.316s, deadline=3600.000s, slack=2376.684s"
S002-WAT-02:delivery_replay,PASS,
S002-WAT-03:delivery_replay,PASS,
S002-WAT-04:delivery_replay,PASS,
S003-FOD-01:delivery_replay,PASS,
S003-FOD-02:delivery_replay,PASS,
S003-HYG-01:delivery_replay,PASS,
S003-MED-01:delivery_replay,PASS,
S003-MED-01:hard_deadline,PASS,"delivered=2467.346s, deadline=7200.000s, slack=4732.654s"
S003-WAT-01:delivery_replay,PASS,
S003-WAT-01:hard_deadline,PASS,"delivered=2497.346s, deadline=7200.000s, slack=4702.654s"
S003-WAT-02:delivery_replay,PASS,
S003-WAT-03:delivery_replay,PASS,
S003-WAT-04:delivery_replay,PASS,
S004-FOD-01:delivery_replay,PASS,
S004-HYG-01:delivery_replay,PASS,
S004-MED-01:delivery_replay,PASS,
S004-MED-01:hard_deadline,PASS,"delivered=2654.535s, deadline=7200.000s, slack=4545.465s"
S004-WAT-01:delivery_replay,PASS,
S004-WAT-01:hard_deadline,PASS,"delivered=2684.535s, deadline=7200.000s, slack=4515.465s"
S004-WAT-02:delivery_replay,PASS,
S004-WAT-03:delivery_replay,PASS,
S005-FOD-01:delivery_replay,PASS,
S005-HYG-01:delivery_replay,PASS,
S005-MED-01:delivery_replay,PASS,
S005-MED-01:hard_deadline,PASS,"delivered=2710.966s, deadline=10800.000s, slack=8089.034s"
S005-WAT-01:delivery_replay,PASS,
S005-WAT-01:hard_deadline,PASS,"delivered=2740.966s, deadline=10800.000s, slack=8059.034s"
S005-WAT-02:delivery_replay,PASS,
S005-WAT-03:delivery_replay,PASS,
S006-FOD-01:delivery_replay,PASS,
S006-HYG-01:delivery_replay,PASS,
S006-MED-01:delivery_replay,PASS,
S006-MED-01:hard_deadline,PASS,"delivered=905.506s, deadline=3600.000s, slack=2694.494s"
S006-WAT-01:delivery_replay,PASS,
S006-WAT-01:hard_deadline,PASS,"delivered=935.506s, deadline=3600.000s, slack=2664.494s"
S006-WAT-02:delivery_replay,PASS,
S006-WAT-03:delivery_replay,PASS,
S007-FOD-01:delivery_replay,PASS,
S007-HYG-01:delivery_replay,PASS,
S007-MED-01:delivery_replay,PASS,
S007-MED-01:hard_deadline,PASS,"delivered=1035.782s, deadline=3600.000s, slack=2564.218s"
S007-WAT-01:delivery_replay,PASS,
S007-WAT-01:hard_deadline,PASS,"delivered=1065.782s, deadline=3600.000s, slack=2534.218s"
S007-WAT-02:delivery_replay,PASS,
S008-FOD-01:delivery_replay,PASS,
S008-HYG-01:delivery_replay,PASS,
S008-MED-01:delivery_replay,PASS,
S008-MED-01:hard_deadline,PASS,"delivered=2777.432s, deadline=7200.000s, slack=4422.568s"
S008-WAT-01:delivery_replay,PASS,
S008-WAT-01:hard_deadline,PASS,"delivered=2807.432s, deadline=7200.000s, slack=4392.568s"
S008-WAT-02:delivery_replay,PASS,
S009-FOD-01:delivery_replay,PASS,
S009-MED-01:delivery_replay,PASS,
S009-MED-01:hard_deadline,PASS,"delivered=2897.981s, deadline=10800.000s, slack=7902.019s"
S009-WAT-01:delivery_replay,PASS,
S009-WAT-01:hard_deadline,PASS,"delivered=2933.981s, deadline=10800.000s, slack=7866.019s"
S010-FOD-01:delivery_replay,PASS,
S010-MED-01:delivery_replay,PASS,
S010-MED-01:hard_deadline,PASS,"delivered=1060.158s, deadline=3600.000s, slack=2539.842s"
S010-WAT-01:delivery_replay,PASS,
S010-WAT-01:hard_deadline,PASS,"delivered=1096.158s, deadline=3600.000s, slack=2503.842s"
S011-FOD-01:delivery_replay,PASS,
S011-MED-01:delivery_replay,PASS,
S011-MED-01:hard_deadline,PASS,"delivered=3055.587s, deadline=10800.000s, slack=7744.413s"
S011-WAT-01:delivery_replay,PASS,
S011-WAT-01:hard_deadline,PASS,"delivered=3085.587s, deadline=10800.000s, slack=7714.413s"
S012-FOD-01:delivery_replay,PASS,
S012-MED-01:delivery_replay,PASS,
S012-MED-01:hard_deadline,PASS,"delivered=1334.471s, deadline=3600.000s, slack=2265.529s"
S012-WAT-01:delivery_replay,PASS,
S012-WAT-01:hard_deadline,PASS,"delivered=1304.471s, deadline=3600.000s, slack=2295.529s"
S013-FOD-01:delivery_replay,PASS,
S013-MED-01:delivery_replay,PASS,
S013-MED-01:hard_deadline,PASS,"delivered=1053.589s, deadline=3600.000s, slack=2546.411s"
S013-WAT-01:delivery_replay,PASS,
S013-WAT-01:hard_deadline,PASS,"delivered=1083.589s, deadline=3600.000s, slack=2516.411s"
S014-FOD-01:delivery_replay,PASS,
S014-MED-01:delivery_replay,PASS,
S014-MED-01:hard_deadline,PASS,"delivered=1272.759s, deadline=3600.000s, slack=2327.241s"
S014-WAT-01:delivery_replay,PASS,
S014-WAT-01:hard_deadline,PASS,"delivered=1242.759s, deadline=3600.000s, slack=2357.241s"
S015-FOD-01:delivery_replay,PASS,
S015-MED-01:delivery_replay,PASS,
S015-MED-01:hard_deadline,PASS,"delivered=2805.627s, deadline=7200.000s, slack=4394.373s"
S015-WAT-01:delivery_replay,PASS,
S015-WAT-01:hard_deadline,PASS,"delivered=2841.627s, deadline=10800.000s, slack=7958.373s"
U01:no_overlap,PASS,
U02:no_overlap,PASS,
U03:no_overlap,PASS,
U04:no_overlap,PASS,
U05:no_overlap,PASS,
U06:no_overlap,PASS,
U07:no_overlap,PASS,
U08:no_overlap,PASS,
A-B01:charged_before_reuse,PASS,
A-B02:charged_before_reuse,PASS,
A-B03:charged_before_reuse,PASS,
A-B04:charged_before_reuse,PASS,
A-B05:charged_before_reuse,PASS,
A-B06:charged_before_reuse,PASS,
B-B01:charged_before_reuse,PASS,
B-B02:charged_before_reuse,PASS,
B-B03:charged_before_reuse,PASS,
B-B04:charged_before_reuse,PASS,
C-B01:charged_before_reuse,PASS,
C-B02:charged_before_reuse,PASS,
C-B03:charged_before_reuse,PASS,
C-B04:charged_before_reuse,PASS,
