batch_id,type_id,uav_id,battery_id,visit_order,box_ids,start_s,launch_s,return_s,charge_start_s,charge_end_s,charge_s,mass_kg,volume_m3,energy_kwh,return_soc
Q001,C,U07,C-B01,S001>S006,S001-WAT-02;S001-WAT-07;S001-WAT-08;S001-FOD-02;S001-HYG-01;S006-MED-01;S006-WAT-01,0,510,2257.02855901,2257.02855901,4345.08327755,2088.05471854,73,0.183,4.63281742231,0.420897822212
Q002,C,U08,C-B02,S006>S007,S006-WAT-03;S006-FOD-01;S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01,0,480,2347.57415984,2347.57415984,4303.01496843,1955.44080859,61,0.149,4.1431660625,0.482104242187
Q003,B,U05,B-B01,S006>S014,S006-WAT-02;S014-WAT-01,0,360,2432.39327721,2432.39327721,4472.29096364,2039.89768644,28,0.054,3.168994661,0.207751334749
Q004,B,U06,B-B02,S001>S002,S001-WAT-06;S002-WAT-01,0,360,1972.43283215,1972.43283215,3766.61520239,1794.18237024,28,0.054,2.60195931593,0.349510171017
Q005,A,U01,A-B01,S001,S001-WAT-05,0,330,1190.90114526,1190.90114526,2043.20965269,852.308507428,14,0.027,1.21952944879,0.728993455825
Q007,A,U02,A-B02,S001,S001-MED-01,0,330,1190.90114526,1190.90114526,2028.26505387,837.36390861,3,0.012,1.16779814519,0.740489301069
Q009,A,U03,A-B03,S014>S012,S014-MED-01;S012-MED-01,0,360,2812.54886762,2812.54886762,4334.65734555,1522.10847793,6,0.024,3.53806780823,0.213762709281
Q010,A,U04,A-B04,S009>S012,S009-MED-01;S012-WAT-01,0,360,2374.3184273,2374.3184273,3799.46968393,1425.15125663,17,0.039,3.20244665758,0.288345187204
Q013,A,U01,A-B05,S002>S010,S002-WAT-02;S010-MED-01,1190.90114526,1550.90114526,3814.57027063,3814.57027063,5353.10437597,1538.53410534,17,0.039,3.59492574924,0.20112761128
Q014,A,U02,A-B06,S011>S008,S011-FOD-01;S008-WAT-02,1190.90114526,1550.90114526,3607.13297107,3607.13297107,5047.6200871,1440.48711603,22,0.055,3.25553232471,0.276548372286
Q006,B,U06,B-B03,S009>S002,S009-FOD-01;S002-MED-01;S002-WAT-04,1972.43283215,2362.43283215,4000.89694635,4000.89694635,5828.20539314,1827.30844679,25,0.067,2.67840410797,0.330398973008
Q008,C,U07,C-B03,S001>S012>S010,S001-MED-02;S001-WAT-01;S001-WAT-03;S001-WAT-04;S012-FOD-01;S010-FOD-01,2257.02855901,2737.02855901,5199.10977523,5199.10977523,7637.23372728,2438.12395205,61,0.149,5.92538074601,0.259327406748
Q011,C,U08,C-B04,S010>S011>S001,S010-WAT-01;S011-WAT-01;S001-FOD-01;S001-FOD-03,2347.57415984,2767.57415984,5014.70031831,5014.70031831,7434.82360704,2420.12328873,44,0.11,5.8589167584,0.267635405201
Q016,A,U04,A-B01,S002,S002-WAT-03,2374.3184273,2704.3184273,4318.05595151,4318.05595151,5647.58068098,1329.52472947,14,0.027,2.87143175585,0.361904054256
Q012,B,U05,B-B04,S013,S013-MED-01;S013-WAT-01;S013-FOD-01,2432.39327721,2822.39327721,3942.8635575,3942.8635575,5400.25688418,1457.39332668,25,0.067,1.82475383079,0.543811542301
Q020,A,U03,A-B02,S015>S003,S015-FOD-01;S003-WAT-03,2812.54886762,3172.54886762,5355.90751359,5355.90751359,6819.38360407,1463.47609049,22,0.055,3.33510954399,0.25886454578
Q021,A,U02,A-B04,S005>S015,S005-HYG-01;S015-MED-01,3799.46968393,4159.46968393,6300.95141487,6300.95141487,7655.75289806,1354.80148318,9,0.047,2.95892821102,0.342460397552
Q017,B,U05,B-B02,S002,S002-FOD-01;S002-HYG-01,3942.8635575,4302.8635575,5699.55749142,5699.55749142,7389.43748605,1689.87999462,14,0.063,2.36126152605,0.409684618487
Q022,A,U01,A-B03,S015>S011,S015-WAT-01;S011-MED-01,4334.65734555,4694.65734555,6548.39350593,6548.39350593,7785.6075459,1237.21403997,17,0.039,2.55189475375,0.432912276945
Q019,B,U06,B-B01,S005>S002>S009,S005-MED-01;S002-FOD-02;S009-WAT-01,4472.29096364,4862.29096364,6908.54769636,6908.54769636,8911.85513686,2003.3074405,25,0.067,3.08455563193,0.228861092017
Q015,C,U08,C-B01,S007>S003,S007-HYG-01;S003-MED-01;S003-WAT-01;S003-WAT-02;S003-WAT-04;S003-FOD-01;S003-HYG-01,5014.70031831,5524.70031831,7708.31246504,7708.31246504,10193.9914231,2485.67895804,65,0.191,6.10096846045,0.237378942443
Q023,A,U04,A-B06,S008,S008-MED-01;S008-WAT-01,5047.6200871,5407.6200871,7218.76621589,7218.76621589,8643.19290608,1424.42669019,17,0.039,3.19993854296,0.288902546009
Q018,C,U07,C-B02,S004>S008,S004-MED-01;S004-WAT-01;S004-WAT-02;S008-FOD-01,5199.10977523,5619.10977523,7828.11434798,7828.11434798,10393.4454346,2565.33108661,39,0.094,6.39506862747,0.200616421566
Q024,A,U03,A-B05,S014,S014-FOD-01,5355.90751359,5685.90751359,7286.31204804,7286.31204804,8418.56665876,1132.25461072,8,0.028,2.18857365251,0.513650299443
Q025,B,U05,B-B04,S004,S004-WAT-03,5699.55749142,6029.55749142,7561.2055026,7561.2055026,9311.77237186,1750.56686926,14,0.027,2.50130815984,0.374672960041
Q027,A,U02,A-B01,S001,S001-HYG-02,6300.95141487,6630.95141487,7491.85256014,7491.85256014,8332.18618432,840.333624186,6,0.035,1.17807792987,0.738204904473
Q028,A,U01,A-B02,S005,S005-WAT-02,6819.38360407,7149.38360407,8451.57985569,8451.57985569,9554.19421808,1102.61436239,14,0.027,2.0859727929,0.536450490467
Q026,B,U06,B-B03,S006>S005,S006-HYG-01;S005-WAT-01,6908.54769636,7268.54769636,8946.09740505,8946.09740505,10695.2610157,1749.16361067,20,0.062,2.49806987078,0.375482532305
Q029,B,U05,B-B02,S005>S004,S005-FOD-01;S004-HYG-01,7561.2055026,7921.2055026,9717.04201712,9717.04201712,11471.5582761,1754.51625894,14,0.063,2.510422136,0.372394465999
Q031,A,U02,A-B04,S004,S004-FOD-01,7655.75289806,7985.75289806,9774.55855106,9774.55855106,11128.0383286,1353.47977752,8,0.028,2.95435307603,0.343477094215
