架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
Q001,U07,C,C-B01,0,S001>S006,2257.02855901,4.63281742231
Q002,U08,C,C-B02,0,S006>S007,2347.57415984,4.1431660625
Q003,U05,B,B-B01,0,S006>S014,2432.39327721,3.168994661
Q004,U06,B,B-B02,0,S001>S002,1972.43283215,2.60195931593
Q005,U01,A,A-B01,0,S001,1190.90114526,1.21952944879
Q007,U02,A,A-B02,0,S001,1190.90114526,1.16779814519
Q009,U03,A,A-B03,0,S014>S012,2812.54886762,3.53806780823
Q010,U04,A,A-B04,0,S009>S012,2374.3184273,3.20244665758
Q013,U01,A,A-B05,1190.90114526,S002>S010,3814.57027063,3.59492574924
Q014,U02,A,A-B06,1190.90114526,S011>S008,3607.13297107,3.25553232471
Q006,U06,B,B-B03,1972.43283215,S009>S002,4000.89694635,2.67840410797
Q008,U07,C,C-B03,2257.02855901,S001>S012>S010,5199.10977523,5.92538074601
Q011,U08,C,C-B04,2347.57415984,S010>S011>S001,5014.70031831,5.8589167584
Q016,U04,A,A-B01,2374.3184273,S002,4318.05595151,2.87143175585
Q012,U05,B,B-B04,2432.39327721,S013,3942.8635575,1.82475383079
Q020,U03,A,A-B02,2812.54886762,S015>S003,5355.90751359,3.33510954399
Q021,U02,A,A-B04,3799.46968393,S005>S015,6300.95141487,2.95892821102
Q017,U05,B,B-B02,3942.8635575,S002,5699.55749142,2.36126152605
Q022,U01,A,A-B03,4334.65734555,S015>S011,6548.39350593,2.55189475375
Q019,U06,B,B-B01,4472.29096364,S005>S002>S009,6908.54769636,3.08455563193
Q015,U08,C,C-B01,5014.70031831,S007>S003,7708.31246504,6.10096846045
Q023,U04,A,A-B06,5047.6200871,S008,7218.76621589,3.19993854296
Q018,U07,C,C-B02,5199.10977523,S004>S008,7828.11434798,6.39506862747
Q024,U03,A,A-B05,5355.90751359,S014,7286.31204804,2.18857365251
Q025,U05,B,B-B04,5699.55749142,S004,7561.2055026,2.50130815984
Q027,U02,A,A-B01,6300.95141487,S001,7491.85256014,1.17807792987
Q028,U01,A,A-B02,6819.38360407,S005,8451.57985569,2.0859727929
Q026,U06,B,B-B03,6908.54769636,S006>S005,8946.09740505,2.49806987078
Q029,U05,B,B-B02,7561.2055026,S005>S004,9717.04201712,2.510422136
Q031,U02,A,A-B04,7655.75289806,S004,9774.55855106,2.95435307603
Q030,U08,C,C-B03,7708.31246504,S008,9644.02454963,5.09698935537
Q033,U03,A,A-B03,7785.6075459,S003,9988.26156807,2.85122013067
Q032,U07,C,C-B04,7828.11434798,S005,9375.30950617,3.41416679127
