box_id,batch_id,zone_id,sequence,complete_s,hard_deadline_s,expected_s,priority,hard_slack_s,soft_lateness_s
S001-FOD-01,Q011,S001,3,4666.80012237,,7200,10,,0
S001-FOD-02,Q001,S001,4,1140.27019594,,7200,10,,0
S001-FOD-03,Q011,S001,4,4702.80012237,,7200,10,,0
S001-HYG-01,Q001,S001,5,1176.27019594,,10800,8,,0
S001-HYG-02,Q027,S001,1,7149.52532084,,10800,8,,0
S001-MED-01,Q007,S001,1,848.573905965,3600,3600,24,2751.42609403,0
S001-MED-02,Q008,S001,1,3259.29875495,3600,3600,24,340.70124505,0
S001-WAT-01,Q008,S001,2,3295.29875495,3600,3600,12,304.70124505,0
S001-WAT-02,Q001,S001,1,1032.27019594,,3600,12,,0
S001-WAT-03,Q008,S001,3,3331.29875495,,3600,12,,0
S001-WAT-04,Q008,S001,4,3367.29875495,,3600,12,,0
S001-WAT-05,Q005,S001,1,848.573905965,,3600,12,,0
S001-WAT-06,Q004,S001,1,827.674094255,,3600,12,,0
S001-WAT-07,Q001,S001,2,1068.27019594,,3600,12,,0
S001-WAT-08,Q001,S001,3,1104.27019594,,3600,12,,0
S002-FOD-01,Q017,S002,1,5073.15052446,,7200,10,,0
S002-FOD-02,Q019,S002,2,6070.37054912,,7200,10,,0
S002-HYG-01,Q017,S002,2,5103.15052446,,10800,8,,0
S002-MED-01,Q006,S002,2,3374.48997939,3600,3600,24,225.510020611,0
S002-WAT-01,Q004,S002,2,1376.02586519,3600,3600,12,2223.97413481,0
S002-WAT-02,Q013,S002,1,2444.70990737,,3600,12,,0
S002-WAT-03,Q016,S002,1,3598.1271894,,3600,12,,0
S002-WAT-04,Q006,S002,3,3404.48997939,,3600,12,,0
S003-FOD-01,Q015,S003,6,6881.71689287,,10800,8,,0
S003-FOD-02,Q033,S003,1,9134.90789032,,10800,8,,0
S003-HYG-01,Q015,S003,7,6917.71689287,,14400,6,,0
S003-MED-01,Q015,S003,2,6737.71689287,7200,7200,20,462.283107132,0
S003-WAT-01,Q015,S003,3,6773.71689287,7200,7200,10,426.283107132,0
S003-WAT-02,Q015,S003,4,6809.71689287,,7200,10,,0
S003-WAT-03,Q020,S003,2,4502.55383583,,7200,10,,0
S003-WAT-04,Q015,S003,5,6845.71689287,,7200,10,,0
S004-FOD-01,Q031,S004,1,8966.80239122,,10800,8,,0
S004-HYG-01,Q029,S004,2,9037.8646782,,14400,6,,0
S004-MED-01,Q018,S004,1,6542.61030853,7200,7200,20,657.389691471,0
S004-WAT-01,Q018,S004,2,6578.61030853,7200,7200,10,621.389691471,0
S004-WAT-02,Q018,S004,3,6614.61030853,,7200,10,,0
S004-WAT-03,Q025,S004,1,6882.02816368,,7200,10,,0
S005-FOD-01,Q029,S005,1,8572.04960025,,14400,6,,0
S005-HYG-01,Q021,S005,1,4898.32447641,,18000,4,,0
S005-MED-01,Q019,S005,1,5513.13506129,10800,10800,16,5286.86493871,0
S005-WAT-01,Q026,S005,2,8470.76664073,10800,10800,8,2329.23335927,0
S005-WAT-02,Q028,S005,1,7888.23839655,,10800,8,,0
S005-WAT-03,Q032,S005,1,8871.34692707,,10800,8,,0
S006-FOD-01,Q002,S006,2,1065.42476297,,7200,10,,0
S006-HYG-01,Q026,S006,1,7760.9494861,,10800,8,,0
S006-MED-01,Q001,S006,6,1868.89379604,3600,3600,24,1731.10620396,0
S006-WAT-01,Q001,S006,7,1904.89379604,3600,3600,12,1695.10620396,0
S006-WAT-02,Q003,S006,1,852.401789744,,3600,12,,0
S006-WAT-03,Q002,S006,1,1029.42476297,,3600,12,,0
S007-FOD-01,Q002,S007,6,1787.74643592,,7200,10,,0
S007-HYG-01,Q015,S007,1,6278.44804223,,10800,8,,0
S007-MED-01,Q002,S007,3,1679.74643592,3600,3600,24,1920.25356408,0
S007-WAT-01,Q002,S007,4,1715.74643592,3600,3600,12,1884.25356408,0
S007-WAT-02,Q002,S007,5,1751.74643592,,3600,12,,0
S008-FOD-01,Q018,S008,4,7126.09830568,,10800,8,,0
S008-HYG-01,Q030,S008,1,8942.00850733,,14400,6,,0
S008-MED-01,Q023,S008,1,6383.41981816,7200,7200,20,816.580181837,0
S008-WAT-01,Q023,S008,2,6413.41981816,7200,7200,10,786.580181837,0
S008-WAT-02,Q014,S008,2,2801.78657334,,7200,10,,0
S009-FOD-01,Q006,S009,1,3003.24395585,,14400,6,,0
S009-MED-01,Q010,S009,1,1095.89693736,10800,10800,16,9704.10306264,0
S009-WAT-01,Q019,S009,3,6440.91657266,10800,10800,8,4359.08342734,0
S010-FOD-01,Q008,S010,6,4692.5619014,,7200,10,,0
S010-MED-01,Q013,S010,2,3264.67723814,3600,3600,24,335.322761861,0
S010-WAT-01,Q011,S010,1,3467.73203367,3600,3600,12,132.267966332,0
S011-FOD-01,Q014,S011,1,2054.10127143,,14400,6,,0
S011-MED-01,Q022,S011,2,6219.56671309,10800,10800,16,4580.43328691,0
S011-WAT-01,Q011,S011,2,4221.95063278,10800,10800,8,6578.04936722,0
