架次编号,配送层,机型,服务区顺序,货箱数,货箱编号,载重（kg）,能耗（kWh）
Q001,紧急A型直送,A,S001,3,S001-MED-01;S001-MED-02;S001-WAT-01,20,1.26434952209
Q002,紧急A型直送,A,S002,2,S002-MED-01;S002-WAT-01,17,2.91995961952
Q003,紧急A型直送,A,S006,2,S006-MED-01;S006-WAT-01,17,1.31158254718
Q004,紧急A型直送,A,S007,2,S007-MED-01;S007-WAT-01,17,1.90536881589
Q016,普通多点配送,C,S001,6,S001-WAT-02;S001-WAT-07;S001-WAT-08;S001-FOD-01;S001-FOD-02;S001-FOD-03,66,2.61333027491
Q017,普通多点配送,C,S001,6,S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-HYG-01;S001-HYG-02,68,2.66479142277
Q021,普通多点配送,B,S004,2,S004-WAT-02;S004-WAT-03,28,3.0353700806
Q022,普通多点配送,B,S009>S012,2,S009-FOD-01;S012-FOD-01,16,2.60516658982
Q005,紧急A型直送,A,S010,2,S010-MED-01;S010-WAT-01,17,1.95485201332
Q006,紧急A型直送,A,S012,2,S012-WAT-01;S012-MED-01,17,2.95800359784
Q018,普通多点配送,C,S002,6,S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-01;S002-FOD-02;S002-HYG-01,64,6.10565365374
Q019,普通多点配送,C,S006>S007>S015,8,S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01;S007-WAT-02;S007-FOD-01;S007-HYG-01;S015-FOD-01,78,5.81590710771
Q023,普通多点配送,B,S010>S014,2,S010-FOD-01;S014-FOD-01,16,2.06588952226
Q025,普通多点配送,B,S013,1,S013-FOD-01,8,1.51562849622
Q007,紧急A型直送,A,S013,2,S013-MED-01;S013-WAT-01,17,1.95794710326
Q008,紧急A型直送,A,S014,2,S014-WAT-01;S014-MED-01,17,2.29096532009
Q009,紧急A型直送,A,S003,2,S003-MED-01;S003-WAT-01,17,2.98203927677
Q010,紧急A型直送,A,S004,2,S004-MED-01;S004-WAT-01,17,3.0868119804
Q020,普通多点配送,C,S003,6,S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-01;S003-FOD-02;S003-HYG-01,64,6.14959803584
Q011,紧急A型直送,A,S008,2,S008-MED-01;S008-WAT-01,17,3.19993854296
Q024,普通多点配送,C,S011>S008,4,S011-FOD-01;S008-WAT-02;S008-FOD-01;S008-HYG-01,36,5.53106334924
Q012,紧急A型直送,A,S015,2,S015-MED-01;S015-WAT-01,17,2.4720515781
Q013,紧急A型直送,A,S005,2,S005-MED-01;S005-WAT-01,17,2.12133930635
Q014,紧急A型直送,A,S009,2,S009-MED-01;S009-WAT-01,17,2.25482437622
Q026,普通多点配送,C,S005>S004,6,S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01;S004-FOD-01;S004-HYG-01,56,5.77630941521
Q015,紧急A型直送,A,S011,2,S011-MED-01;S011-WAT-01,17,1.15202661592
