架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
Q001,U01,A,A-B01,0,S001,1310.90114526,1.26434952209
Q002,U02,A,A-B02,0,S002,2003.73752421,2.91995961952
Q003,U03,A,A-B03,0,S006,1313.4852666,1.31158254718
Q004,U04,A,A-B04,0,S007,1727.43532267,1.90536881589
Q016,U07,C,C-B01,0,S001,1494.17039188,2.61333027491
Q017,U08,C,C-B02,0,S001,1494.17039188,2.66479142277
Q021,U05,B,B-B01,0,S004,1921.64801117,3.0353700806
Q022,U06,B,B-B02,0,S009>S012,2106.51400535,2.60516658982
Q005,U01,A,A-B05,1310.90114526,S010,2965.76054359,1.95485201332
Q006,U03,A,A-B06,1313.4852666,S012,3422.56809677,2.95800359784
Q018,U07,C,C-B03,1494.17039188,S002,3601.98241052,6.10565365374
Q019,U08,C,C-B04,1494.17039188,S006>S007>S015,4479.45485639,5.81590710771
Q023,U05,B,B-B03,1921.64801117,S010>S014,3977.6833802,2.06588952226
Q025,U06,B,B-B04,2106.51400535,S013,3496.98428564,1.51562849622
Q007,U02,A,A-B01,2176.15767387,S013,3788.26885553,1.95794710326
Q008,U04,A,A-B03,2192.38689134,S014,4182.79142579,2.29096532009
Q009,U01,A,A-B04,2965.76054359,S003,5228.41456576,2.98203927677
Q010,U03,A,A-B02,3422.56809677,S004,5601.37374978,3.0868119804
Q020,U07,C,C-B01,3601.98241052,S003,6038.09355486,6.14959803584
Q011,U02,A,A-B05,4030.49556966,S008,6201.64169845,3.19993854296
Q024,U08,C,C-B02,4479.45485639,S011>S008,6907.85976239,5.53106334924
Q012,U04,A,A-B06,4777.10246948,S015,6745.70680587,2.4720515781
Q013,U01,A,A-B01,5228.41456576,S005,6920.61081738,2.12133930635
Q014,U03,A,A-B03,5601.37374978,S009,7289.98762449,2.25482437622
Q026,U07,C,C-B03,6088.93027507,S005>S004,8670.67622868,5.77630941521
Q015,U02,A,A-B04,6589.89257905,S011,7811.91949806,1.15202661592
