货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,Q016,S001,1110.27019594
S001-FOD-02,Q016,S001,1146.27019594
S001-FOD-03,Q016,S001,1182.27019594
S001-HYG-01,Q017,S001,1146.27019594
S001-HYG-02,Q017,S001,1182.27019594
S001-MED-01,Q001,S001,908.573905965
S001-MED-02,Q001,S001,938.573905965
S001-WAT-01,Q001,S001,968.573905965
S001-WAT-02,Q016,S001,1002.27019594
S001-WAT-03,Q017,S001,1002.27019594
S001-WAT-04,Q017,S001,1038.27019594
S001-WAT-05,Q017,S001,1074.27019594
S001-WAT-06,Q017,S001,1110.27019594
S001-WAT-07,Q016,S001,1038.27019594
S001-WAT-08,Q016,S001,1074.27019594
S002-FOD-01,Q018,S002,2909.4864012
S002-FOD-02,Q018,S002,2945.4864012
S002-HYG-01,Q018,S002,2981.4864012
S002-MED-01,Q002,S002,1253.80876211
S002-WAT-01,Q002,S002,1283.80876211
S002-WAT-02,Q018,S002,2801.4864012
S002-WAT-03,Q018,S002,2837.4864012
S002-WAT-04,Q018,S002,2873.4864012
S003-FOD-01,Q020,S003,5175.49798269
S003-FOD-02,Q020,S003,5211.49798269
S003-HYG-01,Q020,S003,5247.49798269
S003-MED-01,Q009,S003,4345.06088801
S003-WAT-01,Q009,S003,4375.06088801
S003-WAT-02,Q020,S003,5067.49798269
S003-WAT-03,Q020,S003,5103.49798269
S003-WAT-04,Q020,S003,5139.49798269
S004-FOD-01,Q026,S004,7917.11569538
S004-HYG-01,Q026,S004,7953.11569538
S004-MED-01,Q010,S004,4763.61758994
S004-WAT-01,Q010,S004,4793.61758994
S004-WAT-02,Q021,S004,1212.47067225
S004-WAT-03,Q021,S004,1242.47067225
S005-FOD-01,Q026,S005,7354.16285417
S005-HYG-01,Q026,S005,7390.16285417
S005-MED-01,Q013,S005,6327.26935824
S005-WAT-01,Q013,S005,6357.26935824
S005-WAT-02,Q026,S005,7282.16285417
S005-WAT-03,Q026,S005,7318.16285417
S006-FOD-01,Q019,S006,2655.59515485
S006-HYG-01,Q019,S006,2691.59515485
S006-MED-01,Q003,S006,905.505966632
S006-WAT-01,Q003,S006,935.505966632
S006-WAT-02,Q019,S006,2583.59515485
S006-WAT-03,Q019,S006,2619.59515485
S007-FOD-01,Q019,S007,3341.9168278
S007-HYG-01,Q019,S007,3377.9168278
S007-MED-01,Q004,S007,1111.35766134
S007-WAT-01,Q004,S007,1141.35766134
S007-WAT-02,Q019,S007,3305.9168278
S008-FOD-01,Q024,S008,6169.8437201
S008-HYG-01,Q024,S008,6205.8437201
S008-MED-01,Q011,S008,5366.29530072
S008-WAT-01,Q011,S008,5396.29530072
S008-WAT-02,Q024,S008,6133.8437201
S009-FOD-01,Q022,S009,1000.8111237
S009-MED-01,Q014,S009,6697.27068713
S009-WAT-01,Q014,S009,6727.27068713
S010-FOD-01,Q023,S010,2916.87312906
S010-MED-01,Q005,S010,2385.86751109
S010-WAT-01,Q005,S010,2415.86751109
S011-FOD-01,Q024,S011,5411.35697401
S011-MED-01,Q015,S011,7453.09270522
S011-WAT-01,Q015,S011,7483.09270522
S012-FOD-01,Q022,S012,1455.07672736
S012-MED-01,Q006,S012,2647.95668168
S012-WAT-01,Q006,S012,2617.95668168
S013-FOD-01,Q025,S013,3049.28247883
S013-MED-01,Q007,S013,3229.74659803
S013-WAT-01,Q007,S013,3259.74659803
S014-FOD-01,Q023,S014,3350.36394956
S014-MED-01,Q008,S014,3465.14582523
S014-WAT-01,Q008,S014,3435.14582523
S015-FOD-01,Q019,S015,3817.85402182
S015-MED-01,Q012,S015,6004.84463768
S015-WAT-01,Q012,S015,6034.84463768
