check_id,status,detail
all_80_boxes_once,PASS,"rows=80, unique=80"
route_delivery_consistency,PASS,
Q001:resource_type,PASS,
Q001:known_route,PASS,
Q001:capacity,PASS,
Q001:physical_replay,PASS,
Q001:return_soc,PASS,
Q001:leg_load_energy,PASS,
Q001:charging_replay,PASS,
Q001:time_order,PASS,
Q002:resource_type,PASS,
Q002:known_route,PASS,
Q002:capacity,PASS,
Q002:physical_replay,PASS,
Q002:return_soc,PASS,
Q002:leg_load_energy,PASS,
Q002:charging_replay,PASS,
Q002:time_order,PASS,
Q003:resource_type,PASS,
Q003:known_route,PASS,
Q003:capacity,PASS,
Q003:physical_replay,PASS,
Q003:return_soc,PASS,
Q003:leg_load_energy,PASS,
Q003:charging_replay,PASS,
Q003:time_order,PASS,
Q004:resource_type,PASS,
Q004:known_route,PASS,
Q004:capacity,PASS,
Q004:physical_replay,PASS,
Q004:return_soc,PASS,
Q004:leg_load_energy,PASS,
Q004:charging_replay,PASS,
Q004:time_order,PASS,
Q016:resource_type,PASS,
Q016:known_route,PASS,
Q016:capacity,PASS,
Q016:physical_replay,PASS,
Q016:return_soc,PASS,
Q016:leg_load_energy,PASS,
Q016:charging_replay,PASS,
Q016:time_order,PASS,
Q017:resource_type,PASS,
Q017:known_route,PASS,
Q017:capacity,PASS,
Q017:physical_replay,PASS,
Q017:return_soc,PASS,
Q017:leg_load_energy,PASS,
Q017:charging_replay,PASS,
Q017:time_order,PASS,
Q021:resource_type,PASS,
Q021:known_route,PASS,
Q021:capacity,PASS,
Q021:physical_replay,PASS,
Q021:return_soc,PASS,
Q021:leg_load_energy,PASS,
Q021:charging_replay,PASS,
Q021:time_order,PASS,
Q022:resource_type,PASS,
Q022:known_route,PASS,
Q022:capacity,PASS,
Q022:physical_replay,PASS,
Q022:return_soc,PASS,
Q022:leg_load_energy,PASS,
Q022:charging_replay,PASS,
Q022:time_order,PASS,
Q005:resource_type,PASS,
Q005:known_route,PASS,
Q005:capacity,PASS,
Q005:physical_replay,PASS,
Q005:return_soc,PASS,
Q005:leg_load_energy,PASS,
Q005:charging_replay,PASS,
Q005:time_order,PASS,
Q006:resource_type,PASS,
Q006:known_route,PASS,
Q006:capacity,PASS,
Q006:physical_replay,PASS,
Q006:return_soc,PASS,
Q006:leg_load_energy,PASS,
Q006:charging_replay,PASS,
Q006:time_order,PASS,
Q018:resource_type,PASS,
Q018:known_route,PASS,
Q018:capacity,PASS,
Q018:physical_replay,PASS,
Q018:return_soc,PASS,
Q018:leg_load_energy,PASS,
Q018:charging_replay,PASS,
Q018:time_order,PASS,
Q019:resource_type,PASS,
Q019:known_route,PASS,
Q019:capacity,PASS,
Q019:physical_replay,PASS,
Q019:return_soc,PASS,
Q019:leg_load_energy,PASS,
Q019:charging_replay,PASS,
Q019:time_order,PASS,
Q023:resource_type,PASS,
Q023:known_route,PASS,
Q023:capacity,PASS,
Q023:physical_replay,PASS,
Q023:return_soc,PASS,
Q023:leg_load_energy,PASS,
Q023:charging_replay,PASS,
Q023:time_order,PASS,
Q025:resource_type,PASS,
Q025:known_route,PASS,
Q025:capacity,PASS,
