elapsed_s,energy_kwh,sorties
0,68.7497243046,21
0.738987200002,68.6593181328,21
1.1268572,68.6593181328,21
10.8014576,68.4509154459,21
10.8535331,68.4509154459,21
13.0618006,68.4456250549,20
13.0642204,68.4354025558,20
13.067781,68.3587039645,20
13.232553,68.3376358053,20
13.2483579,68.1780605492,20
14.1789359,67.6288979146,19
22.0074638,67.4442568736,18
22.0391206,67.3364688812,18
22.0833691,67.2903719139,18
23.7771468,67.2903719139,18
24.1730092,67.2465924272,18
24.2626545,67.0718793978,18
24.3952144,66.9202915667,18
25.2252961,66.7395794758,18
25.8068832,65.200078876,18
25.8250718,65.1839406458,18
25.9645275,65.1839406458,18
27.2872179,65.0858760939,18
29.3661746,65.0858760939,18
36.8269898,65.0583879106,18
37.685793,64.8733971996,18
37.7971175,64.8733971996,18
39.1633845,64.8677975196,18
39.2287926,64.8516592894,18
40.5542557,64.8516592894,18
41.6707031,64.8516592894,18
41.6848878,64.8516592894,18
41.7118854,64.8514042323,18
42.6450021,64.8136109217,18
42.6766657,64.8136109217,18
42.7051044,64.6467540542,18
43.3480421,64.6467540542,18
46.1377428,64.6467540542,18
67.1493039,64.636937855,18
68.2705252,64.636937855,18
106.7682487,64.3445850237,18
107.4547588,64.2304348951,18
107.9896576,64.2205614272,18
108.8050412,64.2205614272,18
122.5746227,64.2181783898,18
124.7175355,64.2181783898,18
126.2601465,64.2181783898,18
127.9917547,64.2181783898,18
128.7686618,64.2083621907,18
180.0000169,64.2083621907,18
