batch_id,type_id,uav_id,battery_id,visit_order,box_ids,start_s,launch_s,return_s,charge_start_s,charge_end_s,charge_s,mass_kg,volume_m3,energy_kwh,return_soc
Q001,B,U05,B-B01,S002,S002-WAT-02;S002-WAT-03,0,360,1756.69393392,1756.69393392,3667.09297608,1910.39904216,28,0.054,2.87015163576,0.28246209106
Q002,C,U07,C-B01,S001,S001-MED-02;S001-WAT-01;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-FOD-01;S001-FOD-02,0,510,1560.17039188,1560.17039188,3173.79786595,1613.62747407,75,0.176,2.8810860581,0.639864242737
Q003,B,U06,B-B02,S014,S014-WAT-01;S014-MED-01;S014-FOD-01,0,390,1869.75219462,1869.75219462,3463.91566849,1594.16347387,25,0.067,2.14037724739,0.464905688154
Q004,C,U08,C-B02,S006>S007,S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02,0,510,2413.57415984,2413.57415984,4504.55159668,2090.97743684,79,0.182,4.64360899758,0.419548875303
Q006,A,U01,A-B01,S001>S013,S001-WAT-08;S013-FOD-01,0,360,1904.11477452,1904.11477452,3037.7177544,1133.60297988,22,0.055,2.19324108421,0.512613092398
Q007,A,U02,A-B02,S013>S010,S013-MED-01;S013-WAT-01;S010-MED-01,0,390,2070.1480722,2070.1480722,3230.81235396,1160.66428176,20,0.051,2.28691482149,0.491796706335
Q009,A,U03,A-B03,S002,S002-WAT-04;S002-FOD-02,0,360,2003.73752421,2003.73752421,3375.80348037,1372.06595615,22,0.055,3.01868984823,0.329180033728
Q018,A,U04,A-B04,S010,S010-WAT-01;S010-FOD-01,0,360,1654.85939832,1654.85939832,2739.05100327,1084.19160495,22,0.055,2.02220170943,0.550621842349
Q005,C,U07,C-B03,S001>S006,S001-MED-01;S001-WAT-02;S001-WAT-03;S001-WAT-07;S001-FOD-03;S001-HYG-01;S001-HYG-02;S006-MED-01;S006-FOD-01,1560.17039188,2130.17039188,3949.19895089,3949.19895089,6052.24951441,2103.05056352,76,0.231,4.68818669609,0.413976662989
Q008,B,U05,B-B03,S012,S012-WAT-01;S012-MED-01;S012-FOD-01,1756.69393392,2146.69393392,3679.42848989,3679.42848989,5538.80133705,1859.37284716,25,0.067,2.75239887807,0.311900280483
Q013,B,U06,B-B04,S002,S002-MED-01;S002-WAT-01;S002-FOD-01,1869.75219462,2259.75219462,3686.44612854,3686.44612854,5528.9286975,1842.48256896,25,0.067,2.71342131299,0.321644671753
Q010,C,U08,C-B04,S011>S008,S011-MED-01;S011-WAT-01;S011-FOD-01;S008-MED-01;S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01,2413.57415984,2953.57415984,5105.97906584,5105.97906584,7660.41708063,2554.43801479,70,0.196,6.35484805462,0.205643993173
Q014,B,U05,B-B01,S003,S003-MED-01;S003-WAT-01;S003-FOD-02,3679.42848989,4069.42848989,5759.97158817,5759.97158817,7631.29198417,1871.320396,25,0.067,2.77997014462,0.305007463844
Q015,B,U06,B-B02,S015,S015-MED-01;S015-WAT-01;S015-FOD-01,3686.44612854,4076.44612854,5514.73471256,5514.73471256,7181.31137945,1666.57666689,25,0.067,2.3074846159,0.423128846024
Q011,C,U07,C-B01,S004,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,3949.19895089,4429.19895089,6250.26001748,6250.26001748,8750.01932174,2499.75930426,59,0.156,6.1529574311,0.230880321113
Q012,C,U08,C-B02,S007>S003,S007-FOD-01;S007-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-01;S003-HYG-01,5105.97906584,5615.97906584,7799.59121256,7799.59121256,10325.8064804,2526.21526779,70,0.207,6.25064098875,0.218669876406
Q017,B,U06,B-B04,S009>S002,S009-WAT-01;S002-HYG-01,5528.9286975,5888.9286975,7497.39281171,7497.39281171,9238.5584647,1741.165653,20,0.062,2.47961304538,0.380096738655
Q016,C,U07,C-B03,S005>S009,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01;S009-MED-01;S009-FOD-01,6250.26001748,6790.26001748,8734.76045358,8734.76045358,11104.4147259,2369.65427234,70,0.196,5.67256962095,0.290928797381
