box_id,batch_id,zone_id,sequence,complete_s,hard_deadline_s,expected_s,priority,hard_slack_s,soft_lateness_s
S001-FOD-01,Q002,S001,6,1212.27019594,,7200,10,,0
S001-FOD-02,Q002,S001,7,1248.27019594,,7200,10,,0
S001-FOD-03,Q005,S001,5,2796.44058782,,7200,10,,0
S001-HYG-01,Q005,S001,6,2832.44058782,,10800,8,,0
S001-HYG-02,Q005,S001,7,2868.44058782,,10800,8,,0
S001-MED-01,Q005,S001,1,2652.44058782,3600,3600,24,947.559412182,0
S001-MED-02,Q002,S001,1,1032.27019594,3600,3600,24,2567.72980406,0
S001-WAT-01,Q002,S001,2,1068.27019594,3600,3600,12,2531.72980406,0
S001-WAT-02,Q005,S001,2,2688.44058782,,3600,12,,0
S001-WAT-03,Q005,S001,3,2724.44058782,,3600,12,,0
S001-WAT-04,Q002,S001,3,1104.27019594,,3600,12,,0
S001-WAT-05,Q002,S001,4,1140.27019594,,3600,12,,0
S001-WAT-06,Q002,S001,5,1176.27019594,,3600,12,,0
S001-WAT-07,Q005,S001,4,2760.44058782,,3600,12,,0
S001-WAT-08,Q006,S001,1,878.573905965,,3600,12,,0
S002-FOD-01,Q013,S002,3,3090.03916158,,7200,10,,0
S002-FOD-02,Q009,S002,2,1283.80876211,,7200,10,,0
S002-HYG-01,Q017,S002,2,6900.98584474,,10800,8,,0
S002-MED-01,Q013,S002,1,3030.03916158,3600,3600,24,569.96083842,0
S002-WAT-01,Q013,S002,2,3060.03916158,3600,3600,12,539.96083842,0
S002-WAT-02,Q001,S002,1,1130.28696696,,3600,12,,0
S002-WAT-03,Q001,S002,2,1160.28696696,,3600,12,,0
S002-WAT-04,Q009,S002,1,1253.80876211,,3600,12,,0
S003-FOD-01,Q012,S003,6,6972.99564039,,10800,8,,0
S003-FOD-02,Q014,S003,3,5027.67337236,,10800,8,,0
S003-HYG-01,Q012,S003,7,7008.99564039,,14400,6,,0
S003-MED-01,Q014,S003,1,4967.67337236,7200,7200,20,2232.32662764,0
S003-WAT-01,Q014,S003,2,4997.67337236,7200,7200,10,2202.32662764,0
S003-WAT-02,Q012,S003,3,6864.99564039,,7200,10,,0
S003-WAT-03,Q012,S003,4,6900.99564039,,7200,10,,0
S003-WAT-04,Q012,S003,5,6936.99564039,,7200,10,,0
S004-FOD-01,Q011,S004,5,5496.69948419,,10800,8,,0
S004-HYG-01,Q011,S004,6,5532.69948419,,14400,6,,0
S004-MED-01,Q011,S004,1,5352.69948419,7200,7200,20,1847.30051581,0
S004-WAT-01,Q011,S004,2,5388.69948419,7200,7200,10,1811.30051581,0
S004-WAT-02,Q011,S004,3,5424.69948419,,7200,10,,0
S004-WAT-03,Q011,S004,4,5460.69948419,,7200,10,,0
S005-FOD-01,Q016,S005,5,7647.49259658,,14400,6,,0
S005-HYG-01,Q016,S005,6,7683.49259658,,18000,4,,0
S005-MED-01,Q016,S005,1,7503.49259658,10800,10800,16,3296.50740342,0
S005-WAT-01,Q016,S005,2,7539.49259658,10800,10800,8,3260.50740342,0
S005-WAT-02,Q016,S005,3,7575.49259658,,10800,8,,0
S005-WAT-03,Q016,S005,4,7611.49259658,,10800,8,,0
S006-FOD-01,Q005,S006,9,3597.06418792,,7200,10,,0
S006-HYG-01,Q004,S006,4,1167.42476297,,10800,8,,0
