货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,Q002,S001,1212.27019594
S001-FOD-02,Q002,S001,1248.27019594
S001-FOD-03,Q005,S001,2796.44058782
S001-HYG-01,Q005,S001,2832.44058782
S001-HYG-02,Q005,S001,2868.44058782
S001-MED-01,Q005,S001,2652.44058782
S001-MED-02,Q002,S001,1032.27019594
S001-WAT-01,Q002,S001,1068.27019594
S001-WAT-02,Q005,S001,2688.44058782
S001-WAT-03,Q005,S001,2724.44058782
S001-WAT-04,Q002,S001,1104.27019594
S001-WAT-05,Q002,S001,1140.27019594
S001-WAT-06,Q002,S001,1176.27019594
S001-WAT-07,Q005,S001,2760.44058782
S001-WAT-08,Q006,S001,878.573905965
S002-FOD-01,Q013,S002,3090.03916158
S002-FOD-02,Q009,S002,1283.80876211
S002-HYG-01,Q017,S002,6900.98584474
S002-MED-01,Q013,S002,3030.03916158
S002-WAT-01,Q013,S002,3060.03916158
S002-WAT-02,Q001,S002,1130.28696696
S002-WAT-03,Q001,S002,1160.28696696
S002-WAT-04,Q009,S002,1253.80876211
S003-FOD-01,Q012,S003,6972.99564039
S003-FOD-02,Q014,S003,5027.67337236
S003-HYG-01,Q012,S003,7008.99564039
S003-MED-01,Q014,S003,4967.67337236
S003-WAT-01,Q014,S003,4997.67337236
S003-WAT-02,Q012,S003,6864.99564039
S003-WAT-03,Q012,S003,6900.99564039
S003-WAT-04,Q012,S003,6936.99564039
S004-FOD-01,Q011,S004,5496.69948419
S004-HYG-01,Q011,S004,5532.69948419
S004-MED-01,Q011,S004,5352.69948419
S004-WAT-01,Q011,S004,5388.69948419
S004-WAT-02,Q011,S004,5424.69948419
S004-WAT-03,Q011,S004,5460.69948419
S005-FOD-01,Q016,S005,7647.49259658
S005-HYG-01,Q016,S005,7683.49259658
S005-MED-01,Q016,S005,7503.49259658
S005-WAT-01,Q016,S005,7539.49259658
S005-WAT-02,Q016,S005,7575.49259658
S005-WAT-03,Q016,S005,7611.49259658
S006-FOD-01,Q005,S006,3597.06418792
S006-HYG-01,Q004,S006,1167.42476297
S006-MED-01,Q005,S006,3561.06418792
S006-WAT-01,Q004,S006,1059.42476297
S006-WAT-02,Q004,S006,1095.42476297
S006-WAT-03,Q004,S006,1131.42476297
S007-FOD-01,Q012,S007,6369.72678976
S007-HYG-01,Q012,S007,6405.72678976
S007-MED-01,Q004,S007,1781.74643592
S007-WAT-01,Q004,S007,1817.74643592
S007-WAT-02,Q004,S007,1853.74643592
S008-FOD-01,Q010,S008,4367.96302354
S008-HYG-01,Q010,S008,4403.96302354
S008-MED-01,Q010,S008,4259.96302354
S008-WAT-01,Q010,S008,4295.96302354
S008-WAT-02,Q010,S008,4331.96302354
S009-FOD-01,Q016,S009,8246.36117782
S009-MED-01,Q016,S009,8210.36117782
S009-WAT-01,Q017,S009,6529.7398212
S010-FOD-01,Q018,S010,1104.96636583
S010-MED-01,Q007,S010,1520.2550397
S010-WAT-01,Q018,S010,1074.96636583
S011-FOD-01,Q010,S011,3537.47627745
S011-MED-01,Q010,S011,3465.47627745
S011-WAT-01,Q010,S011,3501.47627745
S012-FOD-01,Q008,S012,3027.99121191
S012-MED-01,Q008,S012,2997.99121191
S012-WAT-01,Q008,S012,2967.99121191
S013-FOD-01,Q006,S013,1375.59251702
S013-MED-01,Q007,S013,1083.58892417
S013-WAT-01,Q007,S013,1113.58892417
S014-FOD-01,Q003,S014,1242.43276398
S014-MED-01,Q003,S014,1212.43276398
S014-WAT-01,Q003,S014,1182.43276398
S015-FOD-01,Q015,S015,4904.03042055
S015-MED-01,Q015,S015,4844.03042055
S015-WAT-01,Q015,S015,4874.03042055
