架次编号,航段序号,起点,终点,离开时载货质量（kg）,飞行时间（s）,航段能耗（kWh）,抵达时刻（s）
Q001,1,O01,S002,28,590.286966961,1.78938702392,950.286966961
Q001,2,S002,O01,0,596.406966961,1.08076461184,1756.69393392
Q002,1,O01,S001,65,306.270195939,1.62576923853,816.270195939
Q002,2,S001,O01,0,311.900195939,0.96324894332,1560.17039188
Q003,1,O01,S001,75,306.270195939,1.91783711478,816.270195939
Q003,2,S001,O01,0,311.900195939,0.96324894332,1560.17039188
Q004,1,O01,S002,25,590.286966961,1.63265670115,980.286966961
Q004,2,S002,O01,0,596.406966961,1.08076461184,1816.69393392
Q009,1,O01,S001,22,338.573905965,0.709038165109,698.573905965
Q009,2,S001,S013,8,317.018611055,0.598762665752,1195.59251702
Q009,3,S013,O01,0,528.522257499,0.885440253349,1904.11477452
Q010,1,O01,S013,20,513.588924166,1.11110971233,903.588924166
Q010,2,S013,S010,3,226.666115538,0.292335785363,1340.2550397
Q010,3,S010,O01,0,549.893032494,0.883469323802,2070.1480722
Q012,1,O01,S002,22,713.808762107,1.6609552954,1073.80876211
Q012,2,S002,O01,0,719.928762107,1.35773455283,2003.73752421
Q019,1,O01,S010,22,534.966365828,1.13873238563,894.966365828
Q019,2,S010,O01,0,549.893032494,0.883469323802,1654.85939832
Q005,1,O01,S006,59,333.42476297,1.60406498162,2373.59515485
Q005,2,S006,O01,0,352.13476297,0.99395575435,3121.72991782
Q006,1,O01,S007,45,537.747723918,1.97245542071,2547.9181158
Q006,2,S007,O01,0,559.827723918,1.43848655229,3467.74583972
Q008,1,O01,S014,25,612.432763976,1.3068782032,2759.1266979
Q008,2,S014,O01,0,627.319430643,0.833499044189,3626.44612854
Q011,1,O01,S012,25,641.297277985,1.66377838821,2847.99121191
Q011,2,S012,O01,0,651.437277985,1.08862048985,3739.42848989
Q007,1,O01,S003,56,769.515572169,3.47113187466,4341.24548999
Q007,2,S003,O01,0,790.595572169,2.29394564176,5491.84106216
Q013,1,O01,S011,70,295.902117618,1.6336825458,4303.64795733
Q013,2,S011,S008,45,506.486746086,2.20829729707,5098.13470342
Q013,3,S008,O01,0,702.016042296,2.51286821175,6160.15074572
Q015,1,O01,S003,25,718.244882471,1.68741753062,4767.42138536
Q015,2,S003,O01,0,732.298215805,1.09255261401,5739.71960116
Q016,1,O01,S015,25,587.58429201,1.42505224181,4717.0127819
Q016,2,S015,O01,0,610.70429201,0.882432374093,5567.71707391
Q014,1,O01,S004,59,707.500533297,3.73423682295,6679.34159545
Q014,2,S004,O01,0,717.560533297,2.41872060815,7792.90212875
Q018,1,O01,S009,20,460.811123697,1.11625471007,6388.52819761
Q018,2,S009,S002,6,191.246023544,0.282593723467,6759.77422115
Q018,3,S002,O01,0,596.406966961,1.08076461184,7536.18118812
Q017,1,O01,S005,70,497.232579098,3.0104218107,7197.38332481
Q017,2,S005,S009,11,310.868581241,0.88999006374,7904.25190605
Q017,3,S009,O01,0,488.399275756,1.77215774651,8644.65118181
