batch_id,zone_id,type_id,uav_id,battery_id,box_ids,start_s,prep_end_s,launch_s,arrival_s,handoff_end_s,return_s,charge_start_s,charge_end_s,charge_s,mass_kg,volume_m3,energy_kwh,return_soc
F001,S001,C,U07,C-B01,S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-FOD-01,0,300,480,786.270195939,1182.27019594,1494.17039188,1494.17039188,3138.86042808,1644.6900362,78,0.163,2.9957785952,0.6255276756
F002,S001,C,U08,C-B02,S001-MED-01;S001-MED-02;S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02,0,300,570,876.270195939,1380.27019594,1692.17039188,1692.17039188,3315.684727,1623.51433512,76,0.231,2.9175913912,0.6353010761
F013,S010,B,U05,B-B01,S010-MED-01;S010-WAT-01;S010-FOD-01,0,300,390,845.22511789,1085.22511789,1555.37690245,1555.37690245,3012.09196697,1456.71506452,25,0.067,1.82318861044,0.544202847391
F015,S012,B,U06,B-B02,S012-WAT-01;S012-MED-01;S012-FOD-01,0,300,390,1031.29727798,1271.29727798,1922.73455597,1922.73455597,3782.10740313,1859.37284716,25,0.067,2.75239887807,0.311900280483
F003,S002,C,U07,C-B03,S002-MED-01;S002-WAT-01;S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-01,1494.17039188,1794.17039188,1974.17039188,2585.4864012,2981.4864012,3601.98241052,3601.98241052,6136.37180477,2534.38939425,67,0.148,6.28082237876,0.214897202655
F016,S013,B,U05,B-B03,S013-MED-01;S013-WAT-01;S013-FOD-01,1555.37690245,1855.37690245,1945.37690245,2378.14537593,2618.14537593,3065.84718274,3065.84718274,4523.24050942,1457.39332668,25,0.067,1.82475383079,0.543811542301
F009,S006,C,U08,C-B04,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,1692.17039188,1992.17039188,2172.17039188,2505.59515485,2901.59515485,3253.72991782,3253.72991782,4790.69386714,1536.96394933,59,0.156,2.59802073597,0.675247408004
F017,S014,B,U06,B-B04,S014-WAT-01;S014-MED-01;S014-FOD-01,1922.73455597,2222.73455597,2312.73455597,2925.16731995,3165.16731995,3792.48675059,3792.48675059,5386.65022446,1594.16347387,25,0.067,2.14037724739,0.464905688154
F018,S015,B,U05,B-B01,S015-MED-01;S015-WAT-01;S015-FOD-01,3065.84718274,3365.84718274,3455.84718274,4043.43147475,4283.43147475,4894.13576676,4894.13576676,6560.71243365,1666.57666689,25,0.067,2.3074846159,0.423128846024
F010,S007,C,U08,C-B01,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,3253.72991782,3553.72991782,3703.72991782,4241.47764174,4601.47764174,5161.30536566,5161.30536566,6918.43548334,1757.13011769,45,0.129,3.41094197301,0.573632253374
F005,S003,C,U07,C-B02,S003-MED-01;S003-WAT-01;S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-01,3601.98241052,3901.98241052,4081.98241052,4851.49798269,5247.49798269,6038.09355486,6038.09355486,8584.22596202,2546.13240716,67,0.148,6.32418119569,0.209477350539
F012,S009,B,U06,B-B02,S009-MED-01;S009-WAT-01;S009-FOD-01,3792.48675059,4092.48675059,4182.48675059,4643.29787429,4883.29787429,5350.92899798,5350.92899798,6925.96420931,1575.03521133,25,0.067,2.09623510307,0.475941224233
F014,S011,B,U05,B-B03,S011-MED-01;S011-WAT-01;S011-FOD-01,4894.13576676,5194.13576676,5284.13576676,5560.53425848,5800.53425848,6082.55941687,6082.55941687,7214.6088465,1132.04942963,25,0.067,1.07396022223,0.731509944444
F007,S004,C,U08,C-B04,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,5161.30536566,5461.30536566,5641.30536566,6348.80589895,6744.80589895,7462.36643225,7462.36643225,9962.1257365,2499.75930426,59,0.156,6.1529574311,0.230880321113
F004,S002,B,U06,B-B04,S002-FOD-02;S002-HYG-01,5386.65022446,5686.65022446,5746.65022446,6336.93719142,6546.93719142,7143.34415838,7143.34415838,8833.224153,1689.87999462,14,0.063,2.36126152605,0.409684618487
F011,S008,C,U07,C-B03,S008-MED-01;S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01,6136.37180477,6436.37180477,6586.37180477,7274.06784706,7634.06784706,8336.08388936,8336.08388936,10750.0193145,2413.93542511,45,0.129,5.83606926193,0.270491342259
F006,S003,B,U05,B-B01,S003-FOD-02;S003-HYG-01,6560.71243365,6860.71243365,6920.71243365,7638.95731612,7848.95731612,8581.25553193,8581.25553193,10298.393506,1717.1379741,14,0.063,2.4241645556,0.393958861099
F008,S005,C,U08,C-B01,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,7462.36643225,7762.36643225,7942.36643225,8439.59901135,8835.59901135,9339.56159044,9339.56159044,11316.4127808,1976.85119032,59,0.156,4.22221977966,0.472222527543
