架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
F001,U07,C,C-B01,0,S001,1494.17039188,2.9957785952
F002,U08,C,C-B02,0,S001,1692.17039188,2.9175913912
F013,U05,B,B-B01,0,S010,1555.37690245,1.82318861044
F015,U06,B,B-B02,0,S012,1922.73455597,2.75239887807
F003,U07,C,C-B03,1494.17039188,S002,3601.98241052,6.28082237876
F016,U05,B,B-B03,1555.37690245,S013,3065.84718274,1.82475383079
F009,U08,C,C-B04,1692.17039188,S006,3253.72991782,2.59802073597
F017,U06,B,B-B04,1922.73455597,S014,3792.48675059,2.14037724739
F018,U05,B,B-B01,3065.84718274,S015,4894.13576676,2.3074846159
F010,U08,C,C-B01,3253.72991782,S007,5161.30536566,3.41094197301
F005,U07,C,C-B02,3601.98241052,S003,6038.09355486,6.32418119569
F012,U06,B,B-B02,3792.48675059,S009,5350.92899798,2.09623510307
F014,U05,B,B-B03,4894.13576676,S011,6082.55941687,1.07396022223
F007,U08,C,C-B04,5161.30536566,S004,7462.36643225,6.1529574311
F004,U06,B,B-B04,5386.65022446,S002,7143.34415838,2.36126152605
F011,U07,C,C-B03,6136.37180477,S008,8336.08388936,5.83606926193
F006,U05,B,B-B01,6560.71243365,S003,8581.25553193,2.4241645556
F008,U08,C,C-B01,7462.36643225,S005,9339.56159044,4.22221977966
