货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,F001,S001,1182.27019594
S001-FOD-02,F002,S001,1272.27019594
S001-FOD-03,F002,S001,1308.27019594
S001-HYG-01,F002,S001,1344.27019594
S001-HYG-02,F002,S001,1380.27019594
S001-MED-01,F002,S001,1092.27019594
S001-MED-02,F002,S001,1128.27019594
S001-WAT-01,F001,S001,1002.27019594
S001-WAT-02,F001,S001,1038.27019594
S001-WAT-03,F001,S001,1074.27019594
S001-WAT-04,F001,S001,1110.27019594
S001-WAT-05,F001,S001,1146.27019594
S001-WAT-06,F002,S001,1164.27019594
S001-WAT-07,F002,S001,1200.27019594
S001-WAT-08,F002,S001,1236.27019594
S002-FOD-01,F003,S002,2981.4864012
S002-FOD-02,F004,S002,6516.93719142
S002-HYG-01,F004,S002,6546.93719142
S002-MED-01,F003,S002,2801.4864012
S002-WAT-01,F003,S002,2837.4864012
S002-WAT-02,F003,S002,2873.4864012
S002-WAT-03,F003,S002,2909.4864012
S002-WAT-04,F003,S002,2945.4864012
S003-FOD-01,F005,S003,5247.49798269
S003-FOD-02,F006,S003,7818.95731612
S003-HYG-01,F006,S003,7848.95731612
S003-MED-01,F005,S003,5067.49798269
S003-WAT-01,F005,S003,5103.49798269
S003-WAT-02,F005,S003,5139.49798269
S003-WAT-03,F005,S003,5175.49798269
S003-WAT-04,F005,S003,5211.49798269
S004-FOD-01,F007,S004,6708.80589895
S004-HYG-01,F007,S004,6744.80589895
S004-MED-01,F007,S004,6564.80589895
S004-WAT-01,F007,S004,6600.80589895
S004-WAT-02,F007,S004,6636.80589895
S004-WAT-03,F007,S004,6672.80589895
S005-FOD-01,F008,S005,8799.59901135
S005-HYG-01,F008,S005,8835.59901135
S005-MED-01,F008,S005,8655.59901135
S005-WAT-01,F008,S005,8691.59901135
S005-WAT-02,F008,S005,8727.59901135
S005-WAT-03,F008,S005,8763.59901135
S006-FOD-01,F009,S006,2865.59515485
S006-HYG-01,F009,S006,2901.59515485
S006-MED-01,F009,S006,2721.59515485
S006-WAT-01,F009,S006,2757.59515485
S006-WAT-02,F009,S006,2793.59515485
S006-WAT-03,F009,S006,2829.59515485
S007-FOD-01,F010,S007,4565.47764174
S007-HYG-01,F010,S007,4601.47764174
S007-MED-01,F010,S007,4457.47764174
S007-WAT-01,F010,S007,4493.47764174
S007-WAT-02,F010,S007,4529.47764174
S008-FOD-01,F011,S008,7598.06784706
S008-HYG-01,F011,S008,7634.06784706
S008-MED-01,F011,S008,7490.06784706
S008-WAT-01,F011,S008,7526.06784706
S008-WAT-02,F011,S008,7562.06784706
S009-FOD-01,F012,S009,4883.29787429
S009-MED-01,F012,S009,4823.29787429
S009-WAT-01,F012,S009,4853.29787429
S010-FOD-01,F013,S010,1085.22511789
S010-MED-01,F013,S010,1025.22511789
S010-WAT-01,F013,S010,1055.22511789
S011-FOD-01,F014,S011,5800.53425848
S011-MED-01,F014,S011,5740.53425848
S011-WAT-01,F014,S011,5770.53425848
S012-FOD-01,F015,S012,1271.29727798
S012-MED-01,F015,S012,1241.29727798
S012-WAT-01,F015,S012,1211.29727798
S013-FOD-01,F016,S013,2618.14537593
S013-MED-01,F016,S013,2558.14537593
S013-WAT-01,F016,S013,2588.14537593
S014-FOD-01,F017,S014,3165.16731995
S014-MED-01,F017,S014,3135.16731995
S014-WAT-01,F017,S014,3105.16731995
S015-FOD-01,F018,S015,4283.43147475
S015-MED-01,F018,S015,4223.43147475
S015-WAT-01,F018,S015,4253.43147475
