box_id,batch_id,zone_id,sequence,complete_s,hard_deadline_s,expected_s,priority,hard_slack_s,soft_lateness_s
S001-FOD-01,F001,S001,6,1182.27019594,,7200,10,,0
S001-FOD-02,F002,S001,6,1272.27019594,,7200,10,,0
S001-FOD-03,F002,S001,7,1308.27019594,,7200,10,,0
S001-HYG-01,F002,S001,8,1344.27019594,,10800,8,,0
S001-HYG-02,F002,S001,9,1380.27019594,,10800,8,,0
S001-MED-01,F002,S001,1,1092.27019594,3600,3600,24,2507.72980406,0
S001-MED-02,F002,S001,2,1128.27019594,3600,3600,24,2471.72980406,0
S001-WAT-01,F001,S001,1,1002.27019594,3600,3600,12,2597.72980406,0
S001-WAT-02,F001,S001,2,1038.27019594,,3600,12,,0
S001-WAT-03,F001,S001,3,1074.27019594,,3600,12,,0
S001-WAT-04,F001,S001,4,1110.27019594,,3600,12,,0
S001-WAT-05,F001,S001,5,1146.27019594,,3600,12,,0
S001-WAT-06,F002,S001,3,1164.27019594,,3600,12,,0
S001-WAT-07,F002,S001,4,1200.27019594,,3600,12,,0
S001-WAT-08,F002,S001,5,1236.27019594,,3600,12,,0
S002-FOD-01,F003,S002,6,2981.4864012,,7200,10,,0
S002-FOD-02,F004,S002,1,6516.93719142,,7200,10,,0
S002-HYG-01,F004,S002,2,6546.93719142,,10800,8,,0
S002-MED-01,F003,S002,1,2801.4864012,3600,3600,24,798.513598802,0
S002-WAT-01,F003,S002,2,2837.4864012,3600,3600,12,762.513598802,0
S002-WAT-02,F003,S002,3,2873.4864012,,3600,12,,0
S002-WAT-03,F003,S002,4,2909.4864012,,3600,12,,0
S002-WAT-04,F003,S002,5,2945.4864012,,3600,12,,0
S003-FOD-01,F005,S003,6,5247.49798269,,10800,8,,0
S003-FOD-02,F006,S003,1,7818.95731612,,10800,8,,0
S003-HYG-01,F006,S003,2,7848.95731612,,14400,6,,0
S003-MED-01,F005,S003,1,5067.49798269,7200,7200,20,2132.50201731,0
