check_id,status,detail
all_80_boxes_once,PASS,"deliveries=80, unique=80"
all_q1_batches_once,PASS,sorties=18
F001:same_type,PASS,
F001:return_soc,PASS,"SOC=0.625527676, minimum=0.200000000"
F001:time_order,PASS,
F001:one_zone,PASS,
F001:physical_replay,PASS,
F001:charging_replay,PASS,
F002:same_type,PASS,
F002:return_soc,PASS,"SOC=0.635301076, minimum=0.200000000"
F002:time_order,PASS,
F002:one_zone,PASS,
F002:physical_replay,PASS,
F002:charging_replay,PASS,
F013:same_type,PASS,
F013:return_soc,PASS,"SOC=0.544202847, minimum=0.200000000"
F013:time_order,PASS,
F013:one_zone,PASS,
F013:physical_replay,PASS,
F013:charging_replay,PASS,
F015:same_type,PASS,
F015:return_soc,PASS,"SOC=0.311900280, minimum=0.200000000"
F015:time_order,PASS,
F015:one_zone,PASS,
F015:physical_replay,PASS,
F015:charging_replay,PASS,
F003:same_type,PASS,
F003:return_soc,PASS,"SOC=0.214897203, minimum=0.200000000"
F003:time_order,PASS,
F003:one_zone,PASS,
F003:physical_replay,PASS,
F003:charging_replay,PASS,
F016:same_type,PASS,
F016:return_soc,PASS,"SOC=0.543811542, minimum=0.200000000"
F016:time_order,PASS,
F016:one_zone,PASS,
F016:physical_replay,PASS,
F016:charging_replay,PASS,
F009:same_type,PASS,
F009:return_soc,PASS,"SOC=0.675247408, minimum=0.200000000"
F009:time_order,PASS,
F009:one_zone,PASS,
F009:physical_replay,PASS,
F009:charging_replay,PASS,
F017:same_type,PASS,
F017:return_soc,PASS,"SOC=0.464905688, minimum=0.200000000"
F017:time_order,PASS,
F017:one_zone,PASS,
F017:physical_replay,PASS,
F017:charging_replay,PASS,
F018:same_type,PASS,
F018:return_soc,PASS,"SOC=0.423128846, minimum=0.200000000"
F018:time_order,PASS,
F018:one_zone,PASS,
F018:physical_replay,PASS,
F018:charging_replay,PASS,
F010:same_type,PASS,
F010:return_soc,PASS,"SOC=0.573632253, minimum=0.200000000"
F010:time_order,PASS,
F010:one_zone,PASS,
F010:physical_replay,PASS,
F010:charging_replay,PASS,
F005:same_type,PASS,
F005:return_soc,PASS,"SOC=0.209477351, minimum=0.200000000"
F005:time_order,PASS,
F005:one_zone,PASS,
F005:physical_replay,PASS,
F005:charging_replay,PASS,
F012:same_type,PASS,
F012:return_soc,PASS,"SOC=0.475941224, minimum=0.200000000"
F012:time_order,PASS,
F012:one_zone,PASS,
F012:physical_replay,PASS,
F012:charging_replay,PASS,
F014:same_type,PASS,
F014:return_soc,PASS,"SOC=0.731509944, minimum=0.200000000"
F014:time_order,PASS,
F014:one_zone,PASS,
F014:physical_replay,PASS,
F014:charging_replay,PASS,
F007:same_type,PASS,
F007:return_soc,PASS,"SOC=0.230880321, minimum=0.200000000"
F007:time_order,PASS,
F007:one_zone,PASS,
F007:physical_replay,PASS,
F007:charging_replay,PASS,
F004:same_type,PASS,
F004:return_soc,PASS,"SOC=0.409684618, minimum=0.200000000"
F004:time_order,PASS,
F004:one_zone,PASS,
F004:physical_replay,PASS,
F004:charging_replay,PASS,
F011:same_type,PASS,
F011:return_soc,PASS,"SOC=0.270491342, minimum=0.200000000"
F011:time_order,PASS,
F011:one_zone,PASS,
F011:physical_replay,PASS,
F011:charging_replay,PASS,
F006:same_type,PASS,
F006:return_soc,PASS,"SOC=0.393958861, minimum=0.200000000"
F006:time_order,PASS,
F006:one_zone,PASS,
F006:physical_replay,PASS,
F006:charging_replay,PASS,
F008:same_type,PASS,
F008:return_soc,PASS,"SOC=0.472222528, minimum=0.200000000"
F008:time_order,PASS,
F008:one_zone,PASS,
F008:physical_replay,PASS,
F008:charging_replay,PASS,
S001-FOD-01:delivery_replay,PASS,
S001-FOD-02:delivery_replay,PASS,
S001-FOD-03:delivery_replay,PASS,
S001-HYG-01:delivery_replay,PASS,
S001-HYG-02:delivery_replay,PASS,
S001-MED-01:delivery_replay,PASS,
S001-MED-01:hard_deadline,PASS,"delivered=1092.270s, deadline=3600.000s, slack=2507.730s"
