架次编号,航段序号,起点,终点,离开时载货质量（kg）,飞行时间（s）,航段能耗（kWh）,抵达时刻（s）
Q001,1,O01,S002,28,590.286966961,1.78938702392,950.286966961
Q001,2,S002,O01,0,596.406966961,1.08076461184,1756.69393392
Q002,1,O01,S014,25,612.432763976,1.3068782032,1002.43276398
Q002,2,S014,O01,0,627.319430643,0.833499044189,1869.75219462
Q003,1,O01,S001,79,306.270195939,2.07445711497,846.270195939
Q003,2,S001,S006,23,476.623600101,1.85093279048,1682.89379604
Q003,3,S006,O01,0,352.13476297,0.99395575435,2323.02855901
Q004,1,O01,S006,75,333.42476297,2.04846678205,843.42476297
Q004,2,S006,S007,39,398.321672949,1.05825328789,1529.74643592
Q004,3,S007,O01,0,559.827723918,1.43848655229,2413.57415984
Q005,1,O01,S010,17,534.966365828,1.07138268952,894.966365828
Q005,2,S010,O01,0,549.893032494,0.883469323802,1654.85939832
Q006,1,O01,S002,22,713.808762107,1.6609552954,1073.80876211
Q006,2,S002,O01,0,719.928762107,1.35773455283,2003.73752421
Q008,1,O01,S003,22,839.300344422,1.71709242036,1199.30034442
Q008,2,S003,O01,0,853.353677756,1.36655907846,2262.65402218
Q009,1,O01,S001,22,338.573905965,0.709038165109,698.573905965
Q009,2,S001,O01,0,342.327239299,0.573311783667,1250.90114526
Q010,1,O01,S012,17,764.471415088,1.59235442439,2375.37256035
Q010,2,S012,O01,0,774.611415088,1.36564917345,3359.98397544
Q011,1,O01,S001,17,338.573905965,0.667016978547,2353.43330429
Q011,2,S001,O01,0,342.327239299,0.573311783667,2905.76054359
Q007,1,O01,S009,25,460.811123697,1.2656590916,2607.50505762
Q007,2,S009,S002,17,191.246023544,0.331980404527,2978.75108116
Q007,3,S002,O01,0,596.406966961,1.08076461184,3785.15804812
Q013,1,O01,S013,25,432.76847348,1.12032625226,2692.5206681
Q013,2,S013,O01,0,447.701806813,0.704427578539,3380.22247491
Q012,1,O01,S001,75,306.270195939,1.91783711478,3169.29875495
Q012,2,S001,S012,16,491.715806646,1.60036167788,4057.0145616
Q012,3,S012,S010,8,401.547339806,1.29375002598,4674.5619014
Q012,4,S010,O01,0,506.547873831,1.49437815635,5397.10977523
Q014,1,O01,S011,70,295.902117618,1.6336825458,3249.47627745
Q014,2,S011,S008,45,506.486746086,2.20829729707,4043.96302354
Q014,3,S008,O01,0,702.016042296,2.51286821175,5105.97906584
Q016,1,O01,S005,20,470.844097652,1.04783370401,4294.75976614
Q016,2,S005,O01,0,475.330764319,0.786705375388,4980.09053046
Q017,1,O01,S002,14,590.286966961,1.28049691421,4735.44501509
Q017,2,S002,O01,0,596.406966961,1.08076461184,5541.85198205
Q019,1,O01,S015,25,587.58429201,1.42505224181,5957.67482247
Q019,2,S015,O01,0,610.70429201,0.882432374093,6808.37911448
Q015,1,O01,S007,65,537.747723918,2.49992715734,6153.72678976
Q015,2,S007,S003,59,243.268850639,1.30709566136,6612.99564039
Q015,3,S003,O01,0,790.595572169,2.29394564176,7799.59121256
Q018,1,O01,S004,62,707.500533297,3.8872858275,6614.61030853
Q018,2,S004,S005,3,314.282841212,0.843598091797,7324.89314974
Q018,3,S005,O01,0,503.962579098,1.65957785188,8044.85572884
Q020,1,O01,S009,25,460.811123697,1.2656590916,6463.27761861
Q020,2,S009,S005,8,288.60804759,0.439204956981,6961.8856662
Q020,3,S005,O01,0,475.330764319,0.786705375388,7617.21643052
Q021,1,O01,S005,28,470.844097652,1.29944424945,7639.22321213
Q021,2,S005,O01,0,475.330764319,0.786705375388,8324.55397645
