box_id,batch_id,zone_id,sequence,complete_s,hard_deadline_s,expected_s,priority,hard_slack_s,soft_lateness_s
S001-FOD-01,Q012,S001,5,3529.29875495,,7200,10,,0
S001-FOD-02,Q003,S001,4,1170.27019594,,7200,10,,0
S001-FOD-03,Q009,S001,2,908.573905965,,7200,10,,0
S001-HYG-01,Q003,S001,5,1206.27019594,,10800,8,,0
S001-HYG-02,Q012,S001,6,3565.29875495,,10800,8,,0
S001-MED-01,Q011,S001,1,2533.43330429,3600,3600,24,1066.56669571,0
S001-MED-02,Q012,S001,1,3385.29875495,3600,3600,24,214.70124505,0
S001-WAT-01,Q012,S001,2,3421.29875495,3600,3600,12,178.70124505,0
S001-WAT-02,Q003,S001,1,1062.27019594,,3600,12,,0
S001-WAT-03,Q012,S001,3,3457.29875495,,3600,12,,0
S001-WAT-04,Q012,S001,4,3493.29875495,,3600,12,,0
S001-WAT-05,Q011,S001,2,2563.43330429,,3600,12,,0
S001-WAT-06,Q009,S001,1,878.573905965,,3600,12,,0
S001-WAT-07,Q003,S001,2,1098.27019594,,3600,12,,0
S001-WAT-08,Q003,S001,3,1134.27019594,,3600,12,,0
S002-FOD-01,Q017,S002,1,4915.44501509,,7200,10,,0
S002-FOD-02,Q006,S002,2,1283.80876211,,7200,10,,0
S002-HYG-01,Q017,S002,2,4945.44501509,,10800,8,,0
S002-MED-01,Q007,S002,2,3158.75108116,3600,3600,24,441.248918837,0
S002-WAT-01,Q001,S002,1,1130.28696696,3600,3600,12,2469.71303304,0
S002-WAT-02,Q001,S002,2,1160.28696696,,3600,12,,0
S002-WAT-03,Q006,S002,1,1253.80876211,,3600,12,,0
S002-WAT-04,Q007,S002,3,3188.75108116,,3600,12,,0
S003-FOD-01,Q015,S003,6,6972.99564039,,10800,8,,0
S003-FOD-02,Q008,S003,2,1409.30034442,,10800,8,,0
S003-HYG-01,Q015,S003,7,7008.99564039,,14400,6,,0
S003-MED-01,Q015,S003,2,6828.99564039,7200,7200,20,371.004359606,0
S003-WAT-01,Q015,S003,3,6864.99564039,7200,7200,10,335.004359606,0
S003-WAT-02,Q015,S003,4,6900.99564039,,7200,10,,0
S003-WAT-03,Q008,S003,1,1379.30034442,,7200,10,,0
S003-WAT-04,Q015,S003,5,6936.99564039,,7200,10,,0
S004-FOD-01,Q018,S004,5,6974.61030853,,10800,8,,0
S004-HYG-01,Q018,S004,6,7010.61030853,,14400,6,,0
S004-MED-01,Q018,S004,1,6830.61030853,7200,7200,20,369.389691471,0
S004-WAT-01,Q018,S004,2,6866.61030853,7200,7200,10,333.389691471,0
S004-WAT-02,Q018,S004,3,6902.61030853,,7200,10,,0
S004-WAT-03,Q018,S004,4,6938.61030853,,7200,10,,0
S005-FOD-01,Q020,S005,3,7141.8856662,,14400,6,,0
S005-HYG-01,Q016,S005,2,4504.75976614,,18000,4,,0
S005-MED-01,Q018,S005,7,7540.89314974,10800,10800,16,3259.10685026,0
S005-WAT-01,Q021,S005,1,7819.22321213,10800,10800,8,2980.77678787,0
S005-WAT-02,Q021,S005,2,7849.22321213,,10800,8,,0
S005-WAT-03,Q016,S005,1,4474.75976614,,10800,8,,0
S006-FOD-01,Q004,S006,3,1131.42476297,,7200,10,,0
S006-HYG-01,Q003,S006,8,1970.89379604,,10800,8,,0
S006-MED-01,Q003,S006,6,1898.89379604,3600,3600,24,1701.10620396,0
S006-WAT-01,Q003,S006,7,1934.89379604,3600,3600,12,1665.10620396,0
S006-WAT-02,Q004,S006,1,1059.42476297,,3600,12,,0
S006-WAT-03,Q004,S006,2,1095.42476297,,3600,12,,0
S007-FOD-01,Q004,S007,7,1853.74643592,,7200,10,,0
S007-HYG-01,Q015,S007,1,6369.72678976,,10800,8,,0
S007-MED-01,Q004,S007,4,1745.74643592,3600,3600,24,1854.25356408,0
S007-WAT-01,Q004,S007,5,1781.74643592,3600,3600,12,1818.25356408,0
S007-WAT-02,Q004,S007,6,1817.74643592,,3600,12,,0
S008-FOD-01,Q014,S008,7,4367.96302354,,10800,8,,0
S008-HYG-01,Q014,S008,8,4403.96302354,,14400,6,,0
S008-MED-01,Q014,S008,4,4259.96302354,7200,7200,20,2940.03697646,0
S008-WAT-01,Q014,S008,5,4295.96302354,7200,7200,10,2904.03697646,0
S008-WAT-02,Q014,S008,6,4331.96302354,,7200,10,,0
S009-FOD-01,Q007,S009,1,2787.50505762,,14400,6,,0
S009-MED-01,Q020,S009,1,6643.27761861,10800,10800,16,4156.72238139,0
S009-WAT-01,Q020,S009,2,6673.27761861,10800,10800,8,4126.72238139,0
S010-FOD-01,Q012,S010,8,4890.5619014,,7200,10,,0
S010-MED-01,Q005,S010,1,1074.96636583,3600,3600,24,2525.03363417,0
S010-WAT-01,Q005,S010,2,1104.96636583,3600,3600,12,2495.03363417,0
S011-FOD-01,Q014,S011,3,3537.47627745,,14400,6,,0
S011-MED-01,Q014,S011,1,3465.47627745,10800,10800,16,7334.52372255,0
S011-WAT-01,Q014,S011,2,3501.47627745,10800,10800,8,7298.52372255,0
S012-FOD-01,Q012,S012,7,4273.0145616,,7200,10,,0
S012-MED-01,Q010,S012,2,2585.37256035,3600,7200,22,1014.62743965,0
S012-WAT-01,Q010,S012,1,2555.37256035,3600,3600,12,1044.62743965,0
S013-FOD-01,Q013,S013,3,2932.5206681,,7200,10,,0
S013-MED-01,Q013,S013,1,2872.5206681,3600,3600,24,727.479331901,0
S013-WAT-01,Q013,S013,2,2902.5206681,3600,3600,12,697.479331901,0
S014-FOD-01,Q002,S014,3,1242.43276398,,7200,10,,0
S014-MED-01,Q002,S014,2,1212.43276398,3600,7200,22,2387.56723602,0
S014-WAT-01,Q002,S014,1,1182.43276398,3600,3600,12,2417.56723602,0
S015-FOD-01,Q019,S015,3,6197.67482247,,14400,6,,0
S015-MED-01,Q019,S015,1,6137.67482247,7200,7200,18,1062.32517753,0
S015-WAT-01,Q019,S015,2,6167.67482247,10800,10800,8,4632.32517753,0
