架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
Q001,U05,B,B-B01,0,S002,1756.69393392,2.87015163576
Q002,U06,B,B-B02,0,S014,1869.75219462,2.14037724739
Q003,U07,C,C-B01,0,S001>S006,2323.02855901,4.91934565981
Q004,U08,C,C-B02,0,S006>S007,2413.57415984,4.54520662223
Q005,U01,A,A-B01,0,S009>S002,2215.81400943,3.0154351234
Q006,U02,A,A-B02,0,S003,2262.65402218,3.08365149882
Q007,U03,A,A-B03,0,S010,1654.85939832,1.95485201332
Q009,U04,A,A-B04,0,S001,1250.90114526,1.28234994878
Q010,U04,A,A-B05,1250.90114526,S012,3359.98397544,2.95800359784
Q011,U03,A,A-B06,1654.85939832,S001,2905.76054359,1.24032876221
Q008,U05,B,B-B03,1756.69393392,S002,3573.38786784,2.71342131299
Q013,U06,B,B-B04,1869.75219462,S013,3380.22247491,1.82475383079
Q012,U07,C,C-B03,2323.02855901,S001>S012>S010,5397.10977523,6.306326975
Q014,U08,C,C-B04,2413.57415984,S011>S008,5105.97906584,6.35484805462
Q016,U06,B,B-B02,3463.91566849,S005,4980.09053046,1.8345390794
Q017,U05,B,B-B01,3667.09297608,S002,5423.78691001,2.36126152605
Q019,U06,B,B-B04,4980.09053046,S015,6808.37911448,2.3074846159
Q015,U08,C,C-B01,5105.97906584,S007>S003,7799.59121256,6.10096846045
Q018,U07,C,C-B02,5397.10977523,S004>S005,8044.85572884,6.39046177118
Q020,U05,B,B-B03,5423.78691001,S009>S005,7428.53684561,2.49156942397
Q021,U06,B,B-B02,6808.37911448,S005,8324.55397645,2.08614962484
