货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,Q012,S001,3529.29875495
S001-FOD-02,Q003,S001,1170.27019594
S001-FOD-03,Q009,S001,908.573905965
S001-HYG-01,Q003,S001,1206.27019594
S001-HYG-02,Q012,S001,3565.29875495
S001-MED-01,Q011,S001,2533.43330429
S001-MED-02,Q012,S001,3385.29875495
S001-WAT-01,Q012,S001,3421.29875495
S001-WAT-02,Q003,S001,1062.27019594
S001-WAT-03,Q012,S001,3457.29875495
S001-WAT-04,Q012,S001,3493.29875495
S001-WAT-05,Q011,S001,2563.43330429
S001-WAT-06,Q009,S001,878.573905965
S001-WAT-07,Q003,S001,1098.27019594
S001-WAT-08,Q003,S001,1134.27019594
S002-FOD-01,Q017,S002,4797.37994305
S002-FOD-02,Q008,S002,2976.98090088
S002-HYG-01,Q017,S002,4827.37994305
S002-MED-01,Q008,S002,2916.98090088
S002-WAT-01,Q001,S002,1130.28696696
S002-WAT-02,Q001,S002,1160.28696696
S002-WAT-03,Q008,S002,2946.98090088
S002-WAT-04,Q005,S002,1495.88524732
S003-FOD-01,Q015,S003,6972.99564039
S003-FOD-02,Q006,S003,1409.30034442
S003-HYG-01,Q015,S003,7008.99564039
S003-MED-01,Q015,S003,6828.99564039
S003-WAT-01,Q015,S003,6864.99564039
S003-WAT-02,Q015,S003,6900.99564039
S003-WAT-03,Q006,S003,1379.30034442
S003-WAT-04,Q015,S003,6936.99564039
S004-FOD-01,Q018,S004,6974.61030853
S004-HYG-01,Q018,S004,7010.61030853
S004-MED-01,Q018,S004,6830.61030853
S004-WAT-01,Q018,S004,6866.61030853
S004-WAT-02,Q018,S004,6902.61030853
S004-WAT-03,Q018,S004,6938.61030853
S005-FOD-01,Q020,S005,6953.20608129
S005-HYG-01,Q016,S005,4504.75976614
S005-MED-01,Q018,S005,7540.89314974
S005-WAT-01,Q021,S005,7819.22321213
S005-WAT-02,Q021,S005,7849.22321213
S005-WAT-03,Q016,S005,4474.75976614
S006-FOD-01,Q004,S006,1131.42476297
S006-HYG-01,Q003,S006,1970.89379604
S006-MED-01,Q003,S006,1898.89379604
S006-WAT-01,Q003,S006,1934.89379604
S006-WAT-02,Q004,S006,1059.42476297
S006-WAT-03,Q004,S006,1095.42476297
S007-FOD-01,Q004,S007,1853.74643592
S007-HYG-01,Q015,S007,6369.72678976
S007-MED-01,Q004,S007,1745.74643592
S007-WAT-01,Q004,S007,1781.74643592
S007-WAT-02,Q004,S007,1817.74643592
S008-FOD-01,Q014,S008,4367.96302354
S008-HYG-01,Q014,S008,4403.96302354
S008-MED-01,Q014,S008,4259.96302354
S008-WAT-01,Q014,S008,4295.96302354
S008-WAT-02,Q014,S008,4331.96302354
S009-FOD-01,Q005,S009,1095.89693736
S009-MED-01,Q020,S009,6454.5980337
S009-WAT-01,Q020,S009,6484.5980337
S010-FOD-01,Q012,S010,4890.5619014
S010-MED-01,Q007,S010,1074.96636583
S010-WAT-01,Q007,S010,1104.96636583
S011-FOD-01,Q014,S011,3537.47627745
S011-MED-01,Q014,S011,3465.47627745
S011-WAT-01,Q014,S011,3501.47627745
S012-FOD-01,Q012,S012,4273.0145616
S012-MED-01,Q010,S012,2585.37256035
S012-WAT-01,Q010,S012,2555.37256035
S013-FOD-01,Q013,S013,2932.5206681
S013-MED-01,Q013,S013,2872.5206681
S013-WAT-01,Q013,S013,2902.5206681
S014-FOD-01,Q002,S014,1242.43276398
S014-MED-01,Q002,S014,1212.43276398
S014-WAT-01,Q002,S014,1182.43276398
S015-FOD-01,Q019,S015,6197.67482247
S015-MED-01,Q019,S015,6137.67482247
S015-WAT-01,Q019,S015,6167.67482247
