check_id,status,detail
all_80_boxes_once,PASS,"rows=80, unique=80"
route_delivery_consistency,PASS,
Q001:resource_type,PASS,
Q001:known_route,PASS,
Q001:capacity,PASS,
Q001:physical_replay,PASS,
Q001:return_soc,PASS,
Q001:leg_load_energy,PASS,
Q001:charging_replay,PASS,
Q001:time_order,PASS,
Q002:resource_type,PASS,
Q002:known_route,PASS,
Q002:capacity,PASS,
Q002:physical_replay,PASS,
Q002:return_soc,PASS,
Q002:leg_load_energy,PASS,
Q002:charging_replay,PASS,
Q002:time_order,PASS,
Q003:resource_type,PASS,
Q003:known_route,PASS,
Q003:capacity,PASS,
Q003:physical_replay,PASS,
Q003:return_soc,PASS,
Q003:leg_load_energy,PASS,
Q003:charging_replay,PASS,
Q003:time_order,PASS,
Q004:resource_type,PASS,
Q004:known_route,PASS,
Q004:capacity,PASS,
Q004:physical_replay,PASS,
Q004:return_soc,PASS,
Q004:leg_load_energy,PASS,
Q004:charging_replay,PASS,
Q004:time_order,PASS,
Q005:resource_type,PASS,
Q005:known_route,PASS,
Q005:capacity,PASS,
Q005:physical_replay,PASS,
Q005:return_soc,PASS,
Q005:leg_load_energy,PASS,
Q005:charging_replay,PASS,
Q005:time_order,PASS,
Q006:resource_type,PASS,
Q006:known_route,PASS,
Q006:capacity,PASS,
Q006:physical_replay,PASS,
Q006:return_soc,PASS,
Q006:leg_load_energy,PASS,
Q006:charging_replay,PASS,
Q006:time_order,PASS,
Q008:resource_type,PASS,
Q008:known_route,PASS,
Q008:capacity,PASS,
Q008:physical_replay,PASS,
Q008:return_soc,PASS,
Q008:leg_load_energy,PASS,
Q008:charging_replay,PASS,
Q008:time_order,PASS,
Q009:resource_type,PASS,
Q009:known_route,PASS,
Q009:capacity,PASS,
Q009:physical_replay,PASS,
Q009:return_soc,PASS,
Q009:leg_load_energy,PASS,
Q009:charging_replay,PASS,
Q009:time_order,PASS,
Q010:resource_type,PASS,
Q010:known_route,PASS,
Q010:capacity,PASS,
Q010:physical_replay,PASS,
Q010:return_soc,PASS,
Q010:leg_load_energy,PASS,
Q010:charging_replay,PASS,
Q010:time_order,PASS,
Q011:resource_type,PASS,
Q011:known_route,PASS,
Q011:capacity,PASS,
Q011:physical_replay,PASS,
Q011:return_soc,PASS,
Q011:leg_load_energy,PASS,
Q011:charging_replay,PASS,
Q011:time_order,PASS,
Q007:resource_type,PASS,
Q007:known_route,PASS,
Q007:capacity,PASS,
Q007:physical_replay,PASS,
Q007:return_soc,PASS,
Q007:leg_load_energy,PASS,
Q007:charging_replay,PASS,
Q007:time_order,PASS,
Q013:resource_type,PASS,
Q013:known_route,PASS,
Q013:capacity,PASS,
Q013:physical_replay,PASS,
Q013:return_soc,PASS,
Q013:leg_load_energy,PASS,
Q013:charging_replay,PASS,
Q013:time_order,PASS,
Q012:resource_type,PASS,
Q012:known_route,PASS,
Q012:capacity,PASS,
Q012:physical_replay,PASS,
Q012:return_soc,PASS,
Q012:leg_load_energy,PASS,
Q012:charging_replay,PASS,
Q012:time_order,PASS,
Q014:resource_type,PASS,
Q014:known_route,PASS,
Q014:capacity,PASS,
