架次编号,航段序号,起点,终点,离开时载货质量（kg）,飞行时间（s）,航段能耗（kWh）,抵达时刻（s）
Q001,1,O01,S001,73,306.270195939,1.84946610995,816.270195939
Q001,2,S001,S006,17,476.623600101,1.78939555801,1652.89379604
Q001,3,S006,O01,0,352.13476297,0.99395575435,2257.02855901
Q002,1,O01,S006,61,333.42476297,1.64642622232,813.42476297
Q002,2,S006,S007,39,398.321672949,1.05825328789,1463.74643592
Q002,3,S007,O01,0,559.827723918,1.43848655229,2347.57415984
Q003,1,O01,S006,28,312.401789744,0.825772049282,672.401789744
Q003,2,S006,S014,14,772.67205682,1.50972356753,1625.07384656
Q003,3,S014,O01,0,627.319430643,0.833499044189,2432.39327721
Q004,1,O01,S001,28,287.674094255,0.762228675018,647.674094255
Q004,2,S001,S002,14,368.351770932,0.758966029074,1196.02586519
Q004,3,S002,O01,0,596.406966961,1.08076461184,1972.43283215
Q005,1,O01,S001,14,338.573905965,0.646217665123,668.573905965
Q005,2,S001,O01,0,342.327239299,0.573311783667,1190.90114526
Q007,1,O01,S001,3,338.573905965,0.594486361522,668.573905965
Q007,2,S001,O01,0,342.327239299,0.573311783667,1190.90114526
Q009,1,O01,S014,6,702.758933893,1.13255016677,1062.75893389
Q009,2,S014,S012,3,615.178518638,1.03986846802,1857.93745253
Q009,3,S012,O01,0,774.611415088,1.36564917345,2812.54886762
Q010,1,O01,S009,17,555.896937357,1.21114631782,915.896937357
Q010,2,S009,S012,14,323.810074852,0.62565116631,1419.70701221
Q010,3,S012,O01,0,774.611415088,1.36564917345,2374.3184273
Q013,1,O01,S002,17,713.808762107,1.56222506669,2264.70990737
Q013,2,S002,S010,3,639.967330767,1.14923135875,3084.67723814
Q013,3,S010,O01,0,549.893032494,0.883469323802,3814.57027063
Q014,1,O01,S011,22,323.200126169,0.663791812026,1874.10127143
Q014,2,S011,S008,14,567.685301911,1.11047448684,2621.78657334
Q014,3,S008,O01,0,805.346397729,1.48126602584,3607.13297107
Q006,1,O01,S009,25,460.811123697,1.2656590916,2823.24395585
Q006,2,S009,S002,17,191.246023544,0.331980404527,3194.48997939
Q006,3,S002,O01,0,596.406966961,1.08076461184,4000.89694635
Q008,1,O01,S001,61,306.270195939,1.53689088579,3043.29875495
Q008,2,S001,S012,16,491.715806646,1.60036167788,3859.0145616
Q008,3,S012,S010,8,401.547339806,1.29375002598,4476.5619014
Q008,4,S010,O01,0,506.547873831,1.49437815635,5199.10977523
Q011,1,O01,S010,44,484.157873831,2.01922582079,3251.73203367
Q011,2,S010,S011,30,538.218599112,2.09455090623,4005.95063278
Q011,3,S011,S001,16,228.849489592,0.781891088048,4450.80012237
Q011,4,S001,O01,0,311.900195939,0.96324894332,5014.70031831
Q016,1,O01,S002,14,713.808762107,1.51369720302,3418.1271894
Q016,2,S002,O01,0,719.928762107,1.35773455283,4318.05595151
Q012,1,O01,S013,25,432.76847348,1.12032625226,3255.16175069
Q012,2,S013,O01,0,447.701806813,0.704427578539,3942.8635575
Q020,1,O01,S015,22,687.742168195,1.45024731009,3860.29103581
Q020,2,S015,S003,14,282.262800018,0.518303155444,4322.55383583
Q020,3,S003,O01,0,853.353677756,1.36655907846,5355.90751359
Q021,1,O01,S005,9,558.854792476,1.05284493172,4718.32447641
Q021,2,S005,S015,3,511.76477027,0.79860067072,5410.08924668
Q021,3,S015,O01,0,710.862168195,1.10748260857,6300.95141487
Q017,1,O01,S002,14,590.286966961,1.28049691421,4893.15052446
Q017,2,S002,O01,0,596.406966961,1.08076461184,5699.55749142
Q022,1,O01,S015,17,687.742168195,1.36456896953,5382.39951375
Q022,2,S015,S011,3,477.167199342,0.659809549095,6039.56671309
Q022,3,S011,O01,0,328.826792835,0.527516235123,6548.39350593
Q019,1,O01,S005,25,470.844097652,1.1869822437,5333.13506129
Q019,2,S005,S002,22,377.235487823,0.749122444084,5890.37054912
Q019,3,S002,S009,14,190.546023544,0.317874932679,6260.91657266
Q019,4,S009,O01,0,467.631123697,0.830576011468,6908.54769636
Q015,1,O01,S007,65,537.747723918,2.49992715734,6062.44804223
Q015,2,S007,S003,59,243.268850639,1.30709566136,6521.71689287
Q015,3,S003,O01,0,790.595572169,2.29394564176,7708.31246504
Q023,1,O01,S008,17,795.799731063,1.71867251712,6203.41981816
Q023,2,S008,O01,0,805.346397729,1.48126602584,7218.76621589
Q018,1,O01,S004,39,707.500533297,3.01796529881,6326.61030853
Q018,2,S004,S008,8,295.487997149,0.864235116914,6910.09830568
Q018,3,S008,O01,0,702.016042296,2.51286821175,7828.11434798
Q024,1,O01,S014,8,702.758933893,1.14921669213,6388.66644748
Q024,2,S014,O01,0,717.645600559,1.03935696038,7286.31204804
