货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,Q011,S001,4666.80012237
S001-FOD-02,Q001,S001,1140.27019594
S001-FOD-03,Q011,S001,4702.80012237
S001-HYG-01,Q001,S001,1176.27019594
S001-HYG-02,Q027,S001,7149.52532084
S001-MED-01,Q007,S001,848.573905965
S001-MED-02,Q008,S001,3259.29875495
S001-WAT-01,Q008,S001,3295.29875495
S001-WAT-02,Q001,S001,1032.27019594
S001-WAT-03,Q008,S001,3331.29875495
S001-WAT-04,Q008,S001,3367.29875495
S001-WAT-05,Q005,S001,848.573905965
S001-WAT-06,Q004,S001,827.674094255
S001-WAT-07,Q001,S001,1068.27019594
S001-WAT-08,Q001,S001,1104.27019594
S002-FOD-01,Q017,S002,5073.15052446
S002-FOD-02,Q019,S002,6070.37054912
S002-HYG-01,Q017,S002,5103.15052446
S002-MED-01,Q006,S002,3374.48997939
S002-WAT-01,Q004,S002,1376.02586519
S002-WAT-02,Q013,S002,2444.70990737
S002-WAT-03,Q016,S002,3598.1271894
S002-WAT-04,Q006,S002,3404.48997939
S003-FOD-01,Q015,S003,6881.71689287
S003-FOD-02,Q033,S003,9134.90789032
S003-HYG-01,Q015,S003,6917.71689287
S003-MED-01,Q015,S003,6737.71689287
S003-WAT-01,Q015,S003,6773.71689287
S003-WAT-02,Q015,S003,6809.71689287
S003-WAT-03,Q020,S003,4502.55383583
S003-WAT-04,Q015,S003,6845.71689287
S004-FOD-01,Q031,S004,8966.80239122
S004-HYG-01,Q029,S004,9037.8646782
S004-MED-01,Q018,S004,6542.61030853
S004-WAT-01,Q018,S004,6578.61030853
S004-WAT-02,Q018,S004,6614.61030853
S004-WAT-03,Q025,S004,6882.02816368
S005-FOD-01,Q029,S005,8572.04960025
S005-HYG-01,Q021,S005,4898.32447641
S005-MED-01,Q019,S005,5513.13506129
S005-WAT-01,Q026,S005,8470.76664073
S005-WAT-02,Q028,S005,7888.23839655
S005-WAT-03,Q032,S005,8871.34692707
S006-FOD-01,Q002,S006,1065.42476297
S006-HYG-01,Q026,S006,7760.9494861
S006-MED-01,Q001,S006,1868.89379604
S006-WAT-01,Q001,S006,1904.89379604
S006-WAT-02,Q003,S006,852.401789744
S006-WAT-03,Q002,S006,1029.42476297
S007-FOD-01,Q002,S007,1787.74643592
S007-HYG-01,Q015,S007,6278.44804223
S007-MED-01,Q002,S007,1679.74643592
S007-WAT-01,Q002,S007,1715.74643592
S007-WAT-02,Q002,S007,1751.74643592
S008-FOD-01,Q018,S008,7126.09830568
S008-HYG-01,Q030,S008,8942.00850733
S008-MED-01,Q023,S008,6383.41981816
S008-WAT-01,Q023,S008,6413.41981816
S008-WAT-02,Q014,S008,2801.78657334
S009-FOD-01,Q006,S009,3003.24395585
S009-MED-01,Q010,S009,1095.89693736
S009-WAT-01,Q019,S009,6440.91657266
S010-FOD-01,Q008,S010,4692.5619014
S010-MED-01,Q013,S010,3264.67723814
S010-WAT-01,Q011,S010,3467.73203367
S011-FOD-01,Q014,S011,2054.10127143
S011-MED-01,Q022,S011,6219.56671309
S011-WAT-01,Q011,S011,4221.95063278
S012-FOD-01,Q008,S012,4075.0145616
S012-MED-01,Q009,S012,2037.93745253
S012-WAT-01,Q010,S012,1599.70701221
S013-FOD-01,Q012,S013,3495.16175069
S013-MED-01,Q012,S013,3435.16175069
S013-WAT-01,Q012,S013,3465.16175069
S014-FOD-01,Q024,S014,6568.66644748
S014-MED-01,Q009,S014,1242.75893389
S014-WAT-01,Q003,S014,1805.07384656
S015-FOD-01,Q020,S015,4040.29103581
S015-MED-01,Q021,S015,5590.08924668
S015-WAT-01,Q022,S015,5562.39951375
