slice_id,sortie_id,stage,start_s,end_s,direct_margin_db,midpoint_status
17,Q001,巡航,677.343418621,697.106905844,-0.107041869,ASSIGNED
18,Q001,巡航,697.106905844,716.870393067,-0.726788995,ASSIGNED
19,Q001,巡航,716.870393067,736.633880291,-1.305300754,ASSIGNED
20,Q001,巡航,736.633880291,756.397367514,-1.847717743,ASSIGNED
21,Q001,巡航,756.397367514,776.160854737,-2.358276369,ASSIGNED
22,Q001,巡航,776.160854737,795.924341961,-2.840509020,ASSIGNED
23,Q001,巡航,795.924341961,815.687829184,-3.297391783,ASSIGNED
24,Q001,巡航,815.687829184,835.451316407,-3.731455367,ASSIGNED
25,Q001,巡航,835.451316407,855.214803631,-4.144869712,ASSIGNED
26,Q001,巡航,855.214803631,874.978290854,-4.539509418,ASSIGNED
27,Q001,巡航,874.978290854,894.741778078,-4.917004996,ASSIGNED
28,Q001,巡航,894.741778078,914.505265301,-5.278783466,ASSIGNED
29,Q001,下降,914.505265301,932.396116131,-5.453646717,ASSIGNED
30,Q001,下降,932.396116131,950.286966961,-5.452822747,UNCOVERED
31,Q001,投送,950.286966961,969.377876052,-5.452529325,UNCOVERED
32,Q001,投送,969.377876052,988.468785143,-5.452529325,UNCOVERED
33,Q001,投送,988.468785143,1007.559694234,-5.452529325,UNCOVERED
34,Q001,投送,1007.559694234,1026.650603325,-5.452529325,UNCOVERED
35,Q001,投送,1026.650603325,1045.741512416,-5.452529325,UNCOVERED
36,Q001,投送,1045.741512416,1064.832421507,-5.452529325,UNCOVERED
37,Q001,投送,1064.832421507,1083.923330597,-5.452529325,UNCOVERED
38,Q001,投送,1083.923330597,1103.014239688,-5.452529325,UNCOVERED
39,Q001,投送,1103.014239688,1122.105148779,-5.452529325,UNCOVERED
40,Q001,投送,1122.105148779,1141.196057870,-5.452529325,UNCOVERED
41,Q001,投送,1141.196057870,1160.286966961,-5.452529325,UNCOVERED
42,Q001,爬升,1160.286966961,1175.196009320,-5.452822747,UNCOVERED
43,Q001,爬升,1175.196009320,1190.105051678,-5.453646717,ASSIGNED
44,Q001,巡航,1190.105051678,1209.868538901,-5.278783466,ASSIGNED
45,Q001,巡航,1209.868538901,1229.632026125,-4.917004996,ASSIGNED
46,Q001,巡航,1229.632026125,1249.395513348,-4.539509418,ASSIGNED
47,Q001,巡航,1249.395513348,1269.159000571,-4.144869712,ASSIGNED
48,Q001,巡航,1269.159000571,1288.922487795,-3.731455367,ASSIGNED
49,Q001,巡航,1288.922487795,1308.685975018,-3.297391783,ASSIGNED
50,Q001,巡航,1308.685975018,1328.449462241,-2.840509020,ASSIGNED
51,Q001,巡航,1328.449462241,1348.212949465,-2.358276369,ASSIGNED
52,Q001,巡航,1348.212949465,1367.976436688,-1.847717743,ASSIGNED
53,Q001,巡航,1367.976436688,1387.739923912,-1.305300754,ASSIGNED
54,Q001,巡航,1387.739923912,1407.503411135,-0.726788995,ASSIGNED
55,Q001,巡航,1407.503411135,1427.266898358,-0.107041869,ASSIGNED
202,Q004,巡航,707.343418621,727.106905844,-0.107041869,ASSIGNED
203,Q004,巡航,727.106905844,746.870393067,-0.726788995,ASSIGNED
204,Q004,巡航,746.870393067,766.633880291,-1.305300754,ASSIGNED
205,Q004,巡航,766.633880291,786.397367514,-1.847717743,ASSIGNED
206,Q004,巡航,786.397367514,806.160854737,-2.358276369,ASSIGNED
207,Q004,巡航,806.160854737,825.924341961,-2.840509020,ASSIGNED
208,Q004,巡航,825.924341961,845.687829184,-3.297391783,ASSIGNED
209,Q004,巡航,845.687829184,865.451316407,-3.731455367,ASSIGNED
210,Q004,巡航,865.451316407,885.214803631,-4.144869712,ASSIGNED
211,Q004,巡航,885.214803631,904.978290854,-4.539509418,ASSIGNED
212,Q004,巡航,904.978290854,924.741778078,-4.917004996,ASSIGNED
213,Q004,巡航,924.741778078,944.505265301,-5.278783466,ASSIGNED
214,Q004,下降,944.505265301,962.396116131,-5.453646717,ASSIGNED
215,Q004,下降,962.396116131,980.286966961,-5.452822747,UNCOVERED
216,Q004,投送,980.286966961,1000.286966961,-5.452529325,UNCOVERED
217,Q004,投送,1000.286966961,1020.286966961,-5.452529325,UNCOVERED
218,Q004,投送,1020.286966961,1040.286966961,-5.452529325,UNCOVERED
219,Q004,投送,1040.286966961,1060.286966961,-5.452529325,UNCOVERED
220,Q004,投送,1060.286966961,1080.286966961,-5.452529325,UNCOVERED
221,Q004,投送,1080.286966961,1100.286966961,-5.452529325,UNCOVERED
222,Q004,投送,1100.286966961,1120.286966961,-5.452529325,UNCOVERED
223,Q004,投送,1120.286966961,1140.286966961,-5.452529325,UNCOVERED
224,Q004,投送,1140.286966961,1160.286966961,-5.452529325,UNCOVERED
