货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,Q003,S001,1212.27019594
S001-FOD-02,Q003,S001,1248.27019594
S001-FOD-03,Q002,S001,1176.27019594
S001-HYG-01,Q002,S001,1212.27019594
S001-HYG-02,Q002,S001,1248.27019594
S001-MED-01,Q002,S001,1032.27019594
S001-MED-02,Q003,S001,1032.27019594
S001-WAT-01,Q003,S001,1068.27019594
S001-WAT-02,Q002,S001,1068.27019594
S001-WAT-03,Q002,S001,1104.27019594
S001-WAT-04,Q003,S001,1104.27019594
S001-WAT-05,Q003,S001,1140.27019594
S001-WAT-06,Q003,S001,1176.27019594
S001-WAT-07,Q002,S001,1140.27019594
S001-WAT-08,Q009,S001,878.573905965
S002-FOD-01,Q004,S002,1220.28696696
S002-FOD-02,Q012,S002,1283.80876211
S002-HYG-01,Q018,S002,6939.77422115
S002-MED-01,Q004,S002,1160.28696696
S002-WAT-01,Q004,S002,1190.28696696
S002-WAT-02,Q001,S002,1130.28696696
S002-WAT-03,Q001,S002,1160.28696696
S002-WAT-04,Q012,S002,1253.80876211
S003-FOD-01,Q007,S003,4665.24548999
S003-FOD-02,Q015,S003,5007.42138536
S003-HYG-01,Q007,S003,4701.24548999
S003-MED-01,Q015,S003,4947.42138536
S003-WAT-01,Q015,S003,4977.42138536
S003-WAT-02,Q007,S003,4557.24548999
S003-WAT-03,Q007,S003,4593.24548999
S003-WAT-04,Q007,S003,4629.24548999
S004-FOD-01,Q014,S004,7039.34159545
S004-HYG-01,Q014,S004,7075.34159545
S004-MED-01,Q014,S004,6895.34159545
S004-WAT-01,Q014,S004,6931.34159545
S004-WAT-02,Q014,S004,6967.34159545
S004-WAT-03,Q014,S004,7003.34159545
S005-FOD-01,Q017,S005,7557.38332481
S005-HYG-01,Q017,S005,7593.38332481
S005-MED-01,Q017,S005,7413.38332481
S005-WAT-01,Q017,S005,7449.38332481
S005-WAT-02,Q017,S005,7485.38332481
S005-WAT-03,Q017,S005,7521.38332481
S006-FOD-01,Q005,S006,2733.59515485
S006-HYG-01,Q005,S006,2769.59515485
S006-MED-01,Q005,S006,2589.59515485
S006-WAT-01,Q005,S006,2625.59515485
S006-WAT-02,Q005,S006,2661.59515485
S006-WAT-03,Q005,S006,2697.59515485
S007-FOD-01,Q006,S007,2871.9181158
S007-HYG-01,Q006,S007,2907.9181158
S007-MED-01,Q006,S007,2763.9181158
S007-WAT-01,Q006,S007,2799.9181158
S007-WAT-02,Q006,S007,2835.9181158
S008-FOD-01,Q013,S008,5422.13470342
S008-HYG-01,Q013,S008,5458.13470342
S008-MED-01,Q013,S008,5314.13470342
S008-WAT-01,Q013,S008,5350.13470342
S008-WAT-02,Q013,S008,5386.13470342
S009-FOD-01,Q017,S009,8156.25190605
S009-MED-01,Q017,S009,8120.25190605
S009-WAT-01,Q018,S009,6568.52819761
S010-FOD-01,Q019,S010,1104.96636583
S010-MED-01,Q010,S010,1520.2550397
S010-WAT-01,Q019,S010,1074.96636583
S011-FOD-01,Q013,S011,4591.64795733
S011-MED-01,Q013,S011,4519.64795733
S011-WAT-01,Q013,S011,4555.64795733
S012-FOD-01,Q011,S012,3087.99121191
S012-MED-01,Q011,S012,3057.99121191
S012-WAT-01,Q011,S012,3027.99121191
S013-FOD-01,Q009,S013,1375.59251702
S013-MED-01,Q010,S013,1083.58892417
S013-WAT-01,Q010,S013,1113.58892417
S014-FOD-01,Q008,S014,2999.1266979
S014-MED-01,Q008,S014,2969.1266979
S014-WAT-01,Q008,S014,2939.1266979
S015-FOD-01,Q016,S015,4957.0127819
S015-MED-01,Q016,S015,4897.0127819
S015-WAT-01,Q016,S015,4927.0127819
