运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
Q001,爬升,360.0,420.418084716797,直连,
Q001,巡航,420.418084716797,677.3434186205557,直连,
Q001,巡航,677.3434186205557,914.5052653009484,中继,R001
Q001,下降,914.5052653009484,932.3961161310265,中继,R001
Q001,下降,932.3961161310265,950.2869669611046,未覆盖,
Q001,投送,950.2869669611046,1160.2869669611046,未覆盖,
Q001,爬升,1160.2869669611046,1175.196009319503,未覆盖,
Q001,爬升,1175.196009319503,1190.1050516779014,中继,R001
Q001,巡航,1190.1050516779014,1427.2668983582942,中继,R001
Q001,巡航,1427.2668983582942,1684.1922322620528,直连,
Q001,下降,1684.1922322620528,1756.69393392,直连,
Q002,爬升,510.0,568.1426440429688,直连,
Q002,巡航,568.1426440429688,771.7418908856674,直连,
Q002,下降,771.7418908856674,816.2701959393784,直连,
Q002,投送,816.2701959393784,1248.2701959393785,直连,
Q002,爬升,1248.2701959393785,1283.8928399823471,直连,
Q002,巡航,1283.8928399823471,1487.4920868250458,直连,
Q002,下降,1487.4920868250458,1560.17039188,直连,
Q003,爬升,510.0,568.1426440429688,直连,
Q003,巡航,568.1426440429688,771.7418908856674,直连,
Q003,下降,771.7418908856674,816.2701959393784,直连,
Q003,投送,816.2701959393784,1248.2701959393785,直连,
Q003,爬升,1248.2701959393785,1283.8928399823471,直连,
Q003,巡航,1283.8928399823471,1487.4920868250458,直连,
Q003,下降,1487.4920868250458,1560.17039188,直连,
Q004,爬升,390.0,450.418084716797,直连,
Q004,巡航,450.418084716797,707.3434186205557,直连,
Q004,巡航,707.3434186205557,944.5052653009484,中继,R001
Q004,下降,944.5052653009484,962.3961161310265,中继,R001
Q004,下降,962.3961161310265,980.2869669611046,未覆盖,
Q004,投送,980.2869669611046,1220.2869669611046,未覆盖,
Q004,爬升,1220.2869669611046,1235.196009319503,未覆盖,
Q004,爬升,1235.196009319503,1250.1050516779014,中继,R001
Q004,巡航,1250.1050516779014,1467.503411134928,中继,R001
Q004,巡航,1467.503411134928,1487.2668983582942,中继,R002
Q004,巡航,1487.2668983582942,1744.1922322620528,直连,
Q004,下降,1744.1922322620528,1816.69393392,直连,
Q005,爬升,2040.1703918800001,2135.5295276221877,直连,
Q005,巡航,2135.5295276221877,2347.946235172449,直连,
Q005,下降,2347.946235172449,2373.5951548501835,直连,
Q005,投送,2373.5951548501835,2769.5951548501835,直连,
Q005,爬升,2769.5951548501835,2790.114290592371,直连,
Q005,巡航,2790.114290592371,3002.5309981426326,直连,
Q005,下降,3002.5309981426326,3121.72991782,直连,
Q006,爬升,2010.1703918799997,2163.8796618995307,直连,
Q006,巡航,2163.8796618995307,2428.3937949769365,直连,
Q006,巡航,2428.3937949769365,2466.181528273709,中继,R002
Q006,下降,2466.181528273709,2498.8761632834744,中继,R002
Q006,下降,2498.8761632834744,2547.918115798123,中继,R003
Q006,投送,2547.918115798123,2907.918115798123,中继,R003
Q006,爬升,2907.918115798123,2940.6127508078885,中继,R003
Q006,爬升,2940.6127508078885,2973.307385817654,中继,R002
Q006,巡航,2973.307385817654,3011.0951191144263,中继,R002
Q006,巡航,3011.0951191144263,3275.6092521918317,直连,
Q006,下降,3275.6092521918317,3467.74583972,直连,
Q007,爬升,3571.72991782,3745.3715730934377,直连,
Q007,巡航,3745.3715730934377,4016.5358078633435,直连,
Q007,巡航,4016.5358078633435,4152.117925248296,中继,R002
Q007,巡航,4152.117925248296,4229.593420896841,中继,R004
Q007,下降,4229.593420896841,4341.245489988638,中继,R004
Q007,投送,4341.245489988638,4701.245489988638,中继,R004
Q007,爬升,4701.245489988638,4790.567145262075,中继,R004
Q007,巡航,4790.567145262075,4868.04264091062,中继,R004
Q007,巡航,4868.04264091062,5003.624758295573,中继,R002
Q007,巡航,5003.624758295573,5274.788993065479,直连,
Q007,下降,5274.788993065479,5491.84106216,直连,
Q008,爬升,2146.69393392,2301.4430631517707,直连,
Q008,巡航,2301.4430631517707,2567.6675639585064,直连,
Q008,巡航,2567.6675639585064,2586.683599730416,未覆盖,
Q008,巡航,2586.683599730416,2643.731707046145,中继,R002
Q008,巡航,2643.731707046145,2662.7477428180546,未覆盖,
Q008,下降,2662.7477428180546,2759.12669789618,未覆盖,
Q008,投送,2759.12669789618,2999.12669789618,未覆盖,
Q008,爬升,2999.1266978961794,3079.442493794617,未覆盖,
Q008,巡航,3079.442493794617,3098.4585295665265,未覆盖,
Q008,巡航,3098.4585295665265,3155.5066368822554,中继,R002
Q008,巡航,3155.5066368822554,3174.5226726541655,未覆盖,
Q008,巡航,3174.5226726541655,3440.7471734609007,直连,
Q008,下降,3440.7471734609007,3626.44612854,直连,
Q009,爬升,359.99999999999994,408.4522033691406,直连,
Q009,巡航,408.4522033691406,662.9512619225139,直连,
Q009,下降,662.9512619225139,698.5739059654827,直连,
Q009,投送,698.5739059654827,878.5739059654827,直连,
Q009,爬升,878.5739059654827,943.3608424075401,直连,
Q009,巡航,943.3608424075401,1092.017673720138,直连,
Q009,巡航,1092.017673720138,1184.9281932905117,中继,R001
Q009,下降,1184.9281932905117,1195.5925170209805,中继,R001
Q009,投送,1195.5925170209805,1375.5925170209805,中继,R001
Q009,爬升,1375.5925170209803,1391.4197915978032,中继,R001
Q009,巡航,1391.4197915978032,1468.3916493940173,中继,R001
Q009,巡航,1468.3916493940173,1795.5220450279273,直连,
Q009,下降,1795.5220450279273,1904.11477452,直连,
Q010,爬升,390.0,480.49394124348964,直连,
Q010,巡航,480.49394124348964,807.6243368773996,直连,
Q010,巡航,807.6243368773996,884.5961946736138,中继,R001
Q010,下降,884.5961946736138,903.5889241658014,中继,R001
Q010,投送,903.5889241658014,1113.5889241658015,中继,R001
Q010,爬升,1113.5889241658015,1164.3790486775201,中继,R001
Q010,巡航,1164.3790486775201,1279.2668902900443,中继,R001
Q010,下降,1279.2668902900443,1309.7609649970755,中继,R001
Q010,下降,1309.7609649970755,1325.0080023505911,中继,R002
Q010,下降,1325.0080023505911,1340.2550397041068,未覆盖,
Q010,投送,1340.2550397041068,1520.2550397041068,未覆盖,
Q010,爬升,1520.255039704107,1534.2611289781955,未覆盖,
Q010,爬升,1534.2611289781955,1548.267218252284,中继,R002
Q010,巡航,1548.267218252284,1628.0084661899366,中继,R002
Q010,巡航,1628.0084661899366,1946.9734579405474,直连,
Q010,下降,1946.9734579405474,2070.1480722,直连,
Q011,爬升,2206.6939339200003,2301.8942655443493,直连,
Q011,巡航,2301.8942655443493,2558.0964707182234,直连,
Q011,巡航,2558.0964707182234,2735.46722814629,中继,R002
Q011,巡航,2735.46722814629,2755.175090082742,未覆盖,
Q011,巡航,2755.175090082742,2774.8829520191935,中继,R002
Q011,巡航,2774.8829520191935,2794.5908139556454,未覆盖,
Q011,下降,2794.5908139556454,2847.991211904864,未覆盖,
Q011,投送,2847.991211904864,3087.991211904864,未覆盖,
Q011,爬升,3087.991211904864,3132.4915435292132,未覆盖,
Q011,巡航,3132.4915435292132,3152.199405465665,未覆盖,
Q011,巡航,3152.199405465665,3171.9072674021168,中继,R002
Q011,巡航,3171.9072674021168,3191.6151293385687,未覆盖,
Q011,巡航,3191.6151293385687,3368.9858867666353,中继,R002
Q011,巡航,3368.9858867666353,3625.1880919405094,直连,
Q011,下降,3625.1880919405094,3739.42848989,直连,
Q012,爬升,360.0,420.418084716797,直连,
Q012,巡航,420.418084716797,759.1068778591588,直连,
Q012,巡航,759.1068778591588,1038.027060446986,中继,R001
Q012,下降,1038.027060446986,1055.9179112770644,中继,R001
Q012,下降,1055.9179112770644,1073.8087621071425,未覆盖,
Q012,投送,1073.8087621071425,1283.8087621071425,未覆盖,
Q012,爬升,1283.8087621071422,1298.7178044655407,未覆盖,
Q012,爬升,1298.7178044655407,1313.626846823939,中继,R001
Q012,巡航,1313.626846823939,1473.0098083026976,中继,R001
Q012,巡航,1473.0098083026976,1592.5470294117665,中继,R002
Q012,巡航,1592.5470294117665,1931.2358225541284,直连,
Q012,下降,1931.2358225541284,2003.73752421,直连,
Q013,爬升,4007.7458397200003,4074.8105418684377,直连,
Q013,巡航,4074.8105418684377,4262.017079652201,直连,
Q013,下降,4262.017079652201,4303.647957337747,直连,
Q013,投送,4303.647957337747,4591.647957337747,直连,
Q013,爬升,4591.647957337747,4671.974558900248,直连,
Q013,巡航,4671.974558900248,4869.281165883912,直连,
Q013,巡航,4869.281165883912,5027.126451470844,中继,R002
Q013,下降,5027.126451470844,5062.630577447406,中继,R002
Q013,下降,5062.630577447406,5098.134703423968,未覆盖,
Q013,投送,5098.134703423968,5458.134703423968,未覆盖,
Q013,爬升,5458.134703423968,5485.337192030739,未覆盖,
Q013,爬升,5485.337192030739,5498.938436334124,中继,R002
Q013,巡航,5498.938436334124,5738.319611111223,中继,R002
Q013,巡航,5738.319611111223,6037.546079582597,直连,
Q013,下降,6037.546079582597,6160.15074572,直连,
Q014,爬升,5971.84106216,6080.056728663906,直连,
Q014,巡航,6080.056728663906,6455.902512879025,直连,
Q014,巡航,6455.902512879025,6554.809298198793,中继,R002
Q014,巡航,6554.809298198793,6594.3720123267,中继,R005
Q014,下降,6594.3720123267,6662.347678830606,中继,R005
Q014,下降,6662.347678830606,6679.341595456583,未覆盖,
Q014,投送,6679.341595456583,7075.341595456583,未覆盖,
Q014,爬升,7075.3415954565835,7092.33551208256,未覆盖,
Q014,爬升,7092.33551208256,7143.31726196049,中继,R005
Q014,巡航,7143.31726196049,7182.879976088398,中继,R005
Q014,巡航,7182.879976088398,7281.786761408165,中继,R002
Q014,巡航,7281.786761408165,7657.632545623284,直连,
Q014,下降,7657.632545623284,7792.90212875,直连,
Q015,爬升,4049.1765028799996,4193.877882274531,直连,
Q015,巡航,4193.877882274531,4465.042117044437,直连,
Q015,巡航,4465.042117044437,4600.62423442939,中继,R002
Q015,巡航,4600.62423442939,4678.0997300779345,中继,R004
Q015,下降,4678.0997300779345,4767.421385351372,中继,R004
Q015,投送,4767.421385351372,5007.421385351372,中继,R004
Q015,爬升,5007.421385351372,5081.856098079236,中继,R004
Q015,巡航,5081.856098079236,5159.331593727781,未覆盖,
Q015,巡航,5159.331593727781,5294.913711112734,中继,R002
Q015,巡航,5294.913711112734,5566.07794588264,直连,
Q015,下降,5566.07794588264,5739.71960116,直连,
Q016,爬升,4129.4284898900005,4277.461575013698,直连,
Q016,巡航,4277.461575013698,4544.549244839264,直连,
Q016,巡航,4544.549244839264,4601.782316944743,中继,R002
Q016,巡航,4601.782316944743,4678.093079752048,中继,R004
