中继架次编号,中继无人机编号,能源组件编号,开始时刻（s）,悬停经度（°）,悬停纬度（°）,悬停海拔（m）,建链完成时刻（s）,服务结束时刻（s）,返回O01时刻（s）,架次能耗（kWh）
R001,R02,R-E02,55.57767553244639,109.252844703,23.053399188,274.812301636,677.0,1428.0,1851.6816829371987,0.487486046
R002,R01,R-E01,55.595297663819565,109.267596021,23.044531046,370.028778076,695.0,1493.0,1942.5987671758614,0.509156142
R003,R02,R-E03,2152.1237746778424,109.272819620,23.017496560,589.644866943,2772.0,3470.0,3918.371630900771,0.451598745
R004,R01,R-E04,2243.1647913304323,109.184788249,23.034571809,474.409484863,2918.0,5235.0,5728.727665741508,0.986487713
R005,R02,R-E05,4219.371599213122,109.209176993,23.034849842,392.030273438,4741.0,5370.0,5703.655923573337,0.381375549
R006,R02,R-E06,6004.601231418265,109.233389456,23.048667746,274.280181885,6557.0,7521.0,7875.613783738798,0.509171564
R007,R01,R-E02,6029.790404552854,109.223395736,23.066616453,476.459930420,6759.0,7442.0,7990.27292298214,0.524882096
R008,R02,R-E01,8176.164791330431,109.184788249,23.034571809,474.409484863,8851.0,9914.0,10407.727665741508,0.603321046
R009,R01,R-E03,8550.350839677098,109.238267812,23.048722186,289.052551270,9105.0,16773.0,17131.09520626203,2.559888987
R010,R02,R-E05,10708.790404552854,109.223395736,23.066616453,476.459930420,11438.0,16635.0,17183.272922982138,1.904159874
R011,R01,R-E04,17432.59529766382,109.267596021,23.044531046,370.028778076,18072.0,18824.0,19273.598767175863,0.495100587
R012,R02,R-E06,17484.123774677842,109.272819620,23.017496560,589.644866943,18104.0,21600.0,22048.371630900772,1.306543190
R013,R01,R-E02,19574.577675532448,109.252844703,23.053399188,274.812301636,20196.0,21600.0,22023.6816829372,0.687013824
