slice_id,sortie_id,stage,start_s,end_s,direct_margin_db,midpoint_status
17,T001,巡航,677.343418621,697.106905844,-0.107041869,ASSIGNED
18,T001,巡航,697.106905844,716.870393067,-0.422433362,ASSIGNED
19,T001,巡航,716.870393067,736.633880291,-1.020854021,ASSIGNED
20,T001,巡航,736.633880291,756.397367514,-1.580737777,ASSIGNED
21,T001,巡航,756.397367514,776.160854737,-2.106744019,ASSIGNED
22,T001,巡航,776.160854737,795.924341961,-2.602735847,ASSIGNED
23,T001,巡航,795.924341961,815.687829184,-3.071951629,ASSIGNED
24,T001,巡航,815.687829184,835.451316407,-3.517132742,ASSIGNED
25,T001,巡航,835.451316407,855.214803631,-3.940620270,ASSIGNED
26,T001,巡航,855.214803631,874.978290854,-4.344429288,ASSIGNED
27,T001,巡航,874.978290854,894.741778078,-4.730306680,ASSIGNED
28,T001,巡航,894.741778078,914.505265301,-5.099776694,ASSIGNED
29,T001,下降,914.505265301,932.396116131,-5.454177219,ASSIGNED
30,T001,下降,932.396116131,950.286966961,-5.453195218,ASSIGNED
31,T001,投送,950.286966961,969.377876052,-5.452529325,ASSIGNED
32,T001,投送,969.377876052,988.468785143,-5.452529325,ASSIGNED
33,T001,投送,988.468785143,1007.559694234,-5.452529325,ASSIGNED
34,T001,投送,1007.559694234,1026.650603325,-5.452529325,ASSIGNED
35,T001,投送,1026.650603325,1045.741512416,-5.452529325,ASSIGNED
36,T001,投送,1045.741512416,1064.832421507,-5.452529325,ASSIGNED
37,T001,投送,1064.832421507,1083.923330597,-5.452529325,ASSIGNED
38,T001,投送,1083.923330597,1103.014239688,-5.452529325,ASSIGNED
39,T001,投送,1103.014239688,1122.105148779,-5.452529325,ASSIGNED
40,T001,投送,1122.105148779,1141.196057870,-5.452529325,ASSIGNED
41,T001,投送,1141.196057870,1160.286966961,-5.452529325,ASSIGNED
42,T001,爬升,1160.286966961,1175.196009320,-5.452529325,ASSIGNED
43,T001,爬升,1175.196009320,1190.105051678,-5.453195218,ASSIGNED
44,T001,巡航,1190.105051678,1209.868538901,-5.454177219,ASSIGNED
45,T001,巡航,1209.868538901,1229.632026125,-5.099776694,ASSIGNED
46,T001,巡航,1229.632026125,1249.395513348,-4.730306680,ASSIGNED
47,T001,巡航,1249.395513348,1269.159000571,-4.344429288,ASSIGNED
48,T001,巡航,1269.159000571,1288.922487795,-3.940620270,ASSIGNED
49,T001,巡航,1288.922487795,1308.685975018,-3.517132742,ASSIGNED
50,T001,巡航,1308.685975018,1328.449462241,-3.071951629,ASSIGNED
51,T001,巡航,1328.449462241,1348.212949465,-2.602735847,ASSIGNED
52,T001,巡航,1348.212949465,1367.976436688,-2.106744019,ASSIGNED
53,T001,巡航,1367.976436688,1387.739923912,-1.580737777,ASSIGNED
54,T001,巡航,1387.739923912,1407.503411135,-1.020854021,ASSIGNED
55,T001,巡航,1407.503411135,1427.266898358,-0.422433362,ASSIGNED
92,T002,巡航,732.129016316,751.938560829,-0.189946471,ASSIGNED
93,T002,巡航,751.938560829,771.748105341,-0.189946471,ASSIGNED
94,T002,巡航,771.748105341,791.557649854,-0.685810481,ASSIGNED
95,T002,巡航,791.557649854,811.367194366,-1.154918064,ASSIGNED
96,T002,巡航,811.367194366,831.176738878,-1.600006781,ASSIGNED
97,T002,巡航,831.176738878,850.986283391,-2.023414782,ASSIGNED
98,T002,巡航,850.986283391,870.795827903,-2.427154859,ASSIGNED
99,T002,巡航,870.795827903,890.605372416,-2.812972098,ASSIGNED
100,T002,下降,890.605372416,903.251154886,-3.182389315,ASSIGNED
101,T002,下降,903.251154886,915.896937357,-3.181295482,ASSIGNED
102,T002,投送,915.896937357,934.987846448,-3.180468044,ASSIGNED
103,T002,投送,934.987846448,954.078755539,-3.180468044,ASSIGNED
104,T002,投送,954.078755539,973.169664630,-3.180468044,ASSIGNED
105,T002,投送,973.169664630,992.260573721,-3.180468044,ASSIGNED
106,T002,投送,992.260573721,1011.351482811,-3.180468044,ASSIGNED
107,T002,投送,1011.351482811,1030.442391902,-3.180468044,ASSIGNED
108,T002,投送,1030.442391902,1049.533300993,-3.180468044,ASSIGNED
109,T002,投送,1049.533300993,1068.624210084,-3.180468044,ASSIGNED
110,T002,投送,1068.624210084,1087.715119175,-3.180468044,ASSIGNED
111,T002,投送,1087.715119175,1106.806028266,-3.180468044,ASSIGNED
112,T002,投送,1106.806028266,1125.896937357,-3.180468044,ASSIGNED
113,T002,爬升,1125.896937357,1136.435089416,-3.180468044,ASSIGNED
114,T002,爬升,1136.435089416,1146.973241475,-3.181295482,ASSIGNED
115,T002,巡航,1146.973241475,1166.782785987,-3.182389315,ASSIGNED
116,T002,巡航,1166.782785987,1186.592330500,-2.812972098,ASSIGNED
117,T002,巡航,1186.592330500,1206.401875012,-2.427154859,ASSIGNED
118,T002,巡航,1206.401875012,1226.211419524,-2.023414782,ASSIGNED
119,T002,巡航,1226.211419524,1246.020964037,-1.600006781,ASSIGNED
120,T002,巡航,1246.020964037,1265.830508549,-1.154918064,ASSIGNED
121,T002,巡航,1265.830508549,1285.640053062,-0.685810481,ASSIGNED
122,T002,巡航,1285.640053062,1305.449597574,-0.189946471,ASSIGNED
207,T004,巡航,711.402536798,731.110398735,-0.094709127,ASSIGNED
208,T004,巡航,731.110398735,750.818260671,-0.409250750,ASSIGNED
209,T004,巡航,750.818260671,770.526122608,-1.006218691,ASSIGNED
210,T004,巡航,770.526122608,790.233984544,-1.564912721,ASSIGNED
211,T004,巡航,790.233984544,809.941846480,-2.089932413,ASSIGNED
212,T004,巡航,809.941846480,829.649708417,-2.585097130,ASSIGNED
213,T004,巡航,829.649708417,849.357570353,-3.053612662,ASSIGNED
214,T004,巡航,849.357570353,869.065432290,-3.498195720,ASSIGNED
215,T004,巡航,869.065432290,888.773294226,-3.921168435,ASSIGNED
216,T004,巡航,888.773294226,908.481156163,-4.324531127,ASSIGNED
217,T004,巡航,908.481156163,928.189018099,-4.710019053,ASSIGNED
218,T004,巡航,928.189018099,947.896880036,-5.079147201,ASSIGNED
219,T004,下降,947.896880036,965.697012685,-5.433246009,ASSIGNED
220,T004,下降,965.697012685,983.497145335,-5.431525748,ASSIGNED
221,T004,下降,983.497145335,1001.297277985,-5.430119556,ASSIGNED
222,T004,投送,1001.297277985,1020.388187076,-5.429027740,ASSIGNED
223,T004,投送,1020.388187076,1039.479096167,-5.429027740,ASSIGNED
224,T004,投送,1039.479096167,1058.570005258,-5.429027740,ASSIGNED
225,T004,投送,1058.570005258,1077.660914349,-5.429027740,ASSIGNED
226,T004,投送,1077.660914349,1096.751823439,-5.429027740,ASSIGNED
227,T004,投送,1096.751823439,1115.842732530,-5.429027740,ASSIGNED
228,T004,投送,1115.842732530,1134.933641621,-5.429027740,ASSIGNED
229,T004,投送,1134.933641621,1154.024550712,-5.429027740,ASSIGNED
230,T004,投送,1154.024550712,1173.115459803,-5.429027740,ASSIGNED
231,T004,投送,1173.115459803,1192.206368894,-5.429027740,ASSIGNED
232,T004,投送,1192.206368894,1211.297277985,-5.429027740,ASSIGNED
233,T004,爬升,1211.297277985,1226.130721860,-5.429027740,ASSIGNED
