batch_id,type_id,uav_id,battery_id,visit_order,box_ids,start_s,launch_s,return_s,charge_start_s,charge_end_s,charge_s,mass_kg,volume_m3,energy_kwh,return_soc
T001,B,U05,B-B01,S002,S002-MED-01;S002-WAT-01,0.0,360.0,1756.693933922209,1756.693933922209,3477.5022779255505,1720.8083440033415,17.0,0.039,2.432634640007711,0.39184133999807225
T002,A,U01,A-B01,S009,S009-MED-01;S009-WAT-01,0.0,360.0,1688.6138747138468,1688.6138747138468,2840.00758340019,1151.3937086863434,17.0,0.039,2.2548243762219577,0.49892791639512046
T003,A,U02,A-B02,S011,S011-MED-01;S011-WAT-01,0.0,360.0,1222.0269190036777,1222.0269190036777,2054.834608045965,832.8076890422875,17.0,0.039,1.1520266159156107,0.7439940853520866
T004,B,U06,B-B02,S012,S012-WAT-01;S012-MED-01,0.0,360.0,1862.7345559697276,1862.7345559697276,3599.3998749142474,1736.66531894452,17.0,0.039,2.4692276591027387,0.38269308522431533
T005,C,U08,C-B04,S006,S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,0.0,420.0,1429.5595259403667,1429.5595259403667,2893.3507631183325,1463.7912371779657,42.0,0.117,2.327844568041719,0.7090194289947851
T006,A,U04,A-B06,S011,S011-FOD-01,0.0,330.0,1162.0269190036777,1162.0269190036777,1980.2253063517855,818.1983873481079,8.0,0.028,1.101455956204989,0.7552320097322247
T007,A,U03,A-B03,S006,S006-MED-01;S006-WAT-01,1.0,361.0,1314.4852665970077,1314.4852665970077,2193.3868913392653,878.9016247422575,17.0,0.039,1.311582547184737,0.708537211736725
T008,C,U07,C-B03,S001,S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-FOD-01,12.0,492.0,1506.1703918787568,1506.1703918787568,3150.860428078608,1644.6900361998512,78.0,0.163,2.99577859519945,0.6255276756000687
T009,B,U05,B-B03,S001,S001-MED-01;S001-MED-02;S001-WAT-01,1757.0,2147.0,2966.1015218429493,2966.1015218429493,4098.161349474907,1132.0598276319574,20.0,0.051000000000000004,1.0739842176122094,0.7315039455969476
T010,C,U07,C-B01,S014,S014-WAT-01;S014-MED-01,1980.0,2340.0,3949.2846571841305,3949.2846571841305,5769.644702372727,1820.360045188596,17.0,0.039,3.644406320696355,0.5444492099129556
T011,A,U04,A-B04,S013,S013-MED-01;S013-WAT-01,1995.0,2355.0,3607.1111816649363,3607.1111816649363,4672.740344829662,1065.6291631647257,17.0,0.039,1.9579471032625122,0.5649006437194417
T012,C,U08,C-B02,S010,S010-MED-01;S010-WAT-01,2030.0,2390.0,3632.7057476613772,3632.7057476613772,5319.103564368674,1686.3978167072964,17.0,0.039,3.1497765539961717,0.6062779307504785
T013,A,U02,A-B05,S003,S003-MED-01;S003-WAT-01,2101.0,2461.0,4363.65402217778,4363.65402217778,5725.13203546618,1361.4780132884005,17.0,0.039,2.98203927676754,0.33732460516276896
T014,B,U06,B-B04,S007,S007-MED-01;S007-WAT-01,2185.0,2545.0,3761.284389486637,3761.284389486637,5121.272823181212,1359.9884336945745,17.0,0.039,1.599973308525941,0.6000066728685147
T015,A,U03,A-B06,S015,S015-MED-01;S015-WAT-01,3906.0,4266.0,5874.604336390146,5874.604336390146,7088.752570063987,1214.1482336738407,17.0,0.039,2.472051578101756,0.4506552048662765
