架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U05,B,B-B01,0.0,S002,1756.693933922209,2.432634640007711
T002,U01,A,A-B01,0.0,S009,1688.6138747138468,2.2548243762219577
T003,U02,A,A-B02,0.0,S011,1222.0269190036777,1.1520266159156107
T004,U06,B,B-B02,0.0,S012,1862.7345559697276,2.4692276591027387
T005,U08,C,C-B04,0.0,S006,1429.5595259403667,2.327844568041719
T006,U04,A,A-B06,0.0,S011,1162.0269190036777,1.101455956204989
T007,U03,A,A-B03,1.0,S006,1314.4852665970077,1.311582547184737
T008,U07,C,C-B03,12.0,S001,1506.1703918787568,2.99577859519945
T009,U05,B,B-B03,1757.0,S001,2966.1015218429493,1.0739842176122094
T010,U07,C,C-B01,1980.0,S014,3949.2846571841305,3.644406320696355
T011,U04,A,A-B04,1995.0,S013,3607.1111816649363,1.9579471032625122
T012,U08,C,C-B02,2030.0,S010,3632.7057476613772,3.1497765539961717
T013,U02,A,A-B05,2101.0,S003,4363.65402217778,2.98203927676754
T014,U06,B,B-B04,2185.0,S007,3761.284389486637,1.599973308525941
T015,U03,A,A-B06,3906.0,S015,5874.604336390146,2.472051578101756
T016,U06,B,B-B02,4066.0,S015,5774.288584020971,1.9174697354595034
T017,U08,C,C-B03,5864.0,S005,7477.195158195356,3.44022050332549
T018,U07,C,C-B04,5876.0,S004,7913.061066593167,5.013641240219441
T019,U05,B,B-B01,5939.0,S008,7840.842307167517,2.66771616652025
T020,U08,C,C-B02,7946.0,S003,10382.111144337276,6.149598035840621
T021,U07,C,C-B01,8062.0,S007,9837.575447836247,3.1511922109758563
T022,U06,B,B-B02,8473.0,S009,9911.442247394774,1.7424471531492611
T023,U07,C,C-B03,9838.0,S005,11583.195158195356,3.787086854217603
T024,U08,C,C-B04,10631.0,S008,12698.712084592647,5.401550250478788
T025,U07,C,C-B04,14996.0,S004,17165.061066593167,5.518523767759751
T026,U06,B,B-B04,17391.0,S012,19193.734555969728,2.2895226521561307
T027,U05,B,B-B02,17437.0,S013,18827.470280292888,1.515628496224302
T028,U06,B,B-B03,19194.0,S010,20629.376902446533,1.515612306671029
T029,U08,C,C-B02,19839.0,S002,21946.812018639008,6.105653653740411
T030,U04,A,A-B06,20169.0,S014,22099.40453445217,2.188573652507245
T031,U07,C,C-B04,21600.0,S001,23094.170391878757,2.405033632503433
