mission_id,uav_id,energy_unit_id,start_s,link_ready_s,service_end_s,return_s,uav_next_ready_s,unit_next_ready_s,return_soc
R001,R01,R-E01,67.577675532,689.000000000,1497.000000000,1920.681682937,2220.681682937,2625.798409849,0.842217902
R002,R02,R-E02,103.595297664,743.000000000,1617.000000000,2066.598767176,2366.598767176,2782.877477791,0.833631761
R003,R01,R-E03,2221.123774678,2841.000000000,3539.000000000,3987.371630901,4287.371630901,4670.833621131,0.858875392
R004,R02,R-E04,2521.164791330,3196.000000000,5285.000000000,5778.727665742,6078.727665742,6651.186215844,0.713493423
R005,R01,R-E05,4288.689497747,4736.000000000,5323.000000000,5577.435783015,5877.435783015,6208.177548198,0.899429411
R006,R02,R-E01,6079.817867659,6557.000000000,11748.000000000,12027.395564399,12327.395564399,13240.619039634,0.451366558
R007,R01,R-E06,5887.790404553,6617.000000000,11688.000000000,12236.272922982,12536.272922982,13494.197246778,0.416981289
R008,R02,R-E02,12328.577675532,12950.000000000,13902.000000000,14325.681682937,14625.681682937,15048.673409849,0.828467902
R009,R01,R-E03,14000.164791330,14675.000000000,15765.000000000,16258.727665742,16558.727665742,17007.178403344,0.808884048
R010,R02,R-E05,16418.958657309,16888.000000000,17300.000000000,17577.418338795,17877.418338795,18136.782310970,0.911212068
