架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U01,A,A-B01,0.0,S001,1310.9011452642987,1.2643495220862535
T002,U07,C,C-B01,0.0,S002,1843.812018639006,4.77106407017825
T003,U02,A,A-B02,0.0,S012,2049.082830175376,2.8302120756865836
T004,U05,B,B-B01,32.0,S012,1894.7345559697276,2.4692276591027387
T005,U08,C,C-B02,52.0,S009,1630.5685515126138,3.6797779271386393
T006,U06,B,B-B02,57.0,S009,1495.4422473947752,1.7424471531492611
T007,U06,B,B-B03,1496.0,S006,2703.276912821877,1.098793313279065
T008,U03,A,A-B03,2043.0,S014,3973.4045344521683,2.188573652507245
T009,U08,C,C-B03,2049.0,S014,4018.2846571841305,3.644406320696355
T010,U04,A,A-B04,2060.0,S010,3714.859398321839,1.9548520133232312
T011,U01,A,A-B05,2090.0,S010,3684.859398321839,1.867930402991953
T012,U07,C,C-B04,2126.0,S013,3671.6308882030426,3.1690731631715807
T013,U02,A,A-B06,2379.0,S003,4641.65402217778,2.98203927676754
T014,U05,B,B-B04,2463.0,S007,4039.284389486637,1.599973308525941
T015,U07,C,C-B02,3672.0,S001,5166.170391878757,2.99577859519945
T016,U06,B,B-B02,3980.0,S015,5748.288584020971,2.07081181944217
T017,U08,C,C-B01,4019.0,S001,5513.170391878757,2.405033632503433
T018,U05,B,B-B01,4040.0,S015,5748.288584020971,1.9174697354595034
T019,U07,C,C-B04,5832.0,S004,7869.061066593167,5.013641240219441
T020,U08,C,C-B03,5840.0,S008,7841.712084592647,5.217819797239251
T021,U08,C,C-B02,7842.0,S004,10011.061066593167,5.518523767759751
T022,U07,C,C-B01,7870.0,S011,9082.244235235494,1.8533423492615424
T023,U05,B,B-B03,8467.0,S005,9983.174861971398,1.7715176179627403
T024,U07,C,C-B04,10062.0,S008,12129.712084592647,5.401550250478788
T025,U08,C,C-B03,10089.0,S005,11834.195158195356,3.787086854217603
T026,U08,C,C-B01,12141.0,S002,14248.812018639006,6.105653653740411
T027,U07,C,C-B02,12340.0,S006,13769.559525940367,2.327844568041719
T028,U07,C,C-B03,13770.0,S003,16206.111144337276,6.149598035840621
T029,U08,C,C-B04,14427.0,S007,16202.575447836247,3.1511922109758563
T030,U08,C,C-B02,16203.0,S013,17682.630888203043,3.1025886291001767
T031,U07,C,C-B01,16736.0,S011,17882.244235235496,1.8144863713949984
