货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,T015,S001,4854.270195939378
S001-FOD-02,T017,S001,5093.270195939378
S001-FOD-03,T017,S001,5129.270195939378
S001-HYG-01,T017,S001,5165.270195939378
S001-HYG-02,T017,S001,5201.270195939378
S001-MED-01,T001,S001,908.5739059654827
S001-MED-02,T001,S001,938.5739059654827
S001-WAT-01,T001,S001,968.5739059654827
S001-WAT-02,T015,S001,4674.270195939378
S001-WAT-03,T015,S001,4710.270195939378
S001-WAT-04,T015,S001,4746.270195939378
S001-WAT-05,T015,S001,4782.270195939378
S001-WAT-06,T015,S001,4818.270195939378
S001-WAT-07,T017,S001,5021.270195939378
S001-WAT-08,T017,S001,5057.270195939378
S002-FOD-01,T026,S002,13556.316009319504
S002-FOD-02,T026,S002,13592.316009319504
S002-HYG-01,T026,S002,13628.316009319504
S002-MED-01,T002,S002,1187.3160093195029
S002-WAT-01,T002,S002,1223.3160093195029
S002-WAT-02,T026,S002,13448.316009319504
S002-WAT-03,T026,S002,13484.316009319504
S002-WAT-04,T026,S002,13520.316009319504
S003-FOD-01,T028,S003,15343.515572168639
S003-FOD-02,T028,S003,15379.515572168639
S003-HYG-01,T028,S003,15415.515572168639
S003-MED-01,T013,S003,3758.300344422223
S003-WAT-01,T013,S003,3788.300344422223
S003-WAT-02,T028,S003,15235.515572168639
S003-WAT-03,T028,S003,15271.515572168639
S003-WAT-04,T028,S003,15307.515572168639
S004-FOD-01,T021,S004,9257.500533296583
S004-HYG-01,T021,S004,9293.500533296583
S004-MED-01,T019,S004,7115.500533296583
S004-WAT-01,T019,S004,7151.500533296583
S004-WAT-02,T021,S004,9185.500533296583
S004-WAT-03,T021,S004,9221.500533296583
S005-FOD-01,T025,S005,11294.232579097677
S005-HYG-01,T025,S005,11330.232579097677
S005-MED-01,T023,S005,9477.844097652365
S005-WAT-01,T023,S005,9507.844097652365
S005-WAT-02,T025,S005,11222.232579097677
S005-WAT-03,T025,S005,11258.232579097677
S006-FOD-01,T027,S006,13381.424762970184
S006-HYG-01,T027,S006,13417.424762970184
S006-MED-01,T007,S006,2348.401789744272
S006-WAT-01,T007,S006,2378.401789744272
S006-WAT-02,T027,S006,13309.424762970184
S006-WAT-03,T027,S006,13345.424762970184
S007-FOD-01,T029,S007,15606.747723918123
S007-HYG-01,T029,S007,15642.747723918123
S007-MED-01,T014,S007,3498.7821947433185
S007-WAT-01,T014,S007,3528.7821947433185
S007-WAT-02,T029,S007,15570.747723918123
S008-FOD-01,T024,S008,11391.696042296324
S008-HYG-01,T024,S008,11427.696042296324
S008-MED-01,T020,S008,7103.696042296324
S008-WAT-01,T020,S008,7139.696042296324
S008-WAT-02,T024,S008,11355.696042296324
S009-FOD-01,T006,S009,1027.8111236973878
S009-MED-01,T005,S009,1106.169275756307
S009-WAT-01,T005,S009,1142.169275756307
S010-FOD-01,T011,S010,3134.9663658275863
S010-MED-01,T010,S010,3134.9663658275863
S010-WAT-01,T010,S010,3164.9663658275863
S011-FOD-01,T031,S011,17577.90211761775
S011-MED-01,T022,S011,8741.902117617747
S011-WAT-01,T022,S011,8777.902117617747
S012-FOD-01,T003,S012,1274.471415087688
S012-MED-01,T004,S012,1243.2972779848637
S012-WAT-01,T004,S012,1213.2972779848637
S013-FOD-01,T030,S013,17204.61544410152
S013-MED-01,T012,S013,3157.6154441015215
S013-WAT-01,T012,S013,3193.6154441015215
S014-FOD-01,T008,S014,3255.758933892751
S014-MED-01,T009,S014,3328.4773285920655
S014-WAT-01,T009,S014,3292.4773285920655
S015-FOD-01,T018,S015,5137.584292010486
S015-MED-01,T016,S015,5107.584292010486
S015-WAT-01,T016,S015,5137.584292010486
