box_id,batch_id,zone_id,sequence,complete_s,hard_deadline_s,expected_s,priority,hard_slack_s,soft_lateness_s
S001-MED-01,T001,S001,1,908.5739059654827,3600.0,3600.0,24.0,2691.4260940345175,0.0
S001-MED-02,T001,S001,2,938.5739059654827,3600.0,3600.0,24.0,2661.4260940345175,0.0
S001-WAT-01,T001,S001,3,968.5739059654827,3600.0,3600.0,12.0,2631.4260940345175,0.0
S002-MED-01,T002,S002,1,1187.3160093195029,3600.0,3600.0,24.0,2412.683990680497,0.0
S002-WAT-01,T002,S002,2,1223.3160093195029,3600.0,3600.0,12.0,2376.683990680497,0.0
S012-FOD-01,T003,S012,1,1274.471415087688,,7200.0,10.0,,0.0
S012-WAT-01,T004,S012,1,1213.2972779848637,3600.0,3600.0,12.0,2386.7027220151363,0.0
S012-MED-01,T004,S012,2,1243.2972779848637,3600.0,7200.0,22.0,2356.7027220151363,0.0
S009-MED-01,T005,S009,1,1106.169275756307,10800.0,10800.0,16.0,9693.830724243693,0.0
S009-WAT-01,T005,S009,2,1142.169275756307,10800.0,10800.0,8.0,9657.830724243693,0.0
S009-FOD-01,T006,S009,1,1027.8111236973878,,14400.0,6.0,,0.0
S006-MED-01,T007,S006,1,2348.401789744272,3600.0,3600.0,24.0,1251.5982102557282,0.0
S006-WAT-01,T007,S006,2,2378.401789744272,3600.0,3600.0,12.0,1221.5982102557282,0.0
S014-FOD-01,T008,S014,1,3255.758933892751,,7200.0,10.0,,0.0
S014-WAT-01,T009,S014,1,3292.4773285920655,3600.0,3600.0,12.0,307.52267140793447,0.0
S014-MED-01,T009,S014,2,3328.4773285920655,3600.0,7200.0,22.0,271.52267140793447,0.0
S010-MED-01,T010,S010,1,3134.9663658275863,3600.0,3600.0,24.0,465.0336341724137,0.0
S010-WAT-01,T010,S010,2,3164.9663658275863,3600.0,3600.0,12.0,435.0336341724137,0.0
S010-FOD-01,T011,S010,1,3134.9663658275863,,7200.0,10.0,,0.0
S013-MED-01,T012,S013,1,3157.6154441015215,3600.0,3600.0,24.0,442.38455589847854,0.0
S013-WAT-01,T012,S013,2,3193.6154441015215,3600.0,3600.0,12.0,406.38455589847854,0.0
S003-MED-01,T013,S003,1,3758.300344422223,7200.0,7200.0,20.0,3441.699655577777,0.0
S003-WAT-01,T013,S003,2,3788.300344422223,7200.0,7200.0,10.0,3411.699655577777,0.0
S007-MED-01,T014,S007,1,3498.7821947433185,3600.0,3600.0,24.0,101.21780525668146,0.0
S007-WAT-01,T014,S007,2,3528.7821947433185,3600.0,3600.0,12.0,71.21780525668146,0.0
S001-WAT-02,T015,S001,1,4674.270195939378,,3600.0,12.0,,1074.270195939378
S001-WAT-03,T015,S001,2,4710.270195939378,,3600.0,12.0,,1110.270195939378
S001-WAT-04,T015,S001,3,4746.270195939378,,3600.0,12.0,,1146.270195939378
S001-WAT-05,T015,S001,4,4782.270195939378,,3600.0,12.0,,1182.270195939378
S001-WAT-06,T015,S001,5,4818.270195939378,,3600.0,12.0,,1218.270195939378
S001-FOD-01,T015,S001,6,4854.270195939378,,7200.0,10.0,,0.0
S015-MED-01,T016,S015,1,5107.584292010486,7200.0,7200.0,18.0,2092.415707989514,0.0
S015-WAT-01,T016,S015,2,5137.584292010486,10800.0,10800.0,8.0,5662.415707989514,0.0
S001-WAT-07,T017,S001,1,5021.270195939378,,3600.0,12.0,,1421.270195939378
S001-WAT-08,T017,S001,2,5057.270195939378,,3600.0,12.0,,1457.270195939378
S001-FOD-02,T017,S001,3,5093.270195939378,,7200.0,10.0,,0.0
S001-FOD-03,T017,S001,4,5129.270195939378,,7200.0,10.0,,0.0
S001-HYG-01,T017,S001,5,5165.270195939378,,10800.0,8.0,,0.0
S001-HYG-02,T017,S001,6,5201.270195939378,,10800.0,8.0,,0.0
S015-FOD-01,T018,S015,1,5137.584292010486,,14400.0,6.0,,0.0
S004-MED-01,T019,S004,1,7115.500533296583,7200.0,7200.0,20.0,84.49946670341706,0.0
S004-WAT-01,T019,S004,2,7151.500533296583,7200.0,7200.0,10.0,48.499466703417056,0.0
S008-MED-01,T020,S008,1,7103.696042296324,7200.0,7200.0,20.0,96.30395770367613,0.0
S008-WAT-01,T020,S008,2,7139.696042296324,7200.0,7200.0,10.0,60.30395770367613,0.0
S004-WAT-02,T021,S004,1,9185.500533296583,,7200.0,10.0,,1985.500533296583
S004-WAT-03,T021,S004,2,9221.500533296583,,7200.0,10.0,,2021.500533296583
S004-FOD-01,T021,S004,3,9257.500533296583,,10800.0,8.0,,0.0
S004-HYG-01,T021,S004,4,9293.500533296583,,14400.0,6.0,,0.0
S011-MED-01,T022,S011,1,8741.902117617747,10800.0,10800.0,16.0,2058.0978823822534,0.0
S011-WAT-01,T022,S011,2,8777.902117617747,10800.0,10800.0,8.0,2022.0978823822534,0.0
S005-MED-01,T023,S005,1,9477.844097652365,10800.0,10800.0,16.0,1322.1559023476348,0.0
S005-WAT-01,T023,S005,2,9507.844097652365,10800.0,10800.0,8.0,1292.1559023476348,0.0
S008-WAT-02,T024,S008,1,11355.696042296324,,7200.0,10.0,,4155.696042296324
S008-FOD-01,T024,S008,2,11391.696042296324,,10800.0,8.0,,591.6960422963239
S008-HYG-01,T024,S008,3,11427.696042296324,,14400.0,6.0,,0.0
S005-WAT-02,T025,S005,1,11222.232579097677,,10800.0,8.0,,422.23257909767744
S005-WAT-03,T025,S005,2,11258.232579097677,,10800.0,8.0,,458.23257909767744
S005-FOD-01,T025,S005,3,11294.232579097677,,14400.0,6.0,,0.0
S005-HYG-01,T025,S005,4,11330.232579097677,,18000.0,4.0,,0.0
S002-WAT-02,T026,S002,1,13448.316009319504,,3600.0,12.0,,9848.316009319504
S002-WAT-03,T026,S002,2,13484.316009319504,,3600.0,12.0,,9884.316009319504
