运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
T001,爬升,389.99999999999994,406.1507344563802,直连,
T001,爬升,406.1507344563802,422.30146891276036,直连,
T001,爬升,422.30146891276036,438.4522033691406,直连,
T001,巡航,438.4522033691406,458.0290540270924,直连,
T001,巡航,458.0290540270924,477.60590468504415,直连,
T001,巡航,477.60590468504415,497.18275534299596,直连,
T001,巡航,497.18275534299596,516.7596060009478,直连,
T001,巡航,516.7596060009478,536.3364566588996,直连,
T001,巡航,536.3364566588996,555.9133073168514,直连,
T001,巡航,555.9133073168514,575.4901579748032,直连,
T001,巡航,575.4901579748032,595.067008632755,直连,
T001,巡航,595.067008632755,614.6438592907068,直连,
T001,巡航,614.6438592907068,634.2207099486585,直连,
T001,巡航,634.2207099486585,653.7975606066103,直连,
T001,巡航,653.7975606066103,673.3744112645621,直连,
T001,巡航,673.3744112645621,692.9512619225139,直连,
T001,下降,692.9512619225139,710.7625839439984,直连,
T001,下降,710.7625839439984,728.5739059654827,直连,
T001,投送,728.5739059654827,748.5739059654827,直连,
T001,投送,748.5739059654827,768.5739059654827,直连,
T001,投送,768.5739059654827,788.5739059654827,直连,
T001,投送,788.5739059654827,808.5739059654827,直连,
T001,投送,808.5739059654827,828.5739059654827,直连,
T001,投送,828.5739059654827,848.5739059654827,直连,
T001,投送,848.5739059654827,868.5739059654827,直连,
T001,投送,868.5739059654827,888.5739059654827,直连,
T001,投送,888.5739059654827,908.5739059654827,直连,
T001,投送,908.5739059654827,928.5739059654827,直连,
T001,投送,928.5739059654827,948.5739059654827,直连,
T001,投送,948.5739059654827,968.5739059654827,直连,
T001,爬升,968.5739059654827,983.4166743167198,直连,
T001,爬升,983.4166743167198,998.2594426679567,直连,
T001,巡航,998.2594426679567,1017.8362933259085,直连,
T001,巡航,1017.8362933259085,1037.4131439838602,直连,
T001,巡航,1037.4131439838602,1056.989994641812,直连,
T001,巡航,1056.989994641812,1076.5668452997638,直连,
T001,巡航,1076.5668452997638,1096.1436959577156,直连,
T001,巡航,1096.1436959577156,1115.7205466156674,直连,
T001,巡航,1115.7205466156674,1135.2973972736193,直连,
T001,巡航,1135.2973972736193,1154.874247931571,直连,
T001,巡航,1154.874247931571,1174.4510985895229,直连,
T001,巡航,1174.4510985895229,1194.0279492474747,直连,
T001,巡航,1194.0279492474747,1213.6047999054265,直连,
T001,巡航,1213.6047999054265,1233.1816505633783,直连,
T001,巡航,1233.1816505633783,1252.75850122133,直连,
T001,下降,1252.75850122133,1272.1393825689863,直连,
T001,下降,1272.1393825689863,1291.5202639166425,直连,
T001,下降,1291.5202639166425,1310.9011452642987,直连,
T002,爬升,360.0,378.1254254150391,直连,
T002,爬升,378.1254254150391,396.2508508300782,直连,
T002,爬升,396.2508508300782,414.3762762451173,直连,
T002,爬升,414.3762762451173,432.5017016601564,直连,
T002,巡航,432.5017016601564,452.26518888352246,直连,
T002,巡航,452.26518888352246,472.0286761068885,直连,
T002,巡航,472.0286761068885,491.7921633302546,直连,
T002,巡航,491.7921633302546,511.55565055362064,直连,
T002,巡航,511.55565055362064,531.3191377769867,直连,
T002,巡航,531.3191377769867,551.0826250003528,直连,
T002,巡航,551.0826250003528,570.8461122237188,直连,
T002,巡航,570.8461122237188,590.6095994470849,直连,
T002,巡航,590.6095994470849,610.3730866704509,直连,
T002,巡航,610.3730866704509,630.136573893817,直连,
T002,巡航,630.136573893817,649.900061117183,直连,
T002,巡航,649.900061117183,669.6635483405491,直连,
T002,巡航,669.6635483405491,689.4270355639151,直连,
T002,巡航,689.4270355639151,709.1905227872812,中继,R001
T002,巡航,709.1905227872812,728.9540100106472,中继,R001
T002,巡航,728.9540100106472,748.7174972340133,中继,R001
T002,巡航,748.7174972340133,768.4809844573793,中继,R001
T002,巡航,768.4809844573793,788.2444716807454,中继,R001
T002,巡航,788.2444716807454,808.0079589041114,中继,R001
T002,巡航,808.0079589041114,827.7714461274775,中继,R001
T002,巡航,827.7714461274775,847.5349333508436,中继,R001
T002,巡航,847.5349333508436,867.2984205742096,中继,R001
T002,巡航,867.2984205742096,887.0619077975757,中继,R001
T002,巡航,887.0619077975757,906.8253950209418,中继,R001
T002,巡航,906.8253950209418,926.5888822443078,中继,R001
T002,下降,926.5888822443078,941.4979246027062,中继,R001
T002,下降,941.4979246027062,956.4069669611046,中继,R001
T002,下降,956.4069669611046,971.316009319503,中继,R001
T002,投送,971.316009319503,990.7006247041184,中继,R001
T002,投送,990.7006247041184,1010.0852400887337,中继,R001
T002,投送,1010.0852400887337,1029.469855473349,中继,R001
T002,投送,1029.469855473349,1048.8544708579645,中继,R001
T002,投送,1048.8544708579645,1068.2390862425798,中继,R001
T002,投送,1068.2390862425798,1087.6237016271953,中继,R001
T002,投送,1087.6237016271953,1107.0083170118105,中继,R001
T002,投送,1107.0083170118105,1126.392932396426,中继,R001
T002,投送,1126.392932396426,1145.7775477810414,中继,R001
T002,投送,1145.7775477810414,1165.1621631656567,中继,R001
T002,投送,1165.1621631656567,1184.5467785502722,中继,R001
T002,投送,1184.5467785502722,1203.9313939348874,中继,R001
T002,投送,1203.9313939348874,1223.3160093195029,中继,R001
T002,爬升,1223.3160093195029,1241.206860149581,中继,R001
T002,爬升,1241.206860149581,1259.097710979659,中继,R001
T002,巡航,1259.097710979659,1278.8611982030252,中继,R001
T002,巡航,1278.8611982030252,1298.6246854263911,中继,R001
T002,巡航,1298.6246854263911,1318.3881726497573,中继,R001
T002,巡航,1318.3881726497573,1338.1516598731232,中继,R001
T002,巡航,1338.1516598731232,1357.9151470964894,中继,R001
T002,巡航,1357.9151470964894,1377.6786343198553,中继,R001
T002,巡航,1377.6786343198553,1397.4421215432214,中继,R001
T002,巡航,1397.4421215432214,1417.2056087665874,中继,R001
T002,巡航,1417.2056087665874,1436.9690959899535,中继,R001
T002,巡航,1436.9690959899535,1456.7325832133197,中继,R001
T002,巡航,1456.7325832133197,1476.4960704366856,中继,R001
T002,巡航,1476.4960704366856,1496.2595576600518,中继,R001
T002,巡航,1496.2595576600518,1516.0230448834177,直连,
T002,巡航,1516.0230448834177,1535.7865321067839,直连,
T002,巡航,1535.7865321067839,1555.5500193301498,直连,
T002,巡航,1555.5500193301498,1575.313506553516,直连,
T002,巡航,1575.313506553516,1595.0769937768819,直连,
T002,巡航,1595.0769937768819,1614.840481000248,直连,
T002,巡航,1614.840481000248,1634.6039682236142,直连,
T002,巡航,1634.6039682236142,1654.36745544698,直连,
T002,巡航,1654.36745544698,1674.1309426703463,直连,
T002,巡航,1674.1309426703463,1693.8944298937122,直连,
T002,巡航,1693.8944298937122,1713.6579171170783,直连,
T002,巡航,1713.6579171170783,1733.4214043404445,直连,
T002,巡航,1733.4214043404445,1753.1848915638104,直连,
T002,下降,1753.1848915638104,1771.3103169788496,直连,
T002,下降,1771.3103169788496,1789.4357423938886,直连,
T002,下降,1789.4357423938886,1807.5611678089278,直连,
T002,下降,1807.5611678089278,1825.6865932239668,直连,
T002,下降,1825.6865932239668,1843.812018639006,直连,
T003,爬升,330.0000000000001,349.04006632486994,直连,
T003,爬升,349.04006632486994,368.0801326497397,直连,
T003,爬升,368.0801326497397,387.12019897460954,直连,
T003,爬升,387.12019897460954,406.1602652994793,直连,
T003,爬升,406.1602652994793,425.20033162434913,直连,
T003,巡航,425.20033162434913,445.0671279312562,直连,
T003,巡航,445.0671279312562,464.93392423816334,直连,
T003,巡航,464.93392423816334,484.8007205450704,直连,
T003,巡航,484.8007205450704,504.66751685197755,直连,
T003,巡航,504.66751685197755,524.5343131588846,直连,
T003,巡航,524.5343131588846,544.4011094657917,直连,
T003,巡航,544.4011094657917,564.2679057726989,直连,
T003,巡航,564.2679057726989,584.1347020796059,直连,
T003,巡航,584.1347020796059,604.001498386513,直连,
T003,巡航,604.001498386513,623.8682946934201,直连,
T003,巡航,623.8682946934201,643.7350910003272,直连,
T003,巡航,643.7350910003272,663.6018873072344,直连,
T003,巡航,663.6018873072344,683.4686836141414,直连,
T003,巡航,683.4686836141414,703.3354799210485,直连,
T003,巡航,703.3354799210485,723.2022762279555,直连,
T003,巡航,723.2022762279555,743.0690725348627,直连,
T003,巡航,743.0690725348627,762.9358688417699,中继,R002
T003,巡航,762.9358688417699,782.8026651486769,中继,R002
T003,巡航,782.8026651486769,802.669461455584,中继,R002
T003,巡航,802.669461455584,822.536257762491,中继,R002
T003,巡航,822.536257762491,842.4030540693982,中继,R002
T003,巡航,842.4030540693982,862.2698503763053,中继,R002
T003,巡航,862.2698503763053,882.1366466832123,中继,R002
T003,巡航,882.1366466832123,902.0034429901195,中继,R002
T003,巡航,902.0034429901195,921.8702392970266,中继,R002
T003,巡航,921.8702392970266,941.7370356039337,中继,R002
T003,巡航,941.7370356039337,961.6038319108408,中继,R002
T003,巡航,961.6038319108408,981.470628217748,中继,R002
T003,巡航,981.470628217748,1001.337424524655,中继,R002
T003,巡航,1001.337424524655,1021.204220831562,中继,R002
T003,巡航,1021.204220831562,1041.0710171384692,中继,R002
T003,下降,1041.0710171384692,1058.8711497882089,中继,R002
T003,下降,1058.8711497882089,1076.6712824379483,中继,R002
T003,下降,1076.6712824379483,1094.471415087688,中继,R002
T003,投送,1094.471415087688,1114.471415087688,中继,R002
T003,投送,1114.471415087688,1134.471415087688,中继,R002
T003,投送,1134.471415087688,1154.471415087688,中继,R002
T003,投送,1154.471415087688,1174.471415087688,中继,R002
T003,投送,1174.471415087688,1194.471415087688,中继,R002
T003,投送,1194.471415087688,1214.471415087688,中继,R002
T003,投送,1214.471415087688,1234.471415087688,中继,R002
T003,投送,1234.471415087688,1254.471415087688,中继,R002
T003,投送,1254.471415087688,1274.471415087688,中继,R002
T003,爬升,1274.471415087688,1289.304858962471,中继,R002
T003,爬升,1289.304858962471,1304.138302837254,中继,R002
T003,爬升,1304.138302837254,1318.971746712037,中继,R002
T003,巡航,1318.971746712037,1338.8385430189442,中继,R002
T003,巡航,1338.8385430189442,1358.7053393258511,中继,R002
T003,巡航,1358.7053393258511,1378.5721356327583,中继,R002
T003,巡航,1378.5721356327583,1398.4389319396653,中继,R002
T003,巡航,1398.4389319396653,1418.3057282465725,中继,R002
T003,巡航,1418.3057282465725,1438.1725245534797,中继,R002
T003,巡航,1438.1725245534797,1458.0393208603866,中继,R002
T003,巡航,1458.0393208603866,1477.9061171672938,中继,R002
T003,巡航,1477.9061171672938,1497.7729134742008,中继,R002
T003,巡航,1497.7729134742008,1517.639709781108,中继,R002
T003,巡航,1517.639709781108,1537.5065060880152,中继,R002
T003,巡航,1537.5065060880152,1557.3733023949221,中继,R002
T003,巡航,1557.3733023949221,1577.2400987018293,中继,R002
T003,巡航,1577.2400987018293,1597.1068950087365,中继,R002
T003,巡航,1597.1068950087365,1616.9736913156435,中继,R002
T003,巡航,1616.9736913156435,1636.8404876225507,直连,
T003,巡航,1636.8404876225507,1656.7072839294578,直连,
T003,巡航,1656.7072839294578,1676.5740802363648,直连,
T003,巡航,1676.5740802363648,1696.440876543272,直连,
T003,巡航,1696.440876543272,1716.307672850179,直连,
T003,巡航,1716.307672850179,1736.1744691570862,直连,
T003,巡航,1736.1744691570862,1756.041265463993,直连,
T003,巡航,1756.041265463993,1775.9080617709003,直连,
T003,巡航,1775.9080617709003,1795.7748580778075,直连,
T003,巡航,1795.7748580778075,1815.6416543847145,直连,
T003,巡航,1815.6416543847145,1835.5084506916216,直连,
T003,巡航,1835.5084506916216,1855.3752469985288,直连,
