中继架次编号,中继无人机编号,能源组件编号,开始时刻（s）,悬停经度（°）,悬停纬度（°）,悬停海拔（m）,建链完成时刻（s）,服务结束时刻（s）,返回O01时刻（s）,架次能耗（kWh）
R001,R02,R-E02,97.57767553244639,109.252844703,23.053399188,274.812301636,719.0,1527.0,1950.6816829371987,0.504902712
R002,R01,R-E01,97.59529766381957,109.267596021,23.044531046,370.028778076,737.0,1519.0,1968.5987671758614,0.504267253
R003,R02,R-E04,2269.1237746778424,109.272819620,23.017496560,589.644866943,2889.0,3587.0,4035.371630900771,0.451598745
R004,R01,R-E03,2269.1647913304323,109.184788249,23.034571809,474.409484863,2944.0,5333.0,5826.727665741508,1.008487713
R005,R02,R-E05,4336.6894977469765,109.209355952,23.021306369,333.203369141,4784.0,5371.0,5625.435783014742,0.321825884
R006,R01,R-E02,6127.817867658719,109.233507243,23.039638663,274.261184692,6605.0,7525.0,7804.395564398979,0.450599238
R007,R02,R-E06,5926.790404552854,109.223395736,23.066616453,476.459930420,6656.0,7448.0,7996.27292298214,0.558187652
R008,R01,R-E01,8105.790404552854,109.223395736,23.066616453,476.459930420,8835.0,9926.0,10474.27292298214,0.649548763
R009,R02,R-E04,8569.81786765872,109.233507243,23.039638663,274.261184692,9047.0,14426.0,14705.39556439898,1.813071460
R010,R01,R-E05,10775.597446138052,109.242970366,23.062320150,380.755096436,11465.0,14386.0,14886.49047856491,1.186613749
R011,R02,R-E03,15531.123774677842,109.272819620,23.017496560,589.644866943,16151.0,16563.0,17011.371630900772,0.364209856
R012,R01,R-E02,16913.601231418266,109.233389456,23.048667746,274.280181885,17466.0,18408.0,18762.613783738798,0.502449341
R013,R02,R-E06,17312.59529766382,109.267596021,23.044531046,370.028778076,17952.0,18826.0,19275.598767175863,0.532378365
R014,R01,R-E01,19063.164791330433,109.184788249,23.034571809,474.409484863,19738.0,21453.0,21946.72766574151,0.802543269
R015,R02,R-E05,19576.371599213122,109.209176993,23.034849842,392.030273438,20098.0,21122.0,21455.655923573337,0.502069993
