mission_id,uav_id,energy_unit_id,start_s,link_ready_s,service_end_s,return_s,uav_next_ready_s,unit_next_ready_s,return_soc
R001,R02,R-E02,97.577675532,719.000000000,1527.000000000,1950.681682937,2250.681682937,2655.798409849,0.842217902
R002,R01,R-E01,97.595297664,737.000000000,1519.000000000,1968.598767176,2268.598767176,2673.457338902,0.842416483
R003,R02,R-E04,2269.123774678,2889.000000000,3587.000000000,4035.371630901,4335.371630901,4718.833621131,0.858875392
R004,R01,R-E03,2269.164791330,2944.000000000,5333.000000000,5826.727665742,6126.727665742,6736.425799177,0.684847590
R005,R02,R-E05,4336.689497747,4784.000000000,5371.000000000,5625.435783015,5925.435783015,6256.177548198,0.899429411
R006,R01,R-E02,6127.817867659,6605.000000000,7525.000000000,7804.395564399,8104.395564399,8487.451504912,0.859187738
R007,R02,R-E06,5926.790404553,6656.000000000,7448.000000000,7996.272922982,8296.272922982,8723.036656500,0.825566359
R008,R01,R-E01,8105.790404553,8835.000000000,9926.000000000,10474.272922982,10774.272922982,11238.152107889,0.797016012
R009,R02,R-E04,8569.817867659,9047.000000000,14426.000000000,14705.395564399,15005.395564399,15941.955845190,0.433415169
R010,R01,R-E05,10775.597446138,11465.000000000,14386.000000000,14886.490478565,15186.490478565,15868.552313947,0.629183204
R011,R02,R-E03,15531.123774678,16151.000000000,16563.000000000,17011.371630901,17311.371630901,17659.331885020,0.886184420
R012,R01,R-E02,16913.601231418,17466.000000000,18408.000000000,18762.613783739,19062.613783739,19466.733828682,0.842984581
R013,R02,R-E06,17312.595297664,17952.000000000,18826.000000000,19275.598767176,19575.598767176,19991.877477791,0.833631761
R014,R01,R-E01,19063.164791330,19738.000000000,21453.000000000,21946.727665742,22246.727665742,22772.760868622,0.749205229
R015,R02,R-E05,19576.371599213,20098.000000000,21122.000000000,21455.655923573,21755.655923573,22159.621858245,0.843103127
