slice_id,sortie_id,stage,start_s,end_s,direct_margin_db,midpoint_status
111,T003,巡航,737.402536798,757.110398735,-0.094709127,ASSIGNED
112,T003,巡航,757.110398735,776.818260671,-0.409250750,ASSIGNED
113,T003,巡航,776.818260671,796.526122608,-1.006218691,ASSIGNED
114,T003,巡航,796.526122608,816.233984544,-1.564912721,ASSIGNED
115,T003,巡航,816.233984544,835.941846480,-2.089932413,ASSIGNED
116,T003,巡航,835.941846480,855.649708417,-2.585097130,ASSIGNED
117,T003,巡航,855.649708417,875.357570353,-3.053612662,ASSIGNED
118,T003,巡航,875.357570353,895.065432290,-3.498195720,ASSIGNED
119,T003,巡航,895.065432290,914.773294226,-3.921168435,ASSIGNED
120,T003,巡航,914.773294226,934.481156163,-4.324531127,ASSIGNED
121,T003,巡航,934.481156163,954.189018099,-4.710019053,ASSIGNED
122,T003,巡航,954.189018099,973.896880036,-5.079147201,ASSIGNED
123,T003,下降,973.896880036,991.697012685,-5.433246009,ASSIGNED
124,T003,下降,991.697012685,1009.497145335,-5.431525748,ASSIGNED
125,T003,下降,1009.497145335,1027.297277985,-5.430119556,ASSIGNED
126,T003,投送,1027.297277985,1046.388187076,-5.429027740,ASSIGNED
127,T003,投送,1046.388187076,1065.479096167,-5.429027740,ASSIGNED
128,T003,投送,1065.479096167,1084.570005258,-5.429027740,ASSIGNED
129,T003,投送,1084.570005258,1103.660914349,-5.429027740,ASSIGNED
130,T003,投送,1103.660914349,1122.751823439,-5.429027740,ASSIGNED
131,T003,投送,1122.751823439,1141.842732530,-5.429027740,ASSIGNED
132,T003,投送,1141.842732530,1160.933641621,-5.429027740,ASSIGNED
133,T003,投送,1160.933641621,1180.024550712,-5.429027740,ASSIGNED
134,T003,投送,1180.024550712,1199.115459803,-5.429027740,ASSIGNED
135,T003,投送,1199.115459803,1218.206368894,-5.429027740,ASSIGNED
136,T003,投送,1218.206368894,1237.297277985,-5.429027740,ASSIGNED
137,T003,爬升,1237.297277985,1252.130721860,-5.429027740,ASSIGNED
138,T003,爬升,1252.130721860,1266.964165734,-5.430119556,ASSIGNED
139,T003,爬升,1266.964165734,1281.797609609,-5.431525748,ASSIGNED
140,T003,巡航,1281.797609609,1301.505471546,-5.433246009,ASSIGNED
141,T003,巡航,1301.505471546,1321.213333482,-5.079147201,ASSIGNED
142,T003,巡航,1321.213333482,1340.921195419,-4.710019053,ASSIGNED
143,T003,巡航,1340.921195419,1360.629057355,-4.324531127,ASSIGNED
144,T003,巡航,1360.629057355,1380.336919291,-3.921168435,ASSIGNED
145,T003,巡航,1380.336919291,1400.044781228,-3.498195720,ASSIGNED
146,T003,巡航,1400.044781228,1419.752643164,-3.053612662,ASSIGNED
147,T003,巡航,1419.752643164,1439.460505101,-2.585097130,ASSIGNED
148,T003,巡航,1439.460505101,1459.168367037,-2.089932413,ASSIGNED
149,T003,巡航,1459.168367037,1478.876228974,-1.564912721,ASSIGNED
150,T003,巡航,1478.876228974,1498.584090910,-1.006218691,ASSIGNED
151,T003,巡航,1498.584090910,1518.291952847,-0.409250750,ASSIGNED
188,T004,巡航,719.427035564,739.190522787,-0.107041869,ASSIGNED
189,T004,巡航,739.190522787,758.954010011,-0.422433362,ASSIGNED
190,T004,巡航,758.954010011,778.717497234,-1.020854021,ASSIGNED
191,T004,巡航,778.717497234,798.480984457,-1.580737777,ASSIGNED
192,T004,巡航,798.480984457,818.244471681,-2.106744019,ASSIGNED
193,T004,巡航,818.244471681,838.007958904,-2.602735847,ASSIGNED
194,T004,巡航,838.007958904,857.771446127,-3.071951629,ASSIGNED
195,T004,巡航,857.771446127,877.534933351,-3.517132742,ASSIGNED
196,T004,巡航,877.534933351,897.298420574,-3.940620270,ASSIGNED
197,T004,巡航,897.298420574,917.061907798,-4.344429288,ASSIGNED
198,T004,巡航,917.061907798,936.825395021,-4.730306680,ASSIGNED
199,T004,巡航,936.825395021,956.588882244,-5.099776694,ASSIGNED
200,T004,下降,956.588882244,971.497924603,-5.454177219,ASSIGNED
201,T004,下降,971.497924603,986.406966961,-5.453487438,ASSIGNED
202,T004,下降,986.406966961,1001.316009320,-5.452938121,ASSIGNED
203,T004,投送,1001.316009320,1020.700624704,-5.452529325,ASSIGNED
204,T004,投送,1020.700624704,1040.085240089,-5.452529325,ASSIGNED
205,T004,投送,1040.085240089,1059.469855473,-5.452529325,ASSIGNED
206,T004,投送,1059.469855473,1078.854470858,-5.452529325,ASSIGNED
207,T004,投送,1078.854470858,1098.239086243,-5.452529325,ASSIGNED
208,T004,投送,1098.239086243,1117.623701627,-5.452529325,ASSIGNED
209,T004,投送,1117.623701627,1137.008317012,-5.452529325,ASSIGNED
210,T004,投送,1137.008317012,1156.392932396,-5.452529325,ASSIGNED
211,T004,投送,1156.392932396,1175.777547781,-5.452529325,ASSIGNED
212,T004,投送,1175.777547781,1195.162163166,-5.452529325,ASSIGNED
213,T004,投送,1195.162163166,1214.546778550,-5.452529325,ASSIGNED
214,T004,投送,1214.546778550,1233.931393935,-5.452529325,ASSIGNED
215,T004,投送,1233.931393935,1253.316009320,-5.452529325,ASSIGNED
216,T004,爬升,1253.316009320,1271.206860150,-5.452529325,ASSIGNED
217,T004,爬升,1271.206860150,1289.097710980,-5.453195218,ASSIGNED
218,T004,巡航,1289.097710980,1308.861198203,-5.454177219,ASSIGNED
219,T004,巡航,1308.861198203,1328.624685426,-5.099776694,ASSIGNED
220,T004,巡航,1328.624685426,1348.388172650,-4.730306680,ASSIGNED
221,T004,巡航,1348.388172650,1368.151659873,-4.344429288,ASSIGNED
222,T004,巡航,1368.151659873,1387.915147096,-3.940620270,ASSIGNED
223,T004,巡航,1387.915147096,1407.678634320,-3.517132742,ASSIGNED
224,T004,巡航,1407.678634320,1427.442121543,-3.071951629,ASSIGNED
225,T004,巡航,1427.442121543,1447.205608767,-2.602735847,ASSIGNED
226,T004,巡航,1447.205608767,1466.969095990,-2.106744019,ASSIGNED
227,T004,巡航,1466.969095990,1486.732583213,-1.580737777,ASSIGNED
228,T004,巡航,1486.732583213,1506.496070437,-1.020854021,ASSIGNED
229,T004,巡航,1506.496070437,1526.259557660,-0.422433362,ASSIGNED
265,T005,巡航,719.434680456,738.451843188,-0.087288398,ASSIGNED
266,T005,巡航,738.451843188,757.469005920,-0.087288398,ASSIGNED
267,T005,巡航,757.469005920,776.486168652,-0.685810481,ASSIGNED
268,T005,巡航,776.486168652,795.503331384,-1.245777270,ASSIGNED
269,T005,巡航,795.503331384,814.520494116,-1.771852348,ASSIGNED
270,T005,巡航,814.520494116,833.537656848,-2.267901875,ASSIGNED
271,T005,巡航,833.537656848,852.554819580,-2.737166497,ASSIGNED
272,T005,下降,852.554819580,868.362047668,-3.182389315,ASSIGNED
273,T005,下降,868.362047668,884.169275756,-3.181295482,ASSIGNED
274,T005,投送,884.169275756,903.553891141,-3.180468044,ASSIGNED
275,T005,投送,903.553891141,922.938506526,-3.180468044,ASSIGNED
276,T005,投送,922.938506526,942.323121910,-3.180468044,ASSIGNED
277,T005,投送,942.323121910,961.707737295,-3.180468044,ASSIGNED
278,T005,投送,961.707737295,981.092352679,-3.180468044,ASSIGNED
279,T005,投送,981.092352679,1000.476968064,-3.180468044,ASSIGNED
280,T005,投送,1000.476968064,1019.861583449,-3.180468044,ASSIGNED
