batch_id,type_id,uav_id,battery_id,visit_order,box_ids,start_s,launch_s,return_s,charge_start_s,charge_end_s,charge_s,mass_kg,volume_m3,energy_kwh,return_soc
T001,A,U01,A-B01,S001,S001-MED-01;S001-MED-02;S001-WAT-01,1.0,391.0,1311.9011452642987,1311.9011452642987,2177.157673866994,865.2565286026954,20.0,0.051000000000000004,1.2643495220862535,0.7190334395363881
T002,B,U05,B-B01,S006,S006-MED-01;S006-WAT-01,1.0,361.0,1208.276912821877,1208.276912821877,2351.0873485761385,1142.8104357542613,17.0,0.039,1.098793313279065,0.7253016716802337
T003,B,U06,B-B02,S012,S012-WAT-01;S012-MED-01,26.0,386.0,1888.7345559697276,1888.7345559697276,3625.3998749142474,1736.66531894452,17.0,0.039,2.4692276591027387,0.38269308522431533
T004,C,U07,C-B01,S002,S002-MED-01;S002-WAT-01,30.0,390.0,1873.812018639006,1873.812018639006,3999.3085376456156,2125.4965190066096,17.0,0.039,4.77106407017825,0.40361699122771877
T005,C,U08,C-B02,S009,S009-MED-01;S009-WAT-01,46.0,406.0,1624.5685515126138,1624.5685515126138,3454.5084067793287,1829.9398552667149,17.0,0.039,3.6797779271386393,0.5400277591076701
T006,A,U01,A-B05,S014,S014-FOD-01,2091.0,2421.0,4021.4045344521683,4021.4045344521683,5153.659145176483,1132.2546107243152,8.0,0.028,2.188573652507245,0.5136502994428345
T007,C,U08,C-B03,S014,S014-WAT-01;S014-MED-01,2097.0,2457.0,4066.2846571841305,4066.2846571841305,5886.644702372727,1820.360045188596,17.0,0.039,3.644406320696355,0.5444492099129556
T008,A,U02,A-B02,S010,S010-MED-01;S010-WAT-01,2108.0,2468.0,3762.859398321839,3762.859398321839,4827.594424392994,1064.7350260711557,17.0,0.039,1.9548520133232312,0.5655884414837264
T009,A,U03,A-B03,S003,S003-MED-01;S003-WAT-01,2127.0,2487.0,4389.65402217778,4389.65402217778,5751.13203546618,1361.4780132884005,17.0,0.039,2.98203927676754,0.33732460516276896
T010,A,U04,A-B06,S010,S010-FOD-01,2138.0,2468.0,3732.859398321839,3732.859398321839,4772.483736963959,1039.6243386421197,8.0,0.028,1.867930402991953,0.5849043548906772
T011,C,U07,C-B04,S013,S013-MED-01;S013-WAT-01,2174.0,2534.0,3719.6308882030426,3719.6308882030426,5411.254869895345,1691.6239816923028,17.0,0.039,3.1690731631715807,0.6038658546035525
T012,B,U05,B-B03,S007,S007-MED-01;S007-WAT-01,2211.0,2571.0,3787.284389486637,3787.284389486637,5147.272823181212,1359.9884336945745,17.0,0.039,1.599973308525941,0.6000066728685147
T013,C,U07,C-B02,S011,S011-MED-01;S011-WAT-01,3720.0,4080.0,4932.244235235494,4932.244235235494,6267.524454827161,1335.2802195916674,17.0,0.039,1.8533423492615424,0.7683322063423073
T014,B,U06,B-B04,S015,S015-MED-01;S015-WAT-01,4028.0,4388.0,5796.288584020971,5796.288584020971,7360.307039112578,1564.0184550916072,17.0,0.039,2.07081181944217,0.4822970451394575
