架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U01,A,A-B01,1.0,S001,1311.9011452642987,1.2643495220862535
T002,U05,B,B-B01,1.0,S006,1208.276912821877,1.098793313279065
T003,U06,B,B-B02,26.0,S012,1888.7345559697276,2.4692276591027387
T004,U07,C,C-B01,30.0,S002,1873.812018639006,4.77106407017825
T005,U08,C,C-B02,46.0,S009,1624.5685515126138,3.6797779271386393
T006,U01,A,A-B05,2091.0,S014,4021.4045344521683,2.188573652507245
T007,U08,C,C-B03,2097.0,S014,4066.2846571841305,3.644406320696355
T008,U02,A,A-B02,2108.0,S010,3762.859398321839,1.9548520133232312
T009,U03,A,A-B03,2127.0,S003,4389.65402217778,2.98203927676754
T010,U04,A,A-B06,2138.0,S010,3732.859398321839,1.867930402991953
T011,U07,C,C-B04,2174.0,S013,3719.6308882030426,3.1690731631715807
T012,U05,B,B-B03,2211.0,S007,3787.284389486637,1.599973308525941
T013,U07,C,C-B02,3720.0,S011,4932.244235235494,1.8533423492615424
T014,U06,B,B-B04,4028.0,S015,5796.288584020971,2.07081181944217
T015,U05,B,B-B02,4059.0,S015,5767.288584020971,1.9174697354595034
T016,U08,C,C-B01,5880.0,S004,7917.061066593167,5.013641240219441
T017,U07,C,C-B04,5888.0,S008,7889.712084592647,5.217819797239251
T018,U05,B,B-B01,5925.0,S005,7441.174861971398,1.7715176179627403
T019,U07,C,C-B03,8300.0,S008,10367.712084592647,5.401550250478788
T020,U07,C,C-B02,10641.0,S004,12810.061066593167,5.518523767759751
T021,U08,C,C-B03,12665.0,S002,14772.812018639006,6.105653653740411
T022,U07,C,C-B04,12811.0,S011,13957.244235235494,1.8144863713949984
T023,U07,C,C-B04,15283.0,S006,16712.559525940367,2.327844568041719
T024,U08,C,C-B02,15466.0,S013,16945.630888203043,3.1025886291001767
T025,U07,C,C-B01,16713.0,S005,18458.195158195354,3.787086854217603
T026,U04,A,A-B01,17209.0,S012,19258.082830175375,2.8302120756865836
T027,U05,B,B-B01,17282.0,S009,18720.442247394774,1.7424471531492611
T028,U08,C,C-B02,18620.0,S001,20114.170391878757,2.405033632503433
T029,U07,C,C-B03,19154.0,S003,21590.111144337276,6.149598035840621
T030,U08,C,C-B04,20115.0,S007,21890.575447836247,3.1511922109758563
T031,U07,C,C-B02,21600.0,S001,23094.170391878757,2.99577859519945
