sortie_id,stage,start_s,end_s,mode,relay_id,comm_row_index,status,method,margin_db,worst_distance_m,pessimistic_obstructed,witness_s,reason
T001,爬升,390.99999999999994,407.1507344563802,直连,,1,PASS,worst_obstruction_endpoint_distance,42.86345708049136,28.452203369140733,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,爬升,407.1507344563802,423.30146891276036,直连,,2,PASS,worst_obstruction_endpoint_distance,34.226750640926454,76.9044067382813,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,爬升,423.30146891276036,439.4522033691406,直连,,3,PASS,worst_obstruction_endpoint_distance,29.982830377148545,125.356610107422,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,439.4522033691406,459.0290540270924,直连,,4,PASS,worst_obstruction_endpoint_distance,23.439145992925262,266.2756531493173,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,459.0290540270924,478.60590468504415,直连,,5,PASS,worst_obstruction_endpoint_distance,18.208050378198536,486.2798111658891,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,478.60590468504415,498.18275534299596,直连,,6,PASS,worst_obstruction_endpoint_distance,14.849596880380076,715.82838275658,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,498.18275534299596,517.7596060009478,直连,,7,PASS,worst_obstruction_endpoint_distance,12.409485773578538,948.0133859272303,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,517.7596060009478,537.3364566588996,直连,,8,PASS,worst_obstruction_endpoint_distance,10.498709008550065,1181.281242448014,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,537.3364566588996,556.9133073168514,直连,,9,PASS,worst_obstruction_endpoint_distance,8.930053702377293,1415.0965532947675,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,556.9133073168514,576.4901579748032,直连,,10,PASS,worst_obstruction_endpoint_distance,7.600169114693159,1649.2264926496591,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,576.4901579748032,596.067008632755,直连,,11,PASS,worst_obstruction_endpoint_distance,6.446214866248994,1883.5537370869965,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,596.067008632755,615.6438592907068,直连,,12,PASS,worst_obstruction_endpoint_distance,5.427203554487448,2118.012800824474,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,615.6438592907068,635.2207099486585,直连,,13,PASS,worst_obstruction_endpoint_distance,4.514945220631574,2352.5642724361696,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,635.2207099486585,654.7975606066103,直连,,14,PASS,worst_obstruction_endpoint_distance,3.6892321235043113,2587.183019222811,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,654.7975606066103,674.3744112645621,直连,,15,PASS,worst_obstruction_endpoint_distance,2.935089718870202,2821.852260748545,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,674.3744112645621,693.9512619225139,直连,,16,PASS,worst_obstruction_endpoint_distance,2.2411156161546586,3056.5603667445057,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,下降,693.9512619225139,711.7625839439984,直连,,17,PASS,worst_obstruction_endpoint_distance,2.2411156161546586,3056.5603667445057,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,下降,711.7625839439984,729.5739059654827,直连,,18,PASS,worst_obstruction_endpoint_distance,2.2453855868061083,3055.0581354130627,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,投送,729.5739059654827,749.5739059654827,直连,,19,PASS,exact_point,2.2478131175972464,3054.2044276465326,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,749.5739059654827,769.5739059654827,直连,,20,PASS,exact_point,2.2478131175972464,3054.2044276465326,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,769.5739059654827,789.5739059654827,直连,,21,PASS,exact_point,2.2478131175972464,3054.2044276465326,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,789.5739059654827,809.5739059654827,直连,,22,PASS,exact_point,2.2478131175972464,3054.2044276465326,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,809.5739059654827,829.5739059654827,直连,,23,PASS,exact_point,2.2478131175972464,3054.2044276465326,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,829.5739059654827,849.5739059654827,直连,,24,PASS,exact_point,2.2478131175972464,3054.2044276465326,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,849.5739059654827,869.5739059654827,直连,,25,PASS,exact_point,2.2478131175972464,3054.2044276465326,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,869.5739059654827,889.5739059654827,直连,,26,PASS,exact_point,2.2478131175972464,3054.2044276465326,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,889.5739059654827,909.5739059654827,直连,,27,PASS,exact_point,2.2478131175972464,3054.2044276465326,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,909.5739059654827,929.5739059654827,直连,,28,PASS,exact_point,2.2478131175972464,3054.2044276465326,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,929.5739059654827,949.5739059654827,直连,,29,PASS,exact_point,2.2478131175972464,3054.2044276465326,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,949.5739059654827,969.5739059654827,直连,,30,PASS,exact_point,2.2478131175972464,3054.2044276465326,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,爬升,969.5739059654827,984.4166743167198,直连,,31,PASS,worst_obstruction_endpoint_distance,2.2453855868061083,3055.0581354130627,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,爬升,984.4166743167198,999.2594426679567,直连,,32,PASS,worst_obstruction_endpoint_distance,2.2411156161546586,3056.5603667445057,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
