货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,T031,S001,22782.270195939378
S001-FOD-02,T028,S001,19694.270195939378
S001-FOD-03,T028,S001,19730.270195939378
S001-HYG-01,T028,S001,19766.270195939378
S001-HYG-02,T028,S001,19802.270195939378
S001-MED-01,T001,S001,909.5739059654827
S001-MED-02,T001,S001,939.5739059654827
S001-WAT-01,T001,S001,969.5739059654827
S001-WAT-02,T031,S001,22602.270195939378
S001-WAT-03,T031,S001,22638.270195939378
S001-WAT-04,T031,S001,22674.270195939378
S001-WAT-05,T031,S001,22710.270195939378
S001-WAT-06,T031,S001,22746.270195939378
S001-WAT-07,T028,S001,19622.270195939378
S001-WAT-08,T028,S001,19658.270195939378
S002-FOD-01,T021,S002,14080.316009319504
S002-FOD-02,T021,S002,14116.316009319504
S002-HYG-01,T021,S002,14152.316009319504
S002-MED-01,T004,S002,1217.3160093195029
S002-WAT-01,T004,S002,1253.3160093195029
S002-WAT-02,T021,S002,13972.316009319504
S002-WAT-03,T021,S002,14008.316009319504
S002-WAT-04,T021,S002,14044.316009319504
S003-FOD-01,T029,S003,20727.51557216864
S003-FOD-02,T029,S003,20763.51557216864
S003-HYG-01,T029,S003,20799.51557216864
S003-MED-01,T009,S003,3506.300344422223
S003-WAT-01,T009,S003,3536.300344422223
S003-WAT-02,T029,S003,20619.51557216864
S003-WAT-03,T029,S003,20655.51557216864
S003-WAT-04,T029,S003,20691.51557216864
S004-FOD-01,T020,S004,12056.500533296583
S004-HYG-01,T020,S004,12092.500533296583
S004-MED-01,T016,S004,7163.500533296583
S004-WAT-01,T016,S004,7199.500533296583
S004-WAT-02,T020,S004,11984.500533296583
S004-WAT-03,T020,S004,12020.500533296583
S005-FOD-01,T025,S005,17918.23257909768
S005-HYG-01,T025,S005,17954.23257909768
S005-MED-01,T018,S005,6935.844097652365
S005-WAT-01,T018,S005,6965.844097652365
S005-WAT-02,T025,S005,17846.23257909768
S005-WAT-03,T025,S005,17882.23257909768
S006-FOD-01,T023,S006,16324.424762970184
S006-HYG-01,T023,S006,16360.424762970184
S006-MED-01,T002,S006,853.4017897442718
S006-WAT-01,T002,S006,883.4017897442718
S006-WAT-02,T023,S006,16252.424762970184
S006-WAT-03,T023,S006,16288.424762970184
S007-FOD-01,T030,S007,21294.747723918124
S007-HYG-01,T030,S007,21330.747723918124
S007-MED-01,T012,S007,3246.7821947433185
S007-WAT-01,T012,S007,3276.7821947433185
S007-WAT-02,T030,S007,21258.747723918124
S008-FOD-01,T019,S008,9629.696042296324
S008-HYG-01,T019,S008,9665.696042296324
S008-MED-01,T017,S008,7151.696042296324
S008-WAT-01,T017,S008,7187.696042296324
S008-WAT-02,T019,S008,9593.696042296324
S009-FOD-01,T027,S009,18252.81112369739
S009-MED-01,T005,S009,1100.169275756307
S009-WAT-01,T005,S009,1136.169275756307
S010-FOD-01,T010,S010,3182.9663658275863
S010-MED-01,T008,S010,3182.9663658275863
S010-WAT-01,T008,S010,3212.9663658275863
S011-FOD-01,T022,S011,13652.902117617747
S011-MED-01,T013,S011,4591.902117617747
S011-WAT-01,T013,S011,4627.902117617747
S012-FOD-01,T026,S012,18483.47141508769
S012-MED-01,T003,S012,1237.2972779848637
S012-WAT-01,T003,S012,1207.2972779848637
S013-FOD-01,T024,S013,16467.61544410152
S013-MED-01,T011,S013,3205.6154441015215
S013-WAT-01,T011,S013,3241.6154441015215
S014-FOD-01,T006,S014,3303.758933892751
S014-MED-01,T007,S014,3376.4773285920655
S014-WAT-01,T007,S014,3340.4773285920655
S015-FOD-01,T015,S015,5156.584292010486
S015-MED-01,T014,S015,5155.584292010486
S015-WAT-01,T014,S015,5185.584292010486
