box_id,batch_id,zone_id,sequence,complete_s,hard_deadline_s,expected_s,priority,hard_slack_s,soft_lateness_s
S001-MED-01,T001,S001,1,909.5739059654827,3600.0,3600.0,24.0,2690.4260940345175,0.0
S001-MED-02,T001,S001,2,939.5739059654827,3600.0,3600.0,24.0,2660.4260940345175,0.0
S001-WAT-01,T001,S001,3,969.5739059654827,3600.0,3600.0,12.0,2630.4260940345175,0.0
S006-MED-01,T002,S006,1,853.4017897442718,3600.0,3600.0,24.0,2746.598210255728,0.0
S006-WAT-01,T002,S006,2,883.4017897442718,3600.0,3600.0,12.0,2716.598210255728,0.0
S012-WAT-01,T003,S012,1,1207.2972779848637,3600.0,3600.0,12.0,2392.7027220151363,0.0
S012-MED-01,T003,S012,2,1237.2972779848637,3600.0,7200.0,22.0,2362.7027220151363,0.0
S002-MED-01,T004,S002,1,1217.3160093195029,3600.0,3600.0,24.0,2382.683990680497,0.0
S002-WAT-01,T004,S002,2,1253.3160093195029,3600.0,3600.0,12.0,2346.683990680497,0.0
S009-MED-01,T005,S009,1,1100.169275756307,10800.0,10800.0,16.0,9699.830724243693,0.0
S009-WAT-01,T005,S009,2,1136.169275756307,10800.0,10800.0,8.0,9663.830724243693,0.0
S014-FOD-01,T006,S014,1,3303.758933892751,,7200.0,10.0,,0.0
S014-WAT-01,T007,S014,1,3340.4773285920655,3600.0,3600.0,12.0,259.52267140793447,0.0
S014-MED-01,T007,S014,2,3376.4773285920655,3600.0,7200.0,22.0,223.52267140793447,0.0
S010-MED-01,T008,S010,1,3182.9663658275863,3600.0,3600.0,24.0,417.0336341724137,0.0
S010-WAT-01,T008,S010,2,3212.9663658275863,3600.0,3600.0,12.0,387.0336341724137,0.0
S003-MED-01,T009,S003,1,3506.300344422223,7200.0,7200.0,20.0,3693.699655577777,0.0
S003-WAT-01,T009,S003,2,3536.300344422223,7200.0,7200.0,10.0,3663.699655577777,0.0
S010-FOD-01,T010,S010,1,3182.9663658275863,,7200.0,10.0,,0.0
S013-MED-01,T011,S013,1,3205.6154441015215,3600.0,3600.0,24.0,394.38455589847854,0.0
S013-WAT-01,T011,S013,2,3241.6154441015215,3600.0,3600.0,12.0,358.38455589847854,0.0
S007-MED-01,T012,S007,1,3246.7821947433185,3600.0,3600.0,24.0,353.21780525668146,0.0
S007-WAT-01,T012,S007,2,3276.7821947433185,3600.0,3600.0,12.0,323.21780525668146,0.0
S011-MED-01,T013,S011,1,4591.902117617747,10800.0,10800.0,16.0,6208.097882382253,0.0
S011-WAT-01,T013,S011,2,4627.902117617747,10800.0,10800.0,8.0,6172.097882382253,0.0
S015-MED-01,T014,S015,1,5155.584292010486,7200.0,7200.0,18.0,2044.415707989514,0.0
S015-WAT-01,T014,S015,2,5185.584292010486,10800.0,10800.0,8.0,5614.415707989514,0.0
S015-FOD-01,T015,S015,1,5156.584292010486,,14400.0,6.0,,0.0
S004-MED-01,T016,S004,1,7163.500533296583,7200.0,7200.0,20.0,36.499466703417056,0.0
S004-WAT-01,T016,S004,2,7199.500533296583,7200.0,7200.0,10.0,0.4994667034170561,0.0
S008-MED-01,T017,S008,1,7151.696042296324,7200.0,7200.0,20.0,48.30395770367613,0.0
S008-WAT-01,T017,S008,2,7187.696042296324,7200.0,7200.0,10.0,12.303957703676133,0.0
S005-MED-01,T018,S005,1,6935.844097652365,10800.0,10800.0,16.0,3864.1559023476348,0.0
S005-WAT-01,T018,S005,2,6965.844097652365,10800.0,10800.0,8.0,3834.1559023476348,0.0
S008-WAT-02,T019,S008,1,9593.696042296324,,7200.0,10.0,,2393.696042296324
S008-FOD-01,T019,S008,2,9629.696042296324,,10800.0,8.0,,0.0
S008-HYG-01,T019,S008,3,9665.696042296324,,14400.0,6.0,,0.0
S004-WAT-02,T020,S004,1,11984.500533296583,,7200.0,10.0,,4784.500533296583
S004-WAT-03,T020,S004,2,12020.500533296583,,7200.0,10.0,,4820.500533296583
S004-FOD-01,T020,S004,3,12056.500533296583,,10800.0,8.0,,1256.500533296583
S004-HYG-01,T020,S004,4,12092.500533296583,,14400.0,6.0,,0.0
S002-WAT-02,T021,S002,1,13972.316009319504,,3600.0,12.0,,10372.316009319504
S002-WAT-03,T021,S002,2,14008.316009319504,,3600.0,12.0,,10408.316009319504
S002-WAT-04,T021,S002,3,14044.316009319504,,3600.0,12.0,,10444.316009319504
S002-FOD-01,T021,S002,4,14080.316009319504,,7200.0,10.0,,6880.316009319504
S002-FOD-02,T021,S002,5,14116.316009319504,,7200.0,10.0,,6916.316009319504
S002-HYG-01,T021,S002,6,14152.316009319504,,10800.0,8.0,,3352.316009319504
S011-FOD-01,T022,S011,1,13652.902117617747,,14400.0,6.0,,0.0
S006-WAT-02,T023,S006,1,16252.424762970184,,3600.0,12.0,,12652.424762970184
S006-WAT-03,T023,S006,2,16288.424762970184,,3600.0,12.0,,12688.424762970184
S006-FOD-01,T023,S006,3,16324.424762970184,,7200.0,10.0,,9124.424762970184
S006-HYG-01,T023,S006,4,16360.424762970184,,10800.0,8.0,,5560.424762970184
S013-FOD-01,T024,S013,1,16467.61544410152,,7200.0,10.0,,9267.61544410152
S005-WAT-02,T025,S005,1,17846.23257909768,,10800.0,8.0,,7046.232579097679
S005-WAT-03,T025,S005,2,17882.23257909768,,10800.0,8.0,,7082.232579097679
S005-FOD-01,T025,S005,3,17918.23257909768,,14400.0,6.0,,3518.2325790976793
S005-HYG-01,T025,S005,4,17954.23257909768,,18000.0,4.0,,0.0
