运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
T001,爬升,390.99999999999994,407.1507344563802,直连,
T001,爬升,407.1507344563802,423.30146891276036,直连,
T001,爬升,423.30146891276036,439.4522033691406,直连,
T001,巡航,439.4522033691406,459.0290540270924,直连,
T001,巡航,459.0290540270924,478.60590468504415,直连,
T001,巡航,478.60590468504415,498.18275534299596,直连,
T001,巡航,498.18275534299596,517.7596060009478,直连,
T001,巡航,517.7596060009478,537.3364566588996,直连,
T001,巡航,537.3364566588996,556.9133073168514,直连,
T001,巡航,556.9133073168514,576.4901579748032,直连,
T001,巡航,576.4901579748032,596.067008632755,直连,
T001,巡航,596.067008632755,615.6438592907068,直连,
T001,巡航,615.6438592907068,635.2207099486585,直连,
T001,巡航,635.2207099486585,654.7975606066103,直连,
T001,巡航,654.7975606066103,674.3744112645621,直连,
T001,巡航,674.3744112645621,693.9512619225139,直连,
T001,下降,693.9512619225139,711.7625839439984,直连,
T001,下降,711.7625839439984,729.5739059654827,直连,
T001,投送,729.5739059654827,749.5739059654827,直连,
T001,投送,749.5739059654827,769.5739059654827,直连,
T001,投送,769.5739059654827,789.5739059654827,直连,
T001,投送,789.5739059654827,809.5739059654827,直连,
T001,投送,809.5739059654827,829.5739059654827,直连,
T001,投送,829.5739059654827,849.5739059654827,直连,
T001,投送,849.5739059654827,869.5739059654827,直连,
T001,投送,869.5739059654827,889.5739059654827,直连,
T001,投送,889.5739059654827,909.5739059654827,直连,
T001,投送,909.5739059654827,929.5739059654827,直连,
T001,投送,929.5739059654827,949.5739059654827,直连,
T001,投送,949.5739059654827,969.5739059654827,直连,
T001,爬升,969.5739059654827,984.4166743167198,直连,
T001,爬升,984.4166743167198,999.2594426679567,直连,
T001,巡航,999.2594426679567,1018.8362933259085,直连,
T001,巡航,1018.8362933259085,1038.4131439838602,直连,
T001,巡航,1038.4131439838602,1057.989994641812,直连,
T001,巡航,1057.989994641812,1077.5668452997638,直连,
T001,巡航,1077.5668452997638,1097.1436959577156,直连,
T001,巡航,1097.1436959577156,1116.7205466156674,直连,
T001,巡航,1116.7205466156674,1136.2973972736193,直连,
T001,巡航,1136.2973972736193,1155.874247931571,直连,
T001,巡航,1155.874247931571,1175.4510985895229,直连,
T001,巡航,1175.4510985895229,1195.0279492474747,直连,
T001,巡航,1195.0279492474747,1214.6047999054265,直连,
T001,巡航,1214.6047999054265,1234.1816505633783,直连,
T001,巡航,1234.1816505633783,1253.75850122133,直连,
T001,下降,1253.75850122133,1273.1393825689863,直连,
T001,下降,1273.1393825689863,1292.5202639166425,直连,
T001,下降,1292.5202639166425,1311.9011452642987,直连,
T002,爬升,361.0,380.8664866129558,直连,
T002,爬升,380.8664866129558,400.7329732259115,直连,
T002,爬升,400.7329732259115,420.59945983886723,直连,
T002,爬升,420.59945983886723,440.465946451823,直连,
T002,巡航,440.465946451823,459.7765562291195,直连,
T002,巡航,459.7765562291195,479.087166006416,直连,
T002,巡航,479.087166006416,498.39777578371246,直连,
T002,巡航,498.39777578371246,517.708385561009,直连,
T002,巡航,517.708385561009,537.0189953383054,直连,
T002,巡航,537.0189953383054,556.3296051156019,直连,
T002,巡航,556.3296051156019,575.6402148928984,直连,
T002,巡航,575.6402148928984,594.9508246701948,直连,
T002,巡航,594.9508246701948,614.2614344474914,直连,
T002,巡航,614.2614344474914,633.5720442247879,直连,
T002,巡航,633.5720442247879,652.8826540020843,直连,
T002,下降,652.8826540020843,663.1422218731781,直连,
T002,下降,663.1422218731781,673.4017897442718,直连,
T002,投送,673.4017897442718,692.4926988351809,直连,
T002,投送,692.4926988351809,711.5836079260899,直连,
T002,投送,711.5836079260899,730.6745170169991,直连,
T002,投送,730.6745170169991,749.7654261079082,直连,
T002,投送,749.7654261079082,768.8563351988173,直连,
T002,投送,768.8563351988173,787.9472442897263,直连,
T002,投送,787.9472442897263,807.0381533806354,直连,
T002,投送,807.0381533806354,826.1290624715446,直连,
T002,投送,826.1290624715446,845.2199715624536,直连,
T002,投送,845.2199715624536,864.3108806533627,直连,
T002,投送,864.3108806533627,883.4017897442718,直连,
