中继架次编号,中继无人机编号,能源组件编号,开始时刻（s）,悬停经度（°）,悬停纬度（°）,悬停海拔（m）,建链完成时刻（s）,服务结束时刻（s）,返回O01时刻（s）,架次能耗（kWh）
R001,R01,R-E01,67.57767553244639,109.252844703,23.053399188,274.812301636,689.0,1497.0,1920.6816829371987,0.504902712
R002,R02,R-E02,103.59529766381957,109.267596021,23.044531046,370.028778076,743.0,1617.0,2066.598767175861,0.532378365
R003,R01,R-E03,2221.1237746778424,109.272819620,23.017496560,589.644866943,2841.0,3539.0,3987.371630900771,0.451598745
R004,R02,R-E04,2521.1647913304323,109.184788249,23.034571809,474.409484863,3196.0,5285.0,5778.727665741508,0.916821046
R005,R01,R-E05,4288.6894977469765,109.209355952,23.021306369,333.203369141,4736.0,5323.0,5577.435783014742,0.321825884
R006,R02,R-E01,6079.817867658719,109.233507243,23.039638663,274.261184692,6557.0,11748.0,12027.39556439898,1.755627016
R007,R01,R-E06,5887.790404552854,109.223395736,23.066616453,476.459930420,6617.0,11688.0,12236.27292298214,1.865659874
R008,R02,R-E02,12328.577675532446,109.252844703,23.053399188,274.812301636,12950.0,13902.0,14325.681682937198,0.548902712
R009,R01,R-E03,14000.164791330431,109.184788249,23.034571809,474.409484863,14675.0,15765.0,16258.727665741508,0.611571046
R010,R02,R-E05,16418.95865730851,109.253194077,23.026311640,348.223953247,16888.0,17300.0,17577.41833879541,0.284121383
