slice_id,sortie_id,stage,start_s,end_s,direct_margin_db,midpoint_status
65,T002,巡航,689.427035564,709.190522787,-0.107041869,ASSIGNED
66,T002,巡航,709.190522787,728.954010011,-0.422433362,ASSIGNED
67,T002,巡航,728.954010011,748.717497234,-1.020854021,ASSIGNED
68,T002,巡航,748.717497234,768.480984457,-1.580737777,ASSIGNED
69,T002,巡航,768.480984457,788.244471681,-2.106744019,ASSIGNED
70,T002,巡航,788.244471681,808.007958904,-2.602735847,ASSIGNED
71,T002,巡航,808.007958904,827.771446127,-3.071951629,ASSIGNED
72,T002,巡航,827.771446127,847.534933351,-3.517132742,ASSIGNED
73,T002,巡航,847.534933351,867.298420574,-3.940620270,ASSIGNED
74,T002,巡航,867.298420574,887.061907798,-4.344429288,ASSIGNED
75,T002,巡航,887.061907798,906.825395021,-4.730306680,ASSIGNED
76,T002,巡航,906.825395021,926.588882244,-5.099776694,ASSIGNED
77,T002,下降,926.588882244,941.497924603,-5.454177219,ASSIGNED
78,T002,下降,941.497924603,956.406966961,-5.453487438,ASSIGNED
79,T002,下降,956.406966961,971.316009320,-5.452938121,ASSIGNED
80,T002,投送,971.316009320,990.700624704,-5.452529325,ASSIGNED
81,T002,投送,990.700624704,1010.085240089,-5.452529325,ASSIGNED
82,T002,投送,1010.085240089,1029.469855473,-5.452529325,ASSIGNED
83,T002,投送,1029.469855473,1048.854470858,-5.452529325,ASSIGNED
84,T002,投送,1048.854470858,1068.239086243,-5.452529325,ASSIGNED
85,T002,投送,1068.239086243,1087.623701627,-5.452529325,ASSIGNED
86,T002,投送,1087.623701627,1107.008317012,-5.452529325,ASSIGNED
87,T002,投送,1107.008317012,1126.392932396,-5.452529325,ASSIGNED
88,T002,投送,1126.392932396,1145.777547781,-5.452529325,ASSIGNED
89,T002,投送,1145.777547781,1165.162163166,-5.452529325,ASSIGNED
90,T002,投送,1165.162163166,1184.546778550,-5.452529325,ASSIGNED
91,T002,投送,1184.546778550,1203.931393935,-5.452529325,ASSIGNED
92,T002,投送,1203.931393935,1223.316009320,-5.452529325,ASSIGNED
93,T002,爬升,1223.316009320,1241.206860150,-5.452529325,ASSIGNED
94,T002,爬升,1241.206860150,1259.097710980,-5.453195218,ASSIGNED
95,T002,巡航,1259.097710980,1278.861198203,-5.454177219,ASSIGNED
96,T002,巡航,1278.861198203,1298.624685426,-5.099776694,ASSIGNED
97,T002,巡航,1298.624685426,1318.388172650,-4.730306680,ASSIGNED
98,T002,巡航,1318.388172650,1338.151659873,-4.344429288,ASSIGNED
99,T002,巡航,1338.151659873,1357.915147096,-3.940620270,ASSIGNED
100,T002,巡航,1357.915147096,1377.678634320,-3.517132742,ASSIGNED
101,T002,巡航,1377.678634320,1397.442121543,-3.071951629,ASSIGNED
102,T002,巡航,1397.442121543,1417.205608767,-2.602735847,ASSIGNED
103,T002,巡航,1417.205608767,1436.969095990,-2.106744019,ASSIGNED
104,T002,巡航,1436.969095990,1456.732583213,-1.580737777,ASSIGNED
105,T002,巡航,1456.732583213,1476.496070437,-1.020854021,ASSIGNED
106,T002,巡航,1476.496070437,1496.259557660,-0.422433362,ASSIGNED
146,T003,巡航,743.069072535,762.935868842,-0.227997122,ASSIGNED
147,T003,巡航,762.935868842,782.802665149,-0.227997122,ASSIGNED
148,T003,巡航,782.802665149,802.669461456,-0.722462062,ASSIGNED
149,T003,巡航,802.669461456,822.536257762,-1.190384955,ASSIGNED
150,T003,巡航,822.536257762,842.403054069,-1.634461724,ASSIGNED
151,T003,巡航,842.403054069,862.269850376,-2.056998518,ASSIGNED
152,T003,巡航,862.269850376,882.136646683,-2.459983202,ASSIGNED
153,T003,巡航,882.136646683,902.003442990,-2.845141219,ASSIGNED
154,T003,巡航,902.003442990,921.870239297,-3.213979732,ASSIGNED
155,T003,巡航,921.870239297,941.737035604,-3.567822886,ASSIGNED
156,T003,巡航,941.737035604,961.603831911,-3.907840231,ASSIGNED
157,T003,巡航,961.603831911,981.470628218,-4.235069847,ASSIGNED
158,T003,巡航,981.470628218,1001.337424525,-4.550437307,ASSIGNED
159,T003,巡航,1001.337424525,1021.204220832,-4.854771348,ASSIGNED
160,T003,巡航,1021.204220832,1041.071017138,-5.148816899,ASSIGNED
161,T003,下降,1041.071017138,1058.871149788,-5.433246009,ASSIGNED
162,T003,下降,1058.871149788,1076.671282438,-5.431525748,ASSIGNED
163,T003,下降,1076.671282438,1094.471415088,-5.430119556,ASSIGNED
164,T003,投送,1094.471415088,1114.471415088,-5.429027740,ASSIGNED
165,T003,投送,1114.471415088,1134.471415088,-5.429027740,ASSIGNED
166,T003,投送,1134.471415088,1154.471415088,-5.429027740,ASSIGNED
167,T003,投送,1154.471415088,1174.471415088,-5.429027740,ASSIGNED
168,T003,投送,1174.471415088,1194.471415088,-5.429027740,ASSIGNED
169,T003,投送,1194.471415088,1214.471415088,-5.429027740,ASSIGNED
170,T003,投送,1214.471415088,1234.471415088,-5.429027740,ASSIGNED
171,T003,投送,1234.471415088,1254.471415088,-5.429027740,ASSIGNED
172,T003,投送,1254.471415088,1274.471415088,-5.429027740,ASSIGNED
173,T003,爬升,1274.471415088,1289.304858962,-5.429027740,ASSIGNED
174,T003,爬升,1289.304858962,1304.138302837,-5.430119556,ASSIGNED
175,T003,爬升,1304.138302837,1318.971746712,-5.431525748,ASSIGNED
176,T003,巡航,1318.971746712,1338.838543019,-5.433246009,ASSIGNED
177,T003,巡航,1338.838543019,1358.705339326,-5.148816899,ASSIGNED
178,T003,巡航,1358.705339326,1378.572135633,-4.854771348,ASSIGNED
179,T003,巡航,1378.572135633,1398.438931940,-4.550437307,ASSIGNED
180,T003,巡航,1398.438931940,1418.305728247,-4.235069847,ASSIGNED
181,T003,巡航,1418.305728247,1438.172524553,-3.907840231,ASSIGNED
182,T003,巡航,1438.172524553,1458.039320860,-3.567822886,ASSIGNED
183,T003,巡航,1458.039320860,1477.906117167,-3.213979732,ASSIGNED
184,T003,巡航,1477.906117167,1497.772913474,-2.845141219,ASSIGNED
185,T003,巡航,1497.772913474,1517.639709781,-2.459983202,ASSIGNED
186,T003,巡航,1517.639709781,1537.506506088,-2.056998518,ASSIGNED
187,T003,巡航,1537.506506088,1557.373302395,-1.634461724,ASSIGNED
188,T003,巡航,1557.373302395,1577.240098702,-1.190384955,ASSIGNED
189,T003,巡航,1577.240098702,1597.106895009,-0.722462062,ASSIGNED
190,T003,巡航,1597.106895009,1616.973691316,-0.227997122,ASSIGNED
231,T004,巡航,743.402536798,763.110398735,-0.094709127,ASSIGNED
232,T004,巡航,763.110398735,782.818260671,-0.409250750,ASSIGNED
233,T004,巡航,782.818260671,802.526122608,-1.006218691,ASSIGNED
234,T004,巡航,802.526122608,822.233984544,-1.564912721,ASSIGNED
