batch_id,type_id,uav_id,battery_id,visit_order,box_ids,start_s,launch_s,return_s,charge_start_s,charge_end_s,charge_s,mass_kg,volume_m3,energy_kwh,return_soc
T001,A,U01,A-B01,S001,S001-MED-01;S001-MED-02;S001-WAT-01,0.0,390.0,1310.9011452642987,1310.9011452642987,2176.157673866994,865.2565286026954,20.0,0.051000000000000004,1.2643495220862535,0.7190334395363881
T002,C,U07,C-B01,S002,S002-MED-01;S002-WAT-01,0.0,360.0,1843.812018639006,1843.812018639006,3969.3085376456156,2125.4965190066096,17.0,0.039,4.77106407017825,0.40361699122771877
T003,A,U02,A-B02,S012,S012-FOD-01,0.0,330.0,2049.082830175376,2049.082830175376,3366.699652040389,1317.6168218650132,8.0,0.028,2.8302120756865836,0.37106398318075917
T004,B,U05,B-B01,S012,S012-WAT-01;S012-MED-01,32.0,392.0,1894.7345559697276,1894.7345559697276,3631.3998749142474,1736.66531894452,17.0,0.039,2.4692276591027387,0.38269308522431533
T005,C,U08,C-B02,S009,S009-MED-01;S009-WAT-01,52.0,412.0,1630.5685515126138,1630.5685515126138,3460.5084067793287,1829.9398552667149,17.0,0.039,3.6797779271386393,0.5400277591076701
T006,B,U06,B-B02,S009,S009-FOD-01,57.0,387.0,1495.4422473947752,1495.4422473947752,2917.1693470927885,1421.727099698013,8.0,0.028,1.7424471531492611,0.5643882117126847
T007,B,U06,B-B03,S006,S006-MED-01;S006-WAT-01,1496.0,1856.0,2703.276912821877,2703.276912821877,3846.0873485761385,1142.8104357542613,17.0,0.039,1.098793313279065,0.7253016716802337
T008,A,U03,A-B03,S014,S014-FOD-01,2043.0,2373.0,3973.4045344521683,3973.4045344521683,5105.659145176483,1132.2546107243152,8.0,0.028,2.188573652507245,0.5136502994428345
T009,C,U08,C-B03,S014,S014-WAT-01;S014-MED-01,2049.0,2409.0,4018.2846571841305,4018.2846571841305,5838.644702372727,1820.360045188596,17.0,0.039,3.644406320696355,0.5444492099129556
T010,A,U04,A-B04,S010,S010-MED-01;S010-WAT-01,2060.0,2420.0,3714.859398321839,3714.859398321839,4779.594424392994,1064.7350260711557,17.0,0.039,1.9548520133232312,0.5655884414837264
T011,A,U01,A-B05,S010,S010-FOD-01,2090.0,2420.0,3684.859398321839,3684.859398321839,4724.483736963959,1039.6243386421197,8.0,0.028,1.867930402991953,0.5849043548906772
T012,C,U07,C-B04,S013,S013-MED-01;S013-WAT-01,2126.0,2486.0,3671.6308882030426,3671.6308882030426,5363.254869895345,1691.6239816923028,17.0,0.039,3.1690731631715807,0.6038658546035525
